"Date","M1425AUSM144SNBR"
1907-05-01,1715
1907-06-01,1697
1907-07-01,1662
1907-08-01,1654
1907-09-01,1631
1907-10-01,1730
1907-11-01,1784
1907-12-01,1861
1908-01-01,1893
1908-02-01,1814
1908-03-01,1757
1908-04-01,1744
1908-05-01,1707
1908-06-01,1719
1908-07-01,1712
1908-08-01,1668
1908-09-01,1676
1908-10-01,1698
1908-11-01,1684
1908-12-01,1714
1909-01-01,1678
1909-02-01,1682
1909-03-01,1672
1909-04-01,1683
1909-05-01,1677
1909-06-01,1687
1909-07-01,1672
1909-08-01,1687
1909-09-01,1708
1909-10-01,1704
1909-11-01,1703
1909-12-01,1709
1910-01-01,1719
1910-02-01,1704
1910-03-01,1695
1910-04-01,1690
1910-05-01,1702
1910-06-01,1716
1910-07-01,1710
1910-08-01,1728
1910-09-01,1758
1910-10-01,1774
1910-11-01,1743
1910-12-01,1734
1911-01-01,1735
1911-02-01,1730
1911-03-01,1743
1911-04-01,1776
1911-05-01,1781
1911-06-01,1743
1911-07-01,1751
1911-08-01,1775
1911-09-01,1756
1911-10-01,1750
1911-11-01,1745
1911-12-01,1698
1912-01-01,1706
1912-02-01,1738
1912-03-01,1750
1912-04-01,1787
1912-05-01,1827
1912-06-01,1831
1912-07-01,1827
1912-08-01,1830
1912-09-01,1831
1912-10-01,1857
1912-11-01,1825
1912-12-01,1817
1913-01-01,1831
1913-02-01,1842
1913-03-01,1833
1913-04-01,1870
1913-05-01,1888
1913-06-01,1881
1913-07-01,1869
1913-08-01,1872
1913-09-01,1896
1913-10-01,1909
1913-11-01,1886
1913-12-01,1870
1914-01-01,1847
1914-02-01,1871
1914-03-01,1854
1914-04-01,1764
1914-05-01,1843
1914-06-01,1830
1914-07-01,1819
1914-08-01,1909
1914-09-01,2066
1914-10-01,2080
1914-11-01,1891
1914-12-01,1874
1915-01-01,1901
1915-02-01,1855
1915-03-01,1875
1915-04-01,1905
1915-05-01,1887
1915-06-01,1894
1915-07-01,1897
1915-08-01,1874
1915-09-01,1903
1915-10-01,1942
1915-11-01,1917
1915-12-01,1975
1916-01-01,2045
1916-02-01,2014
1916-03-01,2061
1916-04-01,2122
1916-05-01,2128
1916-06-01,2178
1916-07-01,2174
1916-08-01,2169
1916-09-01,2190
1916-10-01,2216
1916-11-01,2255
1916-12-01,2241
1917-01-01,2351
1917-02-01,2422
1917-03-01,2509
1917-04-01,2582
1917-05-01,2640
1917-06-01,2678
1917-07-01,2744
1917-08-01,2829
1917-09-01,2922
1917-10-01,2959
1917-11-01,3070
1917-12-01,3159
1918-01-01,3092
1918-02-01,3258
1918-03-01,3331
1918-04-01,3385
1918-05-01,3422
1918-06-01,3523
1918-07-01,3699
1918-08-01,3887
1918-09-01,4027
1918-10-01,4106
1918-11-01,4091
1918-12-01,4096
1919-01-01,3962
1919-02-01,3954
1919-03-01,3944
1919-04-01,3962
1919-05-01,3936
1919-06-01,3888
1919-07-01,3958
1919-08-01,3963
1919-09-01,4002
1919-10-01,4053
1919-11-01,4121
1919-12-01,4213
1920-01-01,4179
1920-02-01,4309
1920-03-01,4372
1920-04-01,4418
1920-05-01,4414
1920-06-01,4463
1920-07-01,4500
1920-08-01,4574
1920-09-01,4624
1920-10-01,4657
1920-11-01,4534
1920-12-01,4487
1921-01-01,4317
1921-02-01,4278
1921-03-01,4220
1921-04-01,4160
1921-05-01,4129
1921-06-01,4047
1921-07-01,3987
1921-08-01,3938
1921-09-01,3905
1921-10-01,3805
1921-11-01,3744
1921-12-01,3735
1922-01-01,3614
1922-02-01,3614
1922-03-01,3632
1922-04-01,3626
1922-05-01,3606
1922-06-01,3625
1922-07-01,3608
1922-08-01,3657
1922-09-01,3717
1922-10-01,3725
1922-11-01,3742
1922-12-01,3778
1923-01-01,3730
1923-02-01,3793
1923-03-01,3854
1923-04-01,3894
1923-05-01,3956
1923-06-01,3988
1923-07-01,3982
1923-08-01,3999
1923-09-01,3999
1923-10-01,3966
1923-11-01,4018
1923-12-01,3978
1924-01-01,3897
1924-02-01,3955
1924-03-01,3978
1924-04-01,3969
1924-05-01,3991
1924-06-01,3944
1924-07-01,3911
1924-08-01,3904
1924-09-01,3854
1924-10-01,3905
1924-11-01,3927
1924-12-01,3915
1925-01-01,3930
1925-02-01,3936
1925-03-01,3943
1925-04-01,3926
1925-05-01,3931
1925-06-01,3926
1925-07-01,3943
1925-08-01,3917
1925-09-01,3908
1925-10-01,3938
1925-11-01,3921
1925-12-01,3964
1926-01-01,3960
1926-02-01,3980
1926-03-01,3954
1926-04-01,4014
1926-05-01,3972
1926-06-01,3978
1926-07-01,4024
1926-08-01,3987
1926-09-01,3974
1926-10-01,3976
1926-11-01,3955
1926-12-01,3983
1927-01-01,3991
1927-02-01,3996
1927-03-01,4008
1927-04-01,4015
1927-05-01,3980
1927-06-01,3951
1927-07-01,3964
1927-08-01,3906
1927-09-01,3942
1927-10-01,3905
1927-11-01,3950
1927-12-01,3859
1928-01-01,3825
1928-02-01,3802
1928-03-01,3871
1928-04-01,3878
1928-05-01,3875
1928-06-01,3925
1928-07-01,3881
1928-08-01,3903
1928-09-01,3870
1928-10-01,3819
1928-11-01,3913
1928-12-01,3834
1929-01-01,3828
1929-02-01,3849
1929-03-01,3902
1929-04-01,3866
1929-05-01,3883
1929-06-01,3911
1929-07-01,3887
1929-08-01,3919
1929-09-01,3822
1929-10-01,3832
1929-11-01,3852
1929-12-01,3800
1930-01-01,3752
1930-02-01,3748
1930-03-01,3717
1930-04-01,3670
1930-05-01,3694
1930-06-01,3681
1930-07-01,3669
1930-08-01,3704
1930-09-01,3634
1930-10-01,3594
1930-11-01,3674
1930-12-01,3809
1931-01-01,3818
1931-02-01,3823
1931-03-01,3861
1931-04-01,3897
1931-05-01,3897
1931-06-01,3995
1931-07-01,4058
1931-08-01,4177
1931-09-01,4289
1931-10-01,4537
1931-11-01,4503
1931-12-01,4604
1932-01-01,4896
1932-02-01,4824
1932-03-01,4743
1932-04-01,4751
1932-05-01,4746
1932-06-01,4959
1932-07-01,5048
1932-08-01,4988
1932-09-01,4941
1932-10-01,4863
1932-11-01,4842
1932-12-01,4830
1933-01-01,4979
1933-02-01,5588
1933-03-01,5509
1933-04-01,5202
1933-05-01,5019
1933-06-01,4949
1933-07-01,4886
1933-08-01,4850
1933-09-01,4830
1933-10-01,4803
1933-11-01,4844
1933-12-01,4839
1934-01-01,4491
1934-02-01,4513
1934-03-01,4550
1934-04-01,4556
1934-05-01,4566
1934-06-01,4584
1934-07-01,4609
1934-08-01,4628
1934-09-01,4627
1934-10-01,4590
1934-11-01,4631
1934-12-01,4559
1935-01-01,4621
1935-02-01,4700
1935-03-01,4714
1935-04-01,4708
1935-05-01,4715
1935-06-01,4708
