"Date","M1432BUS35620M027NNBR"
1934-09-01,4.86
1934-10-01,4.97
1934-11-01,5.06
1934-12-01,5
1935-01-01,5.1
1935-02-01,5.16
1935-03-01,5.29
1935-04-01,5.33
1935-05-01,5.54
1935-06-01,5.73
1935-07-01,5.83
1935-08-01,5.85
1935-09-01,5.93
1935-10-01,5.94
1935-11-01,6.15
1935-12-01,6.22
1936-01-01,6.1
1936-02-01,6.3
1936-03-01,6.23
1936-04-01,6.37
1936-05-01,6.48
1936-06-01,6.64
1936-07-01,6.6
1936-08-01,6.55
1936-09-01,6.67
1936-10-01,6.67
1936-11-01,6.76
1936-12-01,6.89
1937-01-01,6.78
1937-02-01,6.82
1937-03-01,6.88
1937-04-01,6.69
1937-05-01,6.73
1937-06-01,6.73
1937-07-01,6.4
1937-08-01,6.3
1937-09-01,6.4
1937-10-01,6.32
1937-11-01,6.23
1937-12-01,6.23
1938-01-01,6.11
1938-02-01,6.14
1938-03-01,6.26
1938-04-01,6.36
1938-05-01,6.3
1938-06-01,6.61
1938-07-01,6.56
1938-08-01,6.57
1938-09-01,6.78
1938-10-01,6.97
1938-11-01,7.05
1938-12-01,7.22
1939-01-01,7.08
1939-02-01,7.21
1939-03-01,7.32
1939-04-01,7.6
1939-05-01,7.8
1939-06-01,7.93
1939-07-01,8
1939-08-01,8.22
1939-09-01,8.52
1939-10-01,8.63
1939-11-01,8.73
1939-12-01,8.8
