"Date","VALEXPUSM052N"
2006-01-01,7.4338e+10
2006-02-01,7.6935e+10
2006-03-01,9.0853e+10
2006-04-01,8.2448e+10
2006-05-01,8.6969e+10
2006-06-01,8.9731e+10
2006-07-01,7.9354e+10
2006-08-01,8.8246e+10
2006-09-01,8.7545e+10
2006-10-01,9.1665e+10
2006-11-01,9.0044e+10
2006-12-01,8.7839e+10
2007-01-01,8.5128e+10
2007-02-01,8.3797e+10
2007-03-01,9.9459e+10
2007-04-01,9.0877e+10
2007-05-01,9.6726e+10
2007-06-01,9.7886e+10
2007-07-01,9.065e+10
2007-08-01,9.9867e+10
2007-09-01,9.6866e+10
2007-10-01,1.04976e+11
2007-11-01,1.01936e+11
2007-12-01,1.0003e+11
2008-01-01,9.8677e+10
2008-02-01,1.0474e+11
2008-03-01,1.10932e+11
2008-04-01,1.09857e+11
2008-05-01,1.12627e+11
2008-06-01,1.16787e+11
2008-07-01,1.14522e+11
2008-08-01,1.16418e+11
2008-09-01,1.06072e+11
2008-10-01,1.11239e+11
2008-11-01,9.7085e+10
2008-12-01,8.8486e+10
2009-01-01,7.8151e+10
2009-02-01,8.0349e+10
2009-03-01,8.7848e+10
2009-04-01,8.0823e+10
2009-05-01,8.3651e+10
2009-06-01,8.683e+10
2009-07-01,8.5635e+10
2009-08-01,8.7315e+10
2009-09-01,9.1458e+10
2009-10-01,1.00006e+11
2009-11-01,9.4607e+10
2009-12-01,9.9372e+10
2010-01-01,9.2601e+10
2010-02-01,9.3858e+10
2010-03-01,1.1051e+11
2010-04-01,1.02477e+11
2010-05-01,1.05463e+11
2010-06-01,1.07153e+11
2010-07-01,1.04051e+11
2010-08-01,1.06871e+11
2010-09-01,1.07683e+11
2010-10-01,1.17262e+11
2010-11-01,1.13117e+11
2010-12-01,1.17447e+11
2011-01-01,1.10183e+11
2011-02-01,1.09541e+11
2011-03-01,1.31726e+11
2011-04-01,1.24052e+11
2011-05-01,1.24236e+11
2011-06-01,1.25001e+11
2011-07-01,1.20262e+11
2011-08-01,1.26732e+11
2011-09-01,1.27032e+11
2011-10-01,1.31099e+11
2011-11-01,1.25752e+11
2011-12-01,1.26891e+11
2012-01-01,1.17847e+11
2012-02-01,1.23613e+11
2012-03-01,1.40254e+11
2012-04-01,1.27416e+11
2012-05-01,1.31232e+11
2012-06-01,1.32577e+11
2012-07-01,1.214e+11
2012-08-01,1.28585e+11
2012-09-01,1.28254e+11
2012-10-01,1.33627e+11
2012-11-01,1.3017e+11
2012-12-01,1.30728e+11
2013-01-01,1.2313e+11
2013-02-01,1.23536e+11
2013-03-01,1.36763e+11
2013-04-01,1.29465e+11
2013-05-01,1.33007e+11
2013-06-01,1.3483e+11
2013-07-01,1.27358e+11
2013-08-01,1.32604e+11
2013-09-01,1.28515e+11
2013-10-01,1.42182e+11
2013-11-01,1.36249e+11
2013-12-01,1.31956e+11
2014-01-01,1.26517e+11
2014-02-01,1.23591e+11
2014-03-01,1.42184e+11
2014-04-01,1.33875e+11
2014-05-01,1.38122e+11
2014-06-01,1.38358e+11
2014-07-01,1.33198e+11
2014-08-01,1.3742e+11
2014-09-01,1.3336e+11
2014-10-01,1.45436e+11
2014-11-01,1.34726e+11
2014-12-01,1.33746e+11
2015-01-01,1.2092e+11
2015-02-01,1.18181e+11
