"Date","OCDCBN"
1996-07-01,200.9
1996-08-01,193.2
1996-09-01,187.2
1996-10-01,177.4
1996-11-01,172.6
1996-12-01,174.4
1997-01-01,175.2
1997-02-01,166.5
1997-03-01,161.7
1997-04-01,164.1
1997-05-01,154.2
1997-06-01,153.3
1997-07-01,149.3
1997-08-01,148.8
1997-09-01,149.8
1997-10-01,147.4
1997-11-01,147.4
1997-12-01,150.5
1998-01-01,152.5
1998-02-01,147.7
1998-03-01,149.7
1998-04-01,153.2
1998-05-01,145.3
1998-06-01,145.6
1998-07-01,142.9
1998-08-01,141.7
1998-09-01,140.2
1998-10-01,140.4
1998-11-01,144.6
1998-12-01,146.3
1999-01-01,149.4
1999-02-01,142.7
1999-03-01,144.8
1999-04-01,149
1999-05-01,141.9
1999-06-01,142.1
1999-07-01,136.8
1999-08-01,135.6
1999-09-01,135.2
1999-10-01,135
1999-11-01,137
1999-12-01,142.4
2000-01-01,143.9
2000-02-01,137.3
2000-03-01,137.8
2000-04-01,143.2
2000-05-01,135.7
2000-06-01,134.4
2000-07-01,130.8
2000-08-01,132.1
2000-09-01,131.2
2000-10-01,133.7
2000-11-01,132.8
2000-12-01,136.2
2001-01-01,139.2
2001-02-01,133.2
2001-03-01,136.5
2001-04-01,142.5
2001-05-01,136.9
2001-06-01,137.5
2001-07-01,138.7
2001-08-01,135.5
2001-09-01,135.6
2001-10-01,138.9
2001-11-01,138.8
2001-12-01,145.7
2002-01-01,148.5
2002-02-01,141.8
2002-03-01,144.1
2002-04-01,149.3
2002-05-01,144.9
2002-06-01,144.2
2002-07-01,145.8
2002-08-01,145.8
2002-09-01,147.4
2002-10-01,150.2
2002-11-01,149.5
2002-12-01,158.4
2003-01-01,159.8
2003-02-01,154.7
2003-03-01,158.8
2003-04-01,160.5
2003-05-01,157.5
2003-06-01,161.8
2003-07-01,162.7
2003-08-01,163.1
2003-09-01,166.8
2003-10-01,167.1
2003-11-01,166.6
2003-12-01,179.9
2004-01-01,183.4
2004-02-01,180
2004-03-01,186.9
2004-04-01,187.7
2004-05-01,180.8
2004-06-01,186.5
2004-07-01,182.8
2004-08-01,185.5
2004-09-01,183.1
2004-10-01,183.7
2004-11-01,185.4
2004-12-01,191.7
2005-01-01,190
2005-02-01,181.1
2005-03-01,186.6
2005-04-01,188.6
2005-05-01,184.6
2005-06-01,183.2
2005-07-01,178.4
2005-08-01,181.7
2005-09-01,178.2
2005-10-01,176.7
2005-11-01,178.1
2005-12-01,185
2006-01-01,186.6
2006-02-01,176.6
2006-03-01,184
2006-04-01,185.1
2006-05-01,181
2006-06-01,177.9
2006-07-01,172.7
2006-08-01,173.2
2006-09-01,171
2006-10-01,174.8
2006-11-01,174.6
2006-12-01,180.6
2007-01-01,184.6
2007-02-01,173.3
2007-03-01,181.2
2007-04-01,185.4
2007-05-01,180.2
2007-06-01,168.7
2007-07-01,164.8
2007-08-01,166.2
2007-09-01,164
2007-10-01,168.2
2007-11-01,166.6
2007-12-01,176.3
2008-01-01,179.6
2008-02-01,173.1
2008-03-01,179.2
2008-04-01,183.6
2008-05-01,175.2
2008-06-01,176.5
2008-07-01,171.9
2008-08-01,166.1
2008-09-01,169.4
2008-10-01,170.6
2008-11-01,166.1
2008-12-01,181.9
2009-01-01,180.9
2009-02-01,178.4
2009-03-01,186
2009-04-01,199.5
2009-05-01,195.3
2009-06-01,211.1
2009-07-01,209
2009-08-01,212.2
2009-09-01,212.8
2009-10-01,220.1
2009-11-01,228.9
2009-12-01,235.6
2010-01-01,226
2010-02-01,223.4
2010-03-01,236.3
2010-04-01,222.3
2010-05-01,215.8
2010-06-01,223.2
2010-07-01,216
2010-08-01,219
2010-09-01,220.3
2010-10-01,222.1
2010-11-01,235.2
2010-12-01,239.8
2011-01-01,238.7
2011-02-01,230
2011-03-01,238.1
2011-04-01,235.8
2011-05-01,231.2
2011-06-01,233.2
2011-07-01,227.2
2011-08-01,232.8
2011-09-01,228
2011-10-01,227.1
2011-11-01,232
2011-12-01,237.3
2012-01-01,240.6
2012-02-01,232.8
2012-03-01,240.8
2012-04-01,244.2
2012-05-01,236.7
2012-06-01,232.8
2012-07-01,234.5
2012-08-01,235.4
2012-09-01,231.7
2012-10-01,237.3
2012-11-01,233.8
2012-12-01,249.2
2013-01-01,257.6
2013-02-01,244.8
2013-03-01,249.2
2013-04-01,259.1
2013-05-01,249.4
2013-06-01,246
2013-07-01,248.6
2013-08-01,245.9
2013-09-01,248.2
2013-10-01,249.2
2013-11-01,246.8
2013-12-01,261.7
2014-01-01,266
2014-02-01,256.1
2014-03-01,265.1
2014-04-01,269.1
2014-05-01,259.2
2014-06-01,263.4
2014-07-01,261.1
2014-08-01,259.3
2014-09-01,253.8
2014-10-01,253.5
2014-11-01,251
2014-12-01,270.7
2015-01-01,271.5
2015-02-01,267.3
2015-03-01,277.7
2015-04-01,279.3
2015-05-01,268
2015-06-01,273.8
2015-07-01,271.9
2015-08-01,267.9
2015-09-01,269
2015-10-01,268.2
2015-11-01,267.4
2015-12-01,281.7
2016-01-01,280.8
2016-02-01,276.9
2016-03-01,283
2016-04-01,284
2016-05-01,278.7
2016-06-01,280.6
2016-07-01,276
2016-08-01,283.9
2016-09-01,280.9
2016-10-01,281.3
2016-11-01,280.8
2016-12-01,293.2
2017-01-01,297.2
2017-02-01,285.6
2017-03-01,298.4
2017-04-01,294.2
2017-05-01,299.3
2017-06-01,293.2
2017-07-01,288.6
2017-08-01,296.9
2017-09-01,292.9
2017-10-01,299.4
2017-11-01,299.5
2017-12-01,310.9
2018-01-01,323.8
2018-02-01,308.3
2018-03-01,319.4
2018-04-01,326.1
2018-05-01,319.6
2018-06-01,315.3
2018-07-01,315.8
2018-08-01,321.6
2018-09-01,318
2018-10-01,331
2018-11-01,322.8
2018-12-01,337.9
2019-01-01,356.7
2019-02-01,336.5
2019-03-01,348.9
2019-04-01,365.8
2019-05-01,354.2
2019-06-01,349.1
2019-07-01,355
2019-08-01,352.8
2019-09-01,357
2019-10-01,358.1
2019-11-01,350.9
2019-12-01,372.4
2020-01-01,378.6
2020-02-01,360.3
2020-03-01,382.5
2020-04-01,378.6
2020-05-01,408.8
2020-06-01,466.9
2020-07-01,475.8
2020-08-01,475.1
2020-09-01,406.4
2020-10-01,421.9
2020-11-01,473.1
2020-12-01,564.4
2021-01-01,599.2
