"Date","SAVINGNS"
1959-01-01,136
1959-02-01,136.7
1959-03-01,137.7
1959-04-01,138.5
1959-05-01,139.3
1959-06-01,140.8
1959-07-01,141.8
1959-08-01,142.4
1959-09-01,143.3
1959-10-01,144.1
1959-11-01,144.5
1959-12-01,145.8
1960-01-01,146.7
1960-02-01,147.2
1960-03-01,148.1
1960-04-01,148.8
1960-05-01,149.3
1960-06-01,150.8
1960-07-01,152
1960-08-01,153
1960-09-01,154.3
1960-10-01,155.8
1960-11-01,156.8
1960-12-01,158.5
1961-01-01,160.3
1961-02-01,162
1961-03-01,163.5
1961-04-01,164.5
1961-05-01,165.3
1961-06-01,167.1
1961-07-01,168.4
1961-08-01,169.2
1961-09-01,170.3
1961-10-01,171.8
1961-11-01,173
1961-12-01,174.9
1962-01-01,176.6
1962-02-01,178.2
1962-03-01,179.9
1962-04-01,181.2
1962-05-01,182.2
1962-06-01,184.1
1962-07-01,185.9
1962-08-01,187.1
1962-09-01,188.7
1962-10-01,190.6
1962-11-01,192
1962-12-01,194.2
1963-01-01,196.4
1963-02-01,198.4
1963-03-01,200.4
1963-04-01,201.8
1963-05-01,203
1963-06-01,205.2
1963-07-01,206.9
1963-08-01,207.9
1963-09-01,209.3
1963-10-01,210.7
1963-11-01,212
1963-12-01,213.9
1964-01-01,215.7
1964-02-01,217.5
1964-03-01,219.3
1964-04-01,220.5
1964-05-01,221.7
1964-06-01,223.9
1964-07-01,225.9
1964-08-01,227.3
1964-09-01,229.1
1964-10-01,231.3
1964-11-01,232.8
1964-12-01,235
1965-01-01,237.2
1965-02-01,239
1965-03-01,241
1965-04-01,242.2
1965-05-01,243.1
1965-06-01,245.4
1965-07-01,247.3
1965-08-01,248.6
1965-09-01,250.6
1965-10-01,252.9
1965-11-01,254.5
1965-12-01,256.9
1966-01-01,258
1966-02-01,258.3
1966-03-01,258.4
1966-04-01,256.2
1966-05-01,254.4
1966-06-01,254.4
1966-07-01,254.5
1966-08-01,252.9
1966-09-01,252.8
1966-10-01,252.9
1966-11-01,252.5
1966-12-01,253.4
1967-01-01,253
1967-02-01,252.6
1967-03-01,254.2
1967-04-01,255.2
1967-05-01,256
1967-06-01,258.1
1967-07-01,259.7
1967-08-01,260.4
1967-09-01,261.7
1967-10-01,263.5
1967-11-01,263.3
1967-12-01,264
1968-01-01,263.4
1968-02-01,262.9
1968-03-01,264.5
1968-04-01,264.4
1968-05-01,263.9
1968-06-01,265
1968-07-01,265
1968-08-01,264.9
1968-09-01,266.2
1968-10-01,267.5
1968-11-01,267.3
1968-12-01,269
1969-01-01,268.6
1969-02-01,267.4
1969-03-01,269
1969-04-01,268.3
1969-05-01,267.1
1969-06-01,268.3
1969-07-01,266.5
1969-08-01,264.2
1969-09-01,264.1
1969-10-01,264.1
1969-11-01,262.9
1969-12-01,263.4
1970-01-01,260.9
1970-02-01,257
1970-03-01,255.5
1970-04-01,253.5
1970-05-01,251.7
1970-06-01,252.7
1970-07-01,253.1
1970-08-01,252.8
1970-09-01,254
1970-10-01,256.3
1970-11-01,256.6
1970-12-01,259
1971-01-01,261.7
1971-02-01,265.1
1971-03-01,270.6
1971-04-01,274.9
1971-05-01,277.5
1971-06-01,280.8
1971-07-01,282.8
1971-08-01,283.3
1971-09-01,284.8
1971-10-01,287.3
1971-11-01,287.7
1971-12-01,289.9
1972-01-01,292.5
1972-02-01,295.7
1972-03-01,300.7
1972-04-01,303.7
1972-05-01,304.6
1972-06-01,308
1972-07-01,310.2
1972-08-01,311.3
1972-09-01,312.8
1972-10-01,315.5
1972-11-01,316.3
1972-12-01,318.7
1973-01-01,320.1
1973-02-01,321.3
1973-03-01,324.9
1973-04-01,326.7
1973-05-01,327.2
1973-06-01,330
1973-07-01,330.4
1973-08-01,326.2
1973-09-01,323.5
1973-10-01,324.3
1973-11-01,322.8
1973-12-01,323.9
1974-01-01,324.7
1974-02-01,325.8
1974-03-01,330.1
1974-04-01,332.5
1974-05-01,331.9
1974-06-01,333.9
1974-07-01,334.9
1974-08-01,332.5
1974-09-01,331.3
1974-10-01,333
