"Date","H0M3M2NM"
1959-01-01,2.2
1959-02-01,2.2
1959-03-01,2.2
1959-04-01,2.2
1959-05-01,2.3
1959-06-01,2.3
1959-07-01,2.3
1959-08-01,2.2
1959-09-01,2.1
1959-10-01,2
1959-11-01,1.9
1959-12-01,1.8
1960-01-01,1.9
1960-02-01,1.9
1960-03-01,2
1960-04-01,2.1
1960-05-01,2.2
1960-06-01,2.2
1960-07-01,2.3
1960-08-01,2.5
1960-09-01,2.6
1960-10-01,2.6
1960-11-01,2.6
1960-12-01,2.7
1961-01-01,3
1961-02-01,3.3
1961-03-01,3.6
1961-04-01,4
1961-05-01,4.4
1961-06-01,4.8
1961-07-01,5.1
1961-08-01,5.2
1961-09-01,5.2
1961-10-01,5.2
1961-11-01,5.2
1961-12-01,5.2
1962-01-01,5.4
1962-02-01,5.9
1962-03-01,6.3
1962-04-01,6.7
1962-05-01,7
1962-06-01,7.3
1962-07-01,7.3
1962-08-01,7.4
1962-09-01,7.6
1962-10-01,7.8
1962-11-01,7.8
1962-12-01,8.2
1963-01-01,8.8
1963-02-01,9.2
1963-03-01,9.6
1963-04-01,10
1963-05-01,10.5
1963-06-01,10.6
1963-07-01,10.7
1963-08-01,11
1963-09-01,11.2
1963-10-01,11.4
1963-11-01,11.8
1963-12-01,12.2
1964-01-01,13.1
1964-02-01,13.7
1964-03-01,14
1964-04-01,14.4
1964-05-01,15.1
1964-06-01,15.4
1964-07-01,15.6
1964-08-01,15.9
1964-09-01,16
1964-10-01,16.3
1964-11-01,16.7
1964-12-01,17.1
1965-01-01,18.1
1965-02-01,18.7
1965-03-01,19
1965-04-01,19.4
1965-05-01,19.9
1965-06-01,20.1
1965-07-01,20.5
1965-08-01,21.2
1965-09-01,21.3
1965-10-01,21.7
1965-11-01,22
1965-12-01,22.4
1966-01-01,23
1966-02-01,23.4
1966-03-01,23.9
1966-04-01,25.2
1966-05-01,26.1
1966-06-01,26.1
1966-07-01,26.9
1966-08-01,27.4
1966-09-01,26.6
1966-10-01,25.1
1966-11-01,24.3
1966-12-01,24.9
1967-01-01,27.3
1967-02-01,29.5
1967-03-01,30.5
1967-04-01,30.9
1967-05-01,31.2
1967-06-01,31.1
1967-07-01,31.1
1967-08-01,32.3
1967-09-01,32
1967-10-01,31.6
1967-11-01,32.5
1967-12-01,32.9
1968-01-01,32.8
1968-02-01,33.3
1968-03-01,33.9
1968-04-01,33.7
1968-05-01,33.8
1968-06-01,33.1
1968-07-01,34.5
1968-08-01,36.9
1968-09-01,37.1
1968-10-01,38
1968-11-01,39.3
1968-12-01,40.4
1969-01-01,38.6
1969-02-01,37.1
1969-03-01,36.1
1969-04-01,35.8
1969-05-01,35.4
1969-06-01,33.3
1969-07-01,30.1
1969-08-01,28.2
1969-09-01,26.6
1969-10-01,25.6
1969-11-01,28.2
1969-12-01,28.1
1970-01-01,26.3
1970-02-01,26.9
1970-03-01,28.4
1970-04-01,31.4
1970-05-01,32.9
1970-06-01,31.5
1970-07-01,35.8
1970-08-01,40.6
1970-09-01,44
1970-10-01,46.5
1970-11-01,48.1
1970-12-01,50.3
1971-01-01,53
1971-02-01,54.7
1971-03-01,56.2
1971-04-01,55.4
1971-05-01,56.6
1971-06-01,56.2
1971-07-01,57.4
1971-08-01,59.4
1971-09-01,60.4
1971-10-01,62.7
1971-11-01,63.7
1971-12-01,65.3
1972-01-01,66.1
1972-02-01,67
1972-03-01,66.8
1972-04-01,69.4
1972-05-01,72.9
1972-06-01,73.8
1972-07-01,74.8
1972-08-01,79.1
1972-09-01,79.6
1972-10-01,80
1972-11-01,81.7
1972-12-01,83.1
1973-01-01,85.6
1973-02-01,91.6
1973-03-01,99.1
1973-04-01,102.3
1973-05-01,105.8
1973-06-01,106.3
1973-07-01,112.5
1973-08-01,122.1
1973-09-01,129
1973-10-01,130.9
1973-11-01,128.4
1973-12-01,128.7
1974-01-01,133.1
1974-02-01,137.4
1974-03-01,140
1974-04-01,147
1974-05-01,155.1
1974-06-01,158.5
1974-07-01,161.3
1974-08-01,166.7
1974-09-01,167.9
1974-10-01,166.8
1974-11-01,165.1
1974-12-01,167.3
1975-01-01,168.9
1975-02-01,167.6
1975-03-01,164.2
1975-04-01,159.7
1975-05-01,158.8
1975-06-01,154.3
1975-07-01,152.2
1975-08-01,153.1
1975-09-01,156.1
1975-10-01,156.2
1975-11-01,156.8
1975-12-01,155.5
1976-01-01,154.8
1976-02-01,152.5
1976-03-01,154.4
1976-04-01,154.8
1976-05-01,156.3
1976-06-01,157.2
1976-07-01,158.3
1976-08-01,161.2
1976-09-01,158.3
1976-10-01,155.4
1976-11-01,156.8
1976-12-01,160.1
1977-01-01,157
1977-02-01,157.7
1977-03-01,160
1977-04-01,159.6
1977-05-01,165.7
1977-06-01,168.4
1977-07-01,172.3
1977-08-01,178.7
1977-09-01,182.2
1977-10-01,186.9
1977-11-01,196.1
1977-12-01,203.1
1978-01-01,206.6
1978-02-01,212.9
1978-03-01,221.5
1978-04-01,225.7
1978-05-01,233.9
1978-06-01,234.7
1978-07-01,241.1
1978-08-01,250.5
1978-09-01,252.3
1978-10-01,257.6
1978-11-01,272.9
1978-12-01,281.7
1979-01-01,285.4
1979-02-01,292.5
1979-03-01,296.5
1979-04-01,295.2
1979-05-01,301
1979-06-01,302.6
