"Date","M1424CUSM144NNBR"
1914-11-01,1029
1914-12-01,969
1915-01-01,874
1915-02-01,862
1915-03-01,841
1915-04-01,812
1915-05-01,799
1915-06-01,782
1915-07-01,768
1915-08-01,764
1915-09-01,760
1915-10-01,755
1915-11-01,751
1915-12-01,742
1916-01-01,729
1916-02-01,733
1916-03-01,733
1916-04-01,728
1916-05-01,721
1916-06-01,716
1916-07-01,711
1916-08-01,710
1916-09-01,712
1916-10-01,706
1916-11-01,705
1916-12-01,703
1917-01-01,678
1917-02-01,693
1917-03-01,697
1917-04-01,697
1917-05-01,695
1917-06-01,691
1917-07-01,680
1917-08-01,690
1917-09-01,695
1917-10-01,695
1917-11-01,697
1917-12-01,689
1918-01-01,670
1918-02-01,680
1918-03-01,689
1918-04-01,689
1918-05-01,690
1918-06-01,691
1918-07-01,688
1918-08-01,691
1918-09-01,689
1918-10-01,678
1918-11-01,674
1918-12-01,650
1919-01-01,647
1919-02-01,640
1919-03-01,641
1919-04-01,638
1919-05-01,649
1919-06-01,639
1919-07-01,651
1919-08-01,655
1919-09-01,649
1919-10-01,662
1919-11-01,671
1919-12-01,672
1920-01-01,646
1920-02-01,653
1920-03-01,678
1920-04-01,677
1920-05-01,690
1920-06-01,690
1920-07-01,697
1920-08-01,700
1920-09-01,704
1920-10-01,711
1920-11-01,714
1920-12-01,695
1921-01-01,688
1921-02-01,703
1921-03-01,704
1921-04-01,702
1921-05-01,717
1921-06-01,721
1921-07-01,707
1921-08-01,710
1921-09-01,717
1921-10-01,717
1921-11-01,716
1921-12-01,705
1922-01-01,711
1922-02-01,719
1922-03-01,721
1922-04-01,722
1922-05-01,725
1922-06-01,728
1922-07-01,726
1922-08-01,733
1922-09-01,730
1922-10-01,722
1922-11-01,724
1922-12-01,708
1923-01-01,714
1923-02-01,725
1923-03-01,732
1923-04-01,733
1923-05-01,734
1923-06-01,711
1923-07-01,726
1923-08-01,729
1923-09-01,731
1923-10-01,727
1923-11-01,735
1923-12-01,714
1924-01-01,722
1924-02-01,735
1924-03-01,737
1924-04-01,729
1924-05-01,739
1924-06-01,734
1924-07-01,730
1924-08-01,741
1924-09-01,737
1924-10-01,734
1924-11-01,738
1924-12-01,706
1925-01-01,712
1925-02-01,717
1925-03-01,711
1925-04-01,698
1925-05-01,696
1925-06-01,682
1925-07-01,678
1925-08-01,679
1925-09-01,664
1925-10-01,667
1925-11-01,666
1925-12-01,635
1926-01-01,639
1926-02-01,653
1926-03-01,646
1926-04-01,655
1926-05-01,661
1926-06-01,651
1926-07-01,654
1926-08-01,649
1926-09-01,647
1926-10-01,651
1926-11-01,648
1926-12-01,629
1927-01-01,631
1927-02-01,645
1927-03-01,648
1927-04-01,654
1927-05-01,660
1927-06-01,650
1927-07-01,652
1927-08-01,651
1927-09-01,653
1927-10-01,648
1927-11-01,639
1927-12-01,619
1928-01-01,617
1928-02-01,639
1928-03-01,654
1928-04-01,652
1928-05-01,649
1928-06-01,650
1928-07-01,637
1928-08-01,650
1928-09-01,649
1928-10-01,639
1928-11-01,650
1928-12-01,616
1929-01-01,613
1929-02-01,626
1929-03-01,646
1929-04-01,644
1929-05-01,642
1929-06-01,653
1929-07-01,620
1929-08-01,636
1929-09-01,630
1929-10-01,623
1929-11-01,606
1929-12-01,597
1930-01-01,632
1930-02-01,648
1930-03-01,647
1930-04-01,645
1930-05-01,648
1930-06-01,651
1930-07-01,640
1930-08-01,648
1930-09-01,635
1930-10-01,641
1930-11-01,648
1930-12-01,623
1931-01-01,640
1931-02-01,649
1931-03-01,648
1931-04-01,651
1931-05-01,655
1931-06-01,648
1931-07-01,647
1931-08-01,646
1931-09-01,645
1931-10-01,657
1931-11-01,655
1931-12-01,656
1932-01-01,677
1932-02-01,691
1932-03-01,693
1932-04-01,703
1932-05-01,702
1932-06-01,701
1932-07-01,700
1932-08-01,744
1932-09-01,785
1932-10-01,817
1932-11-01,826
1932-12-01,820
1933-01-01,836
1933-02-01,861
1933-03-01,879
1933-04-01,915
1933-05-01,922
1933-06-01,920
1933-07-01,914
1933-08-01,911
1933-09-01,909
1933-10-01,903
1933-11-01,913
1933-12-01,918
1934-01-01,927
1934-02-01,938
1934-03-01,936
1934-04-01,918
1934-05-01,906
1934-06-01,902
1934-07-01,885
1934-08-01,878
1934-09-01,870
1934-10-01,856
1934-11-01,853
1934-12-01,820
1935-01-01,827
1935-02-01,823
1935-03-01,810
1935-04-01,778
1935-05-01,747
1935-06-01,704
1935-07-01,654
1935-08-01,596
1935-09-01,553
1935-10-01,514
1935-11-01,487
1935-12-01,458
1936-01-01,436
1936-02-01,421
1936-03-01,406
1936-04-01,391
1936-05-01,378
1936-06-01,366
1936-07-01,352
1936-08-01,342
1936-09-01,332
1936-10-01,324
1936-11-01,316
1936-12-01,307
1937-01-01,300
1937-02-01,294
1937-03-01,287
1937-04-01,281
1937-05-01,275
1937-06-01,269
1937-07-01,263
1937-08-01,258
1937-09-01,253
1937-10-01,248
1937-11-01,243
1937-12-01,239
1938-01-01,234
1938-02-01,231
1938-03-01,227
1938-04-01,224
1938-05-01,220
1938-06-01,217
1938-07-01,214
1938-08-01,211
1938-09-01,208
1938-10-01,206
1938-11-01,203
1938-12-01,201
1939-01-01,198
1939-02-01,195
1939-03-01,193
1939-04-01,191
1939-05-01,189
1939-06-01,186
1939-07-01,184
1939-08-01,182
1939-09-01,180
1939-10-01,178
1939-11-01,177
1939-12-01,175
1940-01-01,173
1940-02-01,171
1940-03-01,170
1940-04-01,168
1940-05-01,167
1940-06-01,165
1940-07-01,164
1940-08-01,162
1940-09-01,161
1940-10-01,160
1940-11-01,159
1940-12-01,157
1941-01-01,156
1941-02-01,155
1941-03-01,154
1941-04-01,153
1941-05-01,152
1941-06-01,150
1941-07-01,149
1941-08-01,148
1941-09-01,147
1941-10-01,146
1941-11-01,145
1941-12-01,144
1942-01-01,143
1942-02-01,143
1942-03-01,142
1942-04-01,141
1942-05-01,140
1942-06-01,139
1942-07-01,138
1942-08-01,138
1942-09-01,137
1942-10-01,136
1942-11-01,136
1942-12-01,135
1943-01-01,135
1943-02-01,134
1943-03-01,134
1943-04-01,133
1943-05-01,133
1943-06-01,132
1943-07-01,131
1943-08-01,131
1943-09-01,130
1943-10-01,130
1943-11-01,129
1943-12-01,129
1944-01-01,128
1944-02-01,128
1944-03-01,127
1944-04-01,127
1944-05-01,126
1944-06-01,126
1944-07-01,125
1944-08-01,125
1944-09-01,125
1944-10-01,124
1944-11-01,124
1944-12-01,123
1945-01-01,123
1945-02-01,122
1945-03-01,122
1945-04-01,121
1945-05-01,121
1945-06-01,120
1945-07-01,119
1945-08-01,119
1945-09-01,119
1945-10-01,118
1945-11-01,118
1945-12-01,117
1946-01-01,117
1946-02-01,116
1946-03-01,116
1946-04-01,115
1946-05-01,114
1946-06-01,114
1946-07-01,113
1946-08-01,113
1946-09-01,112
1946-10-01,111
1946-11-01,111
1946-12-01,110
1947-01-01,110
1947-02-01,109
1947-03-01,108
1947-04-01,108
1947-05-01,107
1947-06-01,106
1947-07-01,106
1947-08-01,106
1947-09-01,105
1947-10-01,104
1947-11-01,103
1947-12-01,103
1948-01-01,102
1948-02-01,101
1948-03-01,101
1948-04-01,100
1948-05-01,100
1948-06-01,99
1948-07-01,98
1948-08-01,98
1948-09-01,97
1948-10-01,97
1948-11-01,96
1948-12-01,95
1949-01-01,95
1949-02-01,94
1949-03-01,94
1949-04-01,93
