"Date","M14185USM144SNBR"
1919-08-01,579
1919-09-01,595
1919-10-01,601
1919-11-01,591
1919-12-01,603
1920-01-01,610
1920-02-01,598
1920-03-01,599
1920-04-01,589
1920-05-01,577
1920-06-01,589
1920-07-01,601
1920-08-01,606
1920-09-01,597
1920-10-01,595
1920-11-01,599
1920-12-01,623
1921-01-01,601
1921-02-01,617
1921-03-01,579
1921-04-01,539
1921-05-01,558
1921-06-01,514
1921-07-01,530
1921-08-01,505
1921-09-01,480
1921-10-01,491
1921-11-01,472
1921-12-01,472
1922-01-01,486
1922-02-01,490
1922-03-01,501
1922-04-01,511
1922-05-01,490
1922-06-01,491
1922-07-01,493
1922-08-01,493
1922-09-01,495
1922-10-01,500
1922-11-01,500
1922-12-01,509
1923-01-01,526
1923-02-01,518
1923-03-01,508
1923-04-01,504
1923-05-01,487
1923-06-01,483
1923-07-01,478
1923-08-01,495
1923-09-01,523
1923-10-01,531
1923-11-01,516
1923-12-01,516
1924-01-01,511
1924-02-01,510
1924-03-01,511
1924-04-01,496
1924-05-01,494
1924-06-01,506
1924-07-01,513
1924-08-01,523
1924-09-01,531
1924-10-01,528
1924-11-01,540
1924-12-01,546
1925-01-01,531
1925-02-01,536
1925-03-01,545
1925-04-01,515
1925-05-01,522
1925-06-01,509
1925-07-01,508
1925-08-01,511
1925-09-01,505
1925-10-01,517
1925-11-01,511
1925-12-01,514
1926-01-01,530
1926-02-01,527
1926-03-01,533
1926-04-01,533
1926-05-01,531
1926-06-01,527
1926-07-01,517
1926-08-01,524
1926-09-01,516
1926-10-01,528
1926-11-01,531
1926-12-01,508
1927-01-01,512
1927-02-01,508
1927-03-01,510
1927-04-01,524
1927-05-01,528
1927-06-01,524
1927-07-01,539
1927-08-01,527
1927-09-01,525
1927-10-01,525
1927-11-01,514
1927-12-01,525
1928-01-01,537
1928-02-01,516
1928-03-01,522
1928-04-01,520
1928-05-01,509
1928-06-01,504
1928-07-01,502
1928-08-01,489
1928-09-01,497
1928-10-01,490
1928-11-01,488
1928-12-01,506
1929-01-01,513
1929-02-01,509
1929-03-01,505
1929-04-01,497
1929-05-01,477
1929-06-01,490
1929-07-01,479
1929-08-01,502
1929-09-01,514
1929-10-01,514
1929-11-01,541
1929-12-01,525
1930-01-01,498
1930-02-01,515
1930-03-01,506
1930-04-01,496
1930-05-01,495
1930-06-01,506
1930-07-01,493
1930-08-01,476
1930-09-01,455
1930-10-01,443
1930-11-01,464
1930-12-01,487
1931-01-01,528
1931-02-01,502
1931-03-01,482
1931-04-01,449
1931-05-01,476
1931-06-01,477
1931-07-01,504
1931-08-01,498
1931-09-01,502
1931-10-01,524
1931-11-01,519
1931-12-01,479
1932-01-01,484
1932-02-01,477
1932-03-01,463
1932-04-01,471
1932-05-01,460
1932-06-01,450
1932-07-01,484
1932-08-01,445
1932-09-01,439
1932-10-01,430
1932-11-01,409
1932-12-01,426
1933-01-01,433
1933-02-01,430
1933-03-01,619
1933-04-01,512
1933-05-01,457
1933-06-01,443
1933-07-01,432
1933-08-01,419
1933-09-01,441
1933-10-01,439
1933-11-01,426
1933-12-01,460
1934-01-01,471
1934-02-01,487
1934-03-01,498
1934-04-01,529
1934-05-01,514
1934-06-01,532
1934-07-01,536
1934-08-01,513
1934-09-01,530
1934-10-01,529
1934-11-01,535
1934-12-01,554
1935-01-01,553
1935-02-01,568
1935-03-01,565
1935-04-01,564
1935-05-01,554
1935-06-01,586
1935-07-01,598
1935-08-01,598
1935-09-01,600
1935-10-01,570
1935-11-01,578
1935-12-01,592
1936-01-01,593
1936-02-01,621
1936-03-01,631
1936-04-01,639
1936-05-01,666
1936-06-01,667
1936-07-01,692
1936-08-01,693
1936-09-01,672
1936-10-01,661
1936-11-01,671
1936-12-01,651
1937-01-01,647
1937-02-01,654
1937-03-01,654
1937-04-01,643
1937-05-01,649
1937-06-01,630
1937-07-01,611
1937-08-01,621
1937-09-01,585
1937-10-01,611
1937-11-01,592
1937-12-01,568
1938-01-01,585
1938-02-01,583
1938-03-01,605
1938-04-01,665
1938-05-01,693
1938-06-01,703
1938-07-01,721
1938-08-01,697
1938-09-01,705
1938-10-01,733
1938-11-01,729
1938-12-01,750
1939-01-01,768
1939-02-01,732
1939-03-01,716
1939-04-01,754
1939-05-01,731
1939-06-01,745
1939-07-01,771
1939-08-01,744
1939-09-01,776
1939-10-01,774
1939-11-01,770
1939-12-01,834
1940-01-01,865
1940-02-01,838
1940-03-01,841
1940-04-01,819
1940-05-01,816
1940-06-01,867
1940-07-01,871
1940-08-01,888
1940-09-01,919
1940-10-01,885
1940-11-01,916
1940-12-01,921
1941-01-01,886
1941-02-01,938
1941-03-01,927
1941-04-01,895
1941-05-01,922
1941-06-01,981
1941-07-01,1007
1941-08-01,1017
1941-09-01,1005
1941-10-01,988
1941-11-01,1012
1941-12-01,998
1942-01-01,969
1942-02-01,1036
1942-03-01,1024
1942-04-01,982
1942-05-01,1025
1942-06-01,996
1942-07-01,996
1942-08-01,1032
1942-09-01,984
1942-10-01,981
1942-11-01,986
1942-12-01,957
1943-01-01,949
