"Date","SMU55000005552210001SA"
2003-01-01,42.3935137975974
2003-02-01,42.620903059807
2003-03-01,42.6942206075726
2003-04-01,42.5887261088825
2003-05-01,42.5408002608505
2003-06-01,42.5789772932655
2003-07-01,42.650651273906
2003-08-01,42.486681411238
2003-09-01,42.4031370954592
2003-10-01,42.2146330693847
2003-11-01,42.0128136341207
2003-12-01,42.0267773397925
2004-01-01,41.9858018451643
2004-02-01,41.9042344802821
2004-03-01,41.8900181030966
2004-04-01,41.8855959878385
2004-05-01,41.9447410939281
2004-06-01,42.0770149663032
2004-07-01,41.8578429636365
2004-08-01,41.9031512544546
2004-09-01,41.8164828932866
2004-10-01,41.8171747768702
2004-11-01,41.7144370823878
2004-12-01,42.0299109879178
2005-01-01,41.4707334559942
2005-02-01,41.2719136917302
2005-03-01,41.3843045296338
2005-04-01,41.3800856572263
2005-05-01,41.3436832992074
2005-06-01,41.2819144224936
2005-07-01,41.3694171577528
2005-08-01,41.3290251613722
2005-09-01,41.640491591392
2005-10-01,41.4208686752449
2005-11-01,41.6126197502546
2005-12-01,41.6331775639369
2006-01-01,41.7547119604578
2006-02-01,41.7311770207874
2006-03-01,41.7719048580903
2006-04-01,41.8741723017755
2006-05-01,41.8509816613234
2006-06-01,41.7824799134167
2006-07-01,41.7780618312666
2006-08-01,41.7531384650744
2006-09-01,41.7662067032592
2006-10-01,41.8301580522048
2006-11-01,41.8099391777592
2006-12-01,41.8318472382781
2007-01-01,42.3383274073839
2007-02-01,42.3018003112452
2007-03-01,42.1495326704489
2007-04-01,42.0677659683494
2007-05-01,42.0560757558935
2007-06-01,42.2836919082789
2007-07-01,42.2998455929406
2007-08-01,42.2726419512069
2007-09-01,42.2870145363702
2007-10-01,42.324184976063
2007-11-01,42.4139289583486
2007-12-01,42.4181405555851
2008-01-01,42.6311626111151
2008-02-01,42.7901307370436
2008-03-01,42.8249783590912
2008-04-01,42.8702089243601
2008-05-01,42.9716768777524
2008-06-01,42.883997916129
2008-07-01,42.9163993011629
2008-08-01,43.0845131486606
2008-09-01,42.9896250998651
2008-10-01,42.707819329008
2008-11-01,42.8132046451996
2008-12-01,42.9036005803514
2009-01-01,43.1355029162963
2009-02-01,43.0045034867852
2009-03-01,42.9016752171835
2009-04-01,42.8757680000556
2009-05-01,42.6769170123126
2009-06-01,42.5904416319427
2009-07-01,42.4430799195305
2009-08-01,42.289284869532
2009-09-01,42.0717187964741
2009-10-01,41.9722444125881
2009-11-01,41.9032202942368
2009-12-01,41.7964577095334
2010-01-01,41.4627393833335
2010-02-01,41.4269307897272
2010-03-01,41.4928914529055
2010-04-01,41.380885322917
2010-05-01,41.3738118248407
2010-06-01,41.4012401998799
2010-07-01,41.2558491178123
2010-08-01,41.2868776662164
2010-09-01,41.254109874547
2010-10-01,41.2461315751165
2010-11-01,41.0826947136187
2010-12-01,41.1936301459946
2011-01-01,41.1922105237991
2011-02-01,41.0585995080506
2011-03-01,40.9918316063476
2011-04-01,40.9856233300533
2011-05-01,40.9560588532776
2011-06-01,40.9030990426482
2011-07-01,41.0669948259461
2011-08-01,40.9768866207071
2011-09-01,41.1397227832117
2011-10-01,41.1337290511503
2011-11-01,41.1716262735837
2011-12-01,41.092078705434
2012-01-01,41.0198906134187
2012-02-01,40.9798417193202
2012-03-01,41.0016154559239
2012-04-01,40.8936184966919
2012-05-01,40.7306641145799
2012-06-01,40.6926689473122
2012-07-01,40.5675262333872
2012-08-01,40.5675622423216
2012-09-01,40.53024121703
2012-10-01,40.5411679191522
2012-11-01,40.4636809638555
2012-12-01,40.2984006222891
2013-01-01,40.2490332524828
2013-02-01,40.2866424447336
2013-03-01,40.1107703047059
2013-04-01,40.1926705909861
2013-05-01,40.3043045904537
2013-06-01,40.270005977638
2013-07-01,40.3678037420541
2013-08-01,40.3604145142212
2013-09-01,40.222955075397
2013-10-01,40.265353783144
2013-11-01,40.2709165076299
2013-12-01,40.3044851488239
2014-01-01,40.3685768529272
2014-02-01,40.378863443541
2014-03-01,40.4182949365415
2014-04-01,40.4937941958362
2014-05-01,40.4864625407992
2014-06-01,40.3378516057901
2014-07-01,40.2630137353161
2014-08-01,40.2546937568189
2014-09-01,40.224131894181
2014-10-01,40.0933295010813
2014-11-01,40.0933315760143
2014-12-01,40.1051984659595
2015-01-01,39.7741629800998
2015-02-01,39.769284495057
2015-03-01,39.7229631919373
2015-04-01,39.5871676258998
2015-05-01,39.581000918044
2015-06-01,39.5106043728425
2015-07-01,39.3628738653958
2015-08-01,39.354884720304
2015-09-01,39.3175406222536
2015-10-01,39.315299909768
2015-11-01,39.3252915412367
2015-12-01,39.299956225947
2016-01-01,39.2661923534792
2016-02-01,39.3571380832643
2016-03-01,39.3251087707362
2016-04-01,39.4907335667775
2016-05-01,39.3879923813126
2016-06-01,39.4890444886333
2016-07-01,39.5497723367369
2016-08-01,39.4535240178793
2016-09-01,39.5188709175286
2016-10-01,39.4302534427444
2016-11-01,39.3548555401731
2016-12-01,39.5925018819229
2017-01-01,39.4538234039479
2017-02-01,39.4476589638697
2017-03-01,39.4318428314226
2017-04-01,39.2916233575652
2017-05-01,39.2006202003787
2017-06-01,39.1769776195357
2017-07-01,39.0323998144726
2017-08-01,39.0564689942248
2017-09-01,39.0162270917
2017-10-01,39.0384735412418
2017-11-01,38.8735760525769
2017-12-01,38.891813239054
2018-01-01,38.9512808067407
2018-02-01,38.8402687189129
2018-03-01,38.8329336737599
2018-04-01,38.8893133151898
2018-05-01,38.9099744159213
2018-06-01,38.8697803837765
2018-07-01,38.9097297829733
