"Date","DISAMBSL"
1950-01-01,32.721
1950-02-01,32.69
1950-03-01,32.677
1950-04-01,32.821
1950-05-01,32.831
1950-06-01,32.649
1950-07-01,32.678
1950-08-01,32.729
1950-09-01,32.814
1950-10-01,32.869
1950-11-01,32.904
1950-12-01,32.545
1951-01-01,31.999
1951-02-01,33.194
1951-03-01,33.437
1951-04-01,33.793
1951-05-01,33.586
1951-06-01,33.672
1951-07-01,33.809
1951-08-01,33.981
1951-09-01,34.088
1951-10-01,34.402
1951-11-01,34.345
1951-12-01,34.561
1952-01-01,34.901
1952-02-01,34.867
1952-03-01,35.175
1952-04-01,35.002
1952-05-01,34.988
1952-06-01,34.973
1952-07-01,35.311
1952-08-01,35.448
1952-09-01,35.643
1952-10-01,35.719
1952-11-01,35.907
1952-12-01,36.127
1953-01-01,36.128
1953-02-01,36.354
1953-03-01,36.36
1953-04-01,36.08
1953-05-01,36.222
1953-06-01,37.002
1953-07-01,36.513
1953-08-01,36.585
1953-09-01,36.561
1953-10-01,36.596
1953-11-01,36.534
1953-12-01,36.526
1954-01-01,36.767
1954-02-01,36.622
1954-03-01,36.522
1954-04-01,36.44
1954-05-01,36.661
1954-06-01,37.037
1954-07-01,37.242
1954-08-01,36.65
1954-09-01,36.483
1954-10-01,36.812
1954-11-01,36.914
1954-12-01,36.77
1955-01-01,36.736
1955-02-01,36.916
1955-03-01,36.836
1955-04-01,36.864
1955-05-01,36.929
1955-06-01,36.79
1955-07-01,36.932
1955-08-01,37.032
1955-09-01,37.03
1955-10-01,37.118
1955-11-01,37.092
1955-12-01,37.077
1956-01-01,37.207
1956-02-01,37.16
1956-03-01,37.373
1956-04-01,37.193
1956-05-01,37.242
1956-06-01,37.313
1956-07-01,37.314
1956-08-01,37.335
1956-09-01,37.498
1956-10-01,37.54
1956-11-01,37.711
1956-12-01,37.709
1957-01-01,37.644
1957-02-01,37.613
1957-03-01,37.698
1957-04-01,37.655
1957-05-01,37.556
1957-06-01,37.703
1957-07-01,37.685
1957-08-01,37.578
1957-09-01,37.758
1957-10-01,37.802
1957-11-01,37.78
1957-12-01,37.842
1958-01-01,37.688
