"Date","MBCURRCIR"
1959-01-01,31600
1959-02-01,31200
1959-03-01,31300
1959-04-01,31400
1959-05-01,31600
1959-06-01,31900
1959-07-01,32100
1959-08-01,32100
1959-09-01,32100
1959-10-01,32100
1959-11-01,32300
1959-12-01,32800
1960-01-01,32100
1960-02-01,31700
1960-03-01,31700
1960-04-01,31800
1960-05-01,31800
1960-06-01,32000
1960-07-01,32200
1960-08-01,32200
1960-09-01,32200
1960-10-01,32300
1960-11-01,32500
1960-12-01,33100
1961-01-01,32400
1961-02-01,31900
1961-03-01,31900
1961-04-01,32000
1961-05-01,32100
1961-06-01,32300
1961-07-01,32700
1961-08-01,32600
1961-09-01,32800
1961-10-01,32900
1961-11-01,33300
1961-12-01,34000
1962-01-01,33400
1962-02-01,32900
1962-03-01,33100
1962-04-01,33300
1962-05-01,33400
1962-06-01,33700
1962-07-01,34100
1962-08-01,34000
1962-09-01,34100
1962-10-01,34200
1962-11-01,34600
1962-12-01,35300
1963-01-01,34700
1963-02-01,34300
1963-03-01,34500
1963-04-01,34800
1963-05-01,34900
1963-06-01,35400
1963-07-01,35800
1963-08-01,35900
1963-09-01,36000
1963-10-01,36200
1963-11-01,36700
1963-12-01,37700
1964-01-01,37000
1964-02-01,36500
1964-03-01,36700
1964-04-01,37000
1964-05-01,37200
1964-06-01,37600
1964-07-01,38000
1964-08-01,38100
1964-09-01,38300
1964-10-01,38400
1964-11-01,39000
1964-12-01,39800
1965-01-01,39100
1965-02-01,38700
1965-03-01,38800
1965-04-01,39000
1965-05-01,39100
1965-06-01,39600
1965-07-01,40100
1965-08-01,40200
1965-09-01,40400
1965-10-01,40800
1965-11-01,41400
1965-12-01,42300
1966-01-01,41700
1966-02-01,41300
1966-03-01,41500
1966-04-01,41700
1966-05-01,41900
1966-06-01,42400
1966-07-01,42900
1966-08-01,43000
1966-09-01,43100
1966-10-01,43200
1966-11-01,43800
1966-12-01,44600
1967-01-01,44100
1967-02-01,43600
1967-03-01,43700
1967-04-01,43900
1967-05-01,44100
1967-06-01,44600
1967-07-01,45100
1967-08-01,45100
1967-09-01,45300
1967-10-01,45500
1967-11-01,46000
1967-12-01,47000
1968-01-01,46500
1968-02-01,45900
1968-03-01,46200
1968-04-01,46700
1968-05-01,46900
1968-06-01,47600
1968-07-01,48100
1968-08-01,48300
