"Date","M14156USM144SNBR"
1916-01-01,1296
1916-02-01,NA
1916-03-01,1371
1916-04-01,NA
1916-05-01,1445
1916-06-01,NA
1916-07-01,1510
1916-08-01,NA
1916-09-01,1572
1916-10-01,NA
1916-11-01,NA
1916-12-01,1648
1917-01-01,1681
1917-02-01,NA
1917-03-01,1798
1917-04-01,NA
1917-05-01,1873
1917-06-01,NA
1917-07-01,1893
1917-08-01,NA
1917-09-01,1982
1917-10-01,NA
1917-11-01,NA
1917-12-01,1962
1918-01-01,1978
1918-02-01,NA
1918-03-01,2034
1918-04-01,NA
1918-05-01,2018
1918-06-01,NA
1918-07-01,2027
1918-08-01,NA
1918-09-01,2059
1918-10-01,NA
1918-11-01,2044
1918-12-01,NA
1919-01-01,2136
1919-02-01,NA
1919-03-01,2294
1919-04-01,NA
1919-05-01,2317
1919-06-01,NA
1919-07-01,2426
1919-08-01,NA
1919-09-01,2522
1919-10-01,NA
1919-11-01,NA
1919-12-01,2634
1920-01-01,2712
1920-02-01,NA
1920-03-01,2824
1920-04-01,NA
1920-05-01,2959
1920-06-01,NA
1920-07-01,3031
1920-08-01,NA
1920-09-01,3083
1920-10-01,NA
1920-11-01,NA
1920-12-01,3149
1921-01-01,3175
1921-02-01,NA
1921-03-01,3252
1921-04-01,NA
1921-05-01,3231
1921-06-01,NA
1921-07-01,3247
1921-08-01,NA
1921-09-01,3239
1921-10-01,NA
1921-11-01,NA
1921-12-01,NA
1922-01-01,3274
1922-02-01,NA
1922-03-01,3336
1922-04-01,NA
1922-05-01,3395
1922-06-01,NA
1922-07-01,3483
1922-08-01,NA
1922-09-01,NA
1922-10-01,3552
1922-11-01,NA
1922-12-01,NA
1923-01-01,3667
1923-02-01,NA
1923-03-01,NA
1923-04-01,3896
1923-05-01,NA
1923-06-01,NA
1923-07-01,4065
