"Date","M1418BUSM144NNBR"
1929-01-01,1623
1929-02-01,1599
1929-03-01,1579
1929-04-01,1560
1929-05-01,1550
1929-06-01,1554
1929-07-01,1570
1929-08-01,1568
1929-09-01,1572
1929-10-01,1584
1929-11-01,1577
1929-12-01,1557
1930-01-01,1554
1930-02-01,1536
1930-03-01,1547
1930-04-01,1562
1930-05-01,1559
1930-06-01,1570
1930-07-01,1584
1930-08-01,1574
1930-09-01,1573
1930-10-01,1562
1930-11-01,1568
1930-12-01,1546
1931-01-01,1542
1931-02-01,1523
1931-03-01,1526
1931-04-01,1547
1931-05-01,1539
1931-06-01,1522
1931-07-01,1520
1931-08-01,1502
1931-09-01,1469
1931-10-01,1408
1931-11-01,1344
1931-12-01,1310
1932-01-01,1255
1932-02-01,1227
1932-03-01,1212
1932-04-01,1216
1932-05-01,1264
1932-06-01,1279
1932-07-01,1236
1932-08-01,1241
1932-09-01,1254
1932-10-01,1306
1932-11-01,1329
1932-12-01,1352
1933-01-01,1407
1933-02-01,1431
1933-03-01,1159
1933-04-01,1173
1933-05-01,1191
1933-06-01,1299
1933-07-01,1425
1933-08-01,1494
1933-09-01,1555
1933-10-01,1664
1933-11-01,1733
1933-12-01,1760
1934-01-01,1844
1934-02-01,1927
1934-03-01,2118
1934-04-01,2292
1934-05-01,2372
1934-06-01,2399
1934-07-01,2535
1934-08-01,2536
1934-09-01,2507
1934-10-01,2503
1934-11-01,2594
1934-12-01,2569
1935-01-01,2704
1935-02-01,2737
1935-03-01,2692
1935-04-01,2720
1935-05-01,2965
1935-06-01,3010
1935-07-01,3032
1935-08-01,2926
1935-09-01,2923
1935-10-01,3009
1935-11-01,3194
1935-12-01,3175
1936-01-01,3187
1936-02-01,3229
1936-03-01,3149
1936-04-01,3137
1936-05-01,3254
1936-06-01,3301
1936-07-01,3582
1936-08-01,3679
1936-09-01,3883
1936-10-01,4020
1936-11-01,4090
1936-12-01,4003
1937-01-01,3997
1937-02-01,3935
1937-03-01,4052
1937-04-01,4085
1937-05-01,4247
1937-06-01,4209
1937-07-01,4193
1937-08-01,4179
1937-09-01,4182
1937-10-01,4187
1937-11-01,4199
1937-12-01,4222
1938-01-01,4327
1938-02-01,4324
1938-03-01,4287
1938-04-01,4319
1938-05-01,4383
1938-06-01,4537
1938-07-01,4622
1938-08-01,4596
1938-09-01,4527
1938-10-01,4607
1938-11-01,4652
1938-12-01,4606
1939-01-01,4620
1939-02-01,4443
1939-03-01,4549
1939-04-01,4735
1939-05-01,4903
1939-06-01,5036
1939-07-01,5126
1939-08-01,5293
1939-09-01,5577
1939-10-01,5904
1939-11-01,5929
1939-12-01,5850
1940-01-01,5886
1940-02-01,5892
1940-03-01,5934
1940-04-01,6155
1940-05-01,6426
1940-06-01,6655
1940-07-01,6756
1940-08-01,6699
1940-09-01,6938
1940-10-01,7154
1940-11-01,7156
1940-12-01,7052
1941-01-01,7204
1941-02-01,7189
1941-03-01,7055
1941-04-01,7082
1941-05-01,7407
1941-06-01,7243
1941-07-01,7245
1941-08-01,7404
1941-09-01,7630
1941-10-01,7783
1941-11-01,7847
1941-12-01,7670
1942-01-01,7688
1942-02-01,7642
1942-03-01,7639
1942-04-01,7621
1942-05-01,7640
1942-06-01,7765
1942-07-01,7800
1942-08-01,8007
1942-09-01,8149
1942-10-01,8141
1942-11-01,8532
1942-12-01,8849
1943-01-01,8992
1943-02-01,8934
1943-03-01,9254
1943-04-01,9060
1943-05-01,8651
1943-06-01,8792
1943-07-01,8823
1943-08-01,8880
1943-09-01,9221
1943-10-01,8689
1943-11-01,8860
1943-12-01,9148
1944-01-01,9267
1944-02-01,8954
1944-03-01,8943
1944-04-01,8994
1944-05-01,9256
1944-06-01,9659
1944-07-01,9375
1944-08-01,9435
1944-09-01,9748
1944-10-01,9992
1944-11-01,10463
1944-12-01,10412
1945-01-01,10337
1945-02-01,10247
1945-03-01,10518
1945-04-01,10598
1945-05-01,10941
1945-06-01,11204
1945-07-01,10825
1945-08-01,11019
1945-09-01,11320
1945-10-01,11492
1945-11-01,11781
1945-12-01,11909
1946-01-01,11867
1946-02-01,11648
1946-03-01,11566
1946-04-01,11516
1946-05-01,11650
1946-06-01,11797
1946-07-01,11837
1946-08-01,11906
1946-09-01,11977
1946-10-01,11993
1946-11-01,12103
1946-12-01,12247
1947-01-01,12192
1947-02-01,11896
1947-03-01,11877
1947-04-01,11806
1947-05-01,11837
1947-06-01,11957
1947-07-01,12108
1947-08-01,12278
1947-09-01,12596
1947-10-01,12749
1947-11-01,12713
1947-12-01,12857
1948-01-01,12963
1948-02-01,12546
1948-03-01,12504
1948-04-01,12374
1948-05-01,12422
1948-06-01,12588
1948-07-01,12672
1948-08-01,12781
1948-09-01,13472
1948-10-01,14487
1948-11-01,14543
1948-12-01,14582
1949-01-01,14633
1949-02-01,14340
1949-03-01,14213
1949-04-01,14016
