"Date","MSIM1P"
1967-01-01,211.1
1967-02-01,212.5
1967-03-01,214.7
1967-04-01,213.9
1967-05-01,215.8
1967-06-01,217.4
1967-07-01,218.8
1967-08-01,220.7
1967-09-01,221.9
1967-10-01,223.1
1967-11-01,224
1967-12-01,225.1
1968-01-01,226.4
1968-02-01,226.9
1968-03-01,227.8
1968-04-01,229.2
1968-05-01,230.9
1968-06-01,232.7
1968-07-01,234
1968-08-01,235.6
1968-09-01,236.8
1968-10-01,238.3
1968-11-01,240.8
1968-12-01,242.5
1969-01-01,244.1
1969-02-01,244.9
1969-03-01,245.7
1969-04-01,246.5
1969-05-01,246.7
1969-06-01,247.2
1969-07-01,247.7
1969-08-01,247.8
1969-09-01,248.3
1969-10-01,249.2
1969-11-01,250.1
1969-12-01,250.4
1970-01-01,253.3
1970-02-01,251.8
1970-03-01,252.7
1970-04-01,253.9
1970-05-01,254.5
1970-06-01,254.9
1970-07-01,255.5
1970-08-01,257.9
1970-09-01,260.1
1970-10-01,261.5
1970-11-01,262.4
1970-12-01,263.4
1971-01-01,264.8
1971-02-01,267.1
1971-03-01,268.7
1971-04-01,270.2
1971-05-01,272.7
1971-06-01,274.5
1971-07-01,276.2
1971-08-01,277.1
1971-09-01,278.2
1971-10-01,279
1971-11-01,279.8
1971-12-01,280.5
1972-01-01,282.6
1972-02-01,285.4
1972-03-01,287.8
1972-04-01,289.4
1972-05-01,289.8
1972-06-01,290.7
1972-07-01,293.3
1972-08-01,295.9
1972-09-01,298.7
1972-10-01,301
1972-11-01,302.7
1972-12-01,306.2
1973-01-01,308.9
1973-02-01,309.7
1973-03-01,309.1
1973-04-01,310.4
1973-05-01,313.1
1973-06-01,315.3
1973-07-01,316.4
1973-08-01,316.6
1973-09-01,316.7
1973-10-01,318.2
1973-11-01,320.6
1973-12-01,322.9
1974-01-01,324
1974-02-01,325.9
1974-03-01,327.6
1974-04-01,328.2
1974-05-01,328.7
1974-06-01,329.8
1974-07-01,330.8
1974-08-01,331.8
1974-09-01,333
1974-10-01,334.6
1974-11-01,336.2
1974-12-01,336.9
1975-01-01,336.4
1975-02-01,337.7
1975-03-01,339.4
1975-04-01,339.1
1975-05-01,342.8
1975-06-01,346.7
1975-07-01,348.3
1975-08-01,348.8
1975-09-01,350.7
1975-10-01,350.3
1975-11-01,352
1975-12-01,352.3
1976-01-01,353.9
1976-02-01,356.7
1976-03-01,358.9
1976-04-01,361.2
1976-05-01,362.7
1976-06-01,362.9
1976-07-01,364
1976-08-01,366.1
1976-09-01,366.7
1976-10-01,369.5
1976-11-01,371.3
1976-12-01,374.4
1977-01-01,376.7
1977-02-01,380.6
1977-03-01,383.4
1977-04-01,386
1977-05-01,387.4
1977-06-01,389.2
1977-07-01,390.9
1977-08-01,393.3
1977-09-01,395.9
1977-10-01,398.1
1977-11-01,400.8
1977-12-01,403.4
1978-01-01,407.7
1978-02-01,408.7
1978-03-01,410.6
1978-04-01,414.2
1978-05-01,420.1
1978-06-01,422.5
1978-07-01,423.4
1978-08-01,425.9
1978-09-01,429
1978-10-01,430.3
1978-11-01,432.1
1978-12-01,433.6
1979-01-01,434.6
1979-02-01,435.7
1979-03-01,438.2
1979-04-01,444.4
1979-05-01,446.1
1979-06-01,450.2
1979-07-01,454.6
1979-08-01,456.3
1979-09-01,456.7
1979-10-01,458.6
1979-11-01,458.5
1979-12-01,459.6
1980-01-01,464.3
1980-02-01,469.3
1980-03-01,467.1
1980-04-01,461.3
1980-05-01,462.5
1980-06-01,467.1
1980-07-01,472.3
1980-08-01,478
1980-09-01,484.3
1980-10-01,488.9
1980-11-01,490.2
1980-12-01,487.4
1981-01-01,486.5
1981-02-01,487.7
1981-03-01,490.7
1981-04-01,498.4
1981-05-01,495.1
1981-06-01,495.1
1981-07-01,496.7
1981-08-01,496.4
1981-09-01,495.9
1981-10-01,497.2
1981-11-01,499.8
1981-12-01,505.3
1982-01-01,511.5
1982-02-01,510.2
1982-03-01,510.5
1982-04-01,514.7
1982-05-01,514.3
1982-06-01,514.8
1982-07-01,515.2
1982-08-01,518.5
1982-09-01,524
1982-10-01,531.1
1982-11-01,537.6
1982-12-01,540.9
1983-01-01,538.8
1983-02-01,542
1983-03-01,546.8
1983-04-01,547.8
1983-05-01,554.3
1983-06-01,557.5
1983-07-01,560.7
1983-08-01,563.2
1983-09-01,565.2
1983-10-01,568.8
1983-11-01,570.1
1983-12-01,572.2
1984-01-01,576.2
1984-02-01,578.4
1984-03-01,581.6
1984-04-01,585
1984-05-01,586.6
1984-06-01,590
1984-07-01,590.6
1984-08-01,590.6
1984-09-01,592.4
1984-10-01,592.6
1984-11-01,596.2
1984-12-01,599.6
1985-01-01,604.3
1985-02-01,610.4
1985-03-01,612.5
1985-04-01,615.5
1985-05-01,620.8
1985-06-01,626.9
1985-07-01,633.4
1985-08-01,639.9
1985-09-01,646.9
1985-10-01,650.6
1985-11-01,653.8
1985-12-01,662
1986-01-01,662.3
1986-02-01,665.3
1986-03-01,673.5
1986-04-01,679.8
1986-05-01,689.6
1986-06-01,696.4
1986-07-01,704.8
1986-08-01,710.7
1986-09-01,717.7
1986-10-01,721.9
1986-11-01,730.1
1986-12-01,749.8
1987-01-01,750.8
1987-02-01,749.1
1987-03-01,750.4
1987-04-01,759.4
1987-05-01,760.8
1987-06-01,757
1987-07-01,756.2
1987-08-01,757.3
1987-09-01,759.3
1987-10-01,768.8
1987-11-01,765.7
1987-12-01,762.7
1988-01-01,767.8
1988-02-01,768.2
1988-03-01,771.6
1988-04-01,776.9
1988-05-01,779.5
1988-06-01,785.7
1988-07-01,787.5
1988-08-01,789.8
1988-09-01,790.3
1988-10-01,789.5
1988-11-01,791.1
1988-12-01,793
1989-01-01,791.7
1989-02-01,789.7
1989-03-01,789.6
1989-04-01,785.6
1989-05-01,783.4
1989-06-01,781.7
1989-07-01,785.9
1989-08-01,787
1989-09-01,787.5
1989-10-01,792.5
1989-11-01,793.1
1989-12-01,797.5
1990-01-01,799.9
1990-02-01,802.4
1990-03-01,805.3
1990-04-01,809
1990-05-01,807.9
1990-06-01,812.5
1990-07-01,814.9
1990-08-01,821.8
1990-09-01,826.8
1990-10-01,827.2
1990-11-01,829.3
1990-12-01,831.9
1991-01-01,834.2
1991-02-01,839.6
1991-03-01,844.4
1991-04-01,847.5
1991-05-01,852.5
1991-06-01,859.2
1991-07-01,863
1991-08-01,866.8
1991-09-01,868.6
1991-10-01,876.4
1991-11-01,884.8
1991-12-01,894.2
1992-01-01,907.2
1992-02-01,921.1
1992-03-01,932.5
1992-04-01,939.7
1992-05-01,945.8
1992-06-01,949.2
1992-07-01,958.9
1992-08-01,968.9
1992-09-01,983.9
1992-10-01,999.1
1992-11-01,1009.8
1992-12-01,1018.8
1993-01-01,1023.5
1993-02-01,1027.5
1993-03-01,1033
1993-04-01,1043.3
1993-05-01,1061.6
1993-06-01,1071
1993-07-01,1080.5
1993-08-01,1090.8
1993-09-01,1101.3
1993-10-01,1110
1993-11-01,1122
1993-12-01,1127.6
1994-01-01,1134.4
1994-02-01,1141.7
1994-03-01,1145.8
1994-04-01,1147.1
1994-05-01,1149.2
1994-06-01,1151.2
1994-07-01,1157.1
1994-08-01,1157.6
1994-09-01,1160.7
1994-10-01,1160.1
1994-11-01,1161.5
1994-12-01,1161.5
1995-01-01,1162.9
1995-02-01,1159.4
1995-03-01,1159.2
1995-04-01,1161.9
1995-05-01,1163.6
1995-06-01,1169.4
1995-07-01,1171.6
1995-08-01,1176.1
1995-09-01,1178.4
1995-10-01,1181.7
1995-11-01,1182.6
1995-12-01,1184.8
1996-01-01,1194.8
1996-02-01,1196.8
1996-03-01,1207.5
1996-04-01,1217.3
1996-05-01,1218.3
1996-06-01,1225.3
