"Date","M14157USM144SNBR"
1916-01-01,3598
1916-02-01,NA
1916-03-01,3749
1916-04-01,NA
1916-05-01,3826
1916-06-01,NA
1916-07-01,3965
1916-08-01,NA
1916-09-01,4062
1916-10-01,NA
1916-11-01,NA
1916-12-01,4231
1917-01-01,4316
1917-02-01,NA
1917-03-01,4458
1917-04-01,NA
1917-05-01,4530
1917-06-01,NA
1917-07-01,4571
1917-08-01,NA
1917-09-01,4621
1917-10-01,NA
1917-11-01,NA
1917-12-01,4603
1918-01-01,4702
1918-02-01,NA
1918-03-01,4757
1918-04-01,NA
1918-05-01,4792
1918-06-01,NA
1918-07-01,4836
1918-08-01,NA
1918-09-01,4943
1918-10-01,NA
1918-11-01,5014
1918-12-01,NA
1919-01-01,5196
1919-02-01,NA
1919-03-01,5452
1919-04-01,NA
1919-05-01,5601
1919-06-01,NA
1919-07-01,5714
1919-08-01,NA
1919-09-01,5944
1919-10-01,NA
1919-11-01,NA
1919-12-01,6271
1920-01-01,6346
1920-02-01,NA
1920-03-01,6619
1920-04-01,NA
1920-05-01,6865
1920-06-01,NA
1920-07-01,7027
1920-08-01,NA
1920-09-01,7056
1920-10-01,NA
1920-11-01,NA
1920-12-01,7107
1921-01-01,7096
1921-02-01,NA
1921-03-01,7055
1921-04-01,NA
1921-05-01,7000
1921-06-01,NA
1921-07-01,6993
1921-08-01,NA
1921-09-01,6936
1921-10-01,NA
1921-11-01,NA
1921-12-01,NA
1922-01-01,6887
1922-02-01,NA
1922-03-01,6948
1922-04-01,NA
1922-05-01,7083
1922-06-01,NA
1922-07-01,7181
1922-08-01,NA
1922-09-01,NA
1922-10-01,7306
1922-11-01,NA
1922-12-01,NA
1923-01-01,7559
1923-02-01,NA
1923-03-01,NA
1923-04-01,7934
1923-05-01,NA
1923-06-01,NA
1923-07-01,8183
