"Date","BOGAMBNS"
1959-01-01,40.656
1959-02-01,40.224
1959-03-01,40.205
1959-04-01,40.409
1959-05-01,40.485
1959-06-01,40.649
1959-07-01,41.062
1959-08-01,40.962
1959-09-01,40.967
1959-10-01,40.945
1959-11-01,41.134
1959-12-01,41.766
1960-01-01,41.015
1960-02-01,40.271
1960-03-01,40.212
1960-04-01,40.329
1960-05-01,40.374
1960-06-01,40.597
1960-07-01,40.944
1960-08-01,40.841
1960-09-01,40.991
1960-10-01,41.114
1960-11-01,41.43
1960-12-01,41.864
1961-01-01,41.158
1961-02-01,40.542
1961-03-01,40.449
1961-04-01,40.51
1961-05-01,40.503
1961-06-01,40.818
1961-07-01,41.11
1961-08-01,41.17
1961-09-01,41.36
1961-10-01,41.654
1961-11-01,42.084
1961-12-01,42.758
1962-01-01,42.059
1962-02-01,41.387
1962-03-01,41.517
1962-04-01,41.77
1962-05-01,41.891
1962-06-01,42.176
1962-07-01,42.53
1962-08-01,42.429
1962-09-01,42.479
1962-10-01,42.699
1962-11-01,43.169
1962-12-01,43.893
1963-01-01,43.215
1963-02-01,42.71
1963-03-01,42.873
1963-04-01,43.107
1963-05-01,43.274
1963-06-01,43.702
1963-07-01,44.193
1963-08-01,44.088
1963-09-01,44.286
1963-10-01,44.454
1963-11-01,45.055
1963-12-01,45.997
1964-01-01,45.27
1964-02-01,44.638
1964-03-01,44.941
1964-04-01,45.126
1964-05-01,45.325
1964-06-01,45.876
1964-07-01,46.314
1964-08-01,46.325
1964-09-01,46.658
1964-10-01,46.865
1964-11-01,47.424
1964-12-01,48.209
1965-01-01,47.534
1965-02-01,46.997
1965-03-01,47.113
1965-04-01,47.395
1965-05-01,47.443
1965-06-01,47.94
1965-07-01,48.499
1965-08-01,48.351
1965-09-01,48.655
1965-10-01,49.084
1965-11-01,49.552
1965-12-01,50.714
1966-01-01,50.13
1966-02-01,49.519
1966-03-01,49.675
1966-04-01,50.101
1966-05-01,50.203
1966-06-01,50.639
1966-07-01,51.244
1966-08-01,50.867
1966-09-01,51.102
1966-10-01,51.251
1966-11-01,51.747
1966-12-01,52.706
1967-01-01,52.162
1967-02-01,51.614
1967-03-01,51.987
1967-04-01,52.154
1967-05-01,52.27
1967-06-01,52.77
1967-07-01,53.38
1967-08-01,53.241
1967-09-01,53.599
1967-10-01,54.09
1967-11-01,54.613
1967-12-01,55.762
1968-01-01,55.193
1968-02-01,54.607
1968-03-01,54.883
1968-04-01,55.296
1968-05-01,55.488
1968-06-01,56.193
1968-07-01,56.836
1968-08-01,56.92
1968-09-01,57.034
1968-10-01,57.535
1968-11-01,58.337
1968-12-01,59.578
1969-01-01,58.927
1969-02-01,58.366
1969-03-01,58.359
1969-04-01,58.635
1969-05-01,59.191
1969-06-01,59.601
1969-07-01,59.942
1969-08-01,60.113
1969-09-01,60.186
1969-10-01,60.694
1969-11-01,61.73
1969-12-01,62.832
1970-01-01,62.138
1970-02-01,61.377
1970-03-01,61.504
1970-04-01,62.214
1970-05-01,62.602
1970-06-01,62.956
1970-07-01,63.71
1970-08-01,63.693
1970-09-01,63.885
1970-10-01,64.391
1970-11-01,65.093
1970-12-01,66.32
1971-01-01,65.938
1971-02-01,65.438
1971-03-01,65.607
1971-04-01,66.295
1971-05-01,66.903
1971-06-01,67.398
1971-07-01,68.479
1971-08-01,68.361
1971-09-01,68.538
1971-10-01,68.706
1971-11-01,69.44
1971-12-01,70.497
1972-01-01,70.342
1972-02-01,69.556
1972-03-01,70.015
1972-04-01,70.866
1972-05-01,71.401
1972-06-01,71.765
1972-07-01,72.676
1972-08-01,72.66
1972-09-01,72.671
1972-10-01,73.523
1972-11-01,74.822
1972-12-01,76.466
1973-01-01,76.398
1973-02-01,75.279
1973-03-01,75.784
1973-04-01,76.783
1973-05-01,77.27
1973-06-01,77.767
1973-07-01,79.085
1973-08-01,78.837
1973-09-01,78.953
1973-10-01,80.051
1973-11-01,80.963
1973-12-01,82.465
1974-01-01,82.387
1974-02-01,81.369
1974-03-01,81.886
1974-04-01,83.417
1974-05-01,84.294
1974-06-01,84.845
1974-07-01,86.012
1974-08-01,86.043
1974-09-01,86.014
1974-10-01,86.356
1974-11-01,87.551
1974-12-01,89.089
1975-01-01,88.285
1975-02-01,87.151
1975-03-01,87.935
1975-04-01,88.839
1975-05-01,89.476
1975-06-01,90.801
1975-07-01,91.954
1975-08-01,91.781
1975-09-01,91.748
1975-10-01,92.254
1975-11-01,93.927
1975-12-01,95.568
1976-01-01,94.827
1976-02-01,93.927
1976-03-01,94.708
1976-04-01,96.231
1976-05-01,97.071
1976-06-01,97.688
1976-07-01,98.914
1976-08-01,98.917
1976-09-01,99.073
1976-10-01,99.882
1976-11-01,101.5
1976-12-01,103.304
1977-01-01,102.844
1977-02-01,101.487
1977-03-01,102.125
1977-04-01,103.818
1977-05-01,104.447
1977-06-01,105.085
1977-07-01,107.162
1977-08-01,107.202
1977-09-01,107.52
1977-10-01,108.566
1977-11-01,110.195
1977-12-01,112.278
1978-01-01,112.119
1978-02-01,111.154
1978-03-01,111.482
1978-04-01,113.101
1978-05-01,114.187
1978-06-01,115.306
1978-07-01,117.107
1978-08-01,116.925
1978-09-01,117.655
1978-10-01,118.854
1978-11-01,120.423
1978-12-01,122.566
1979-01-01,122.03
1979-02-01,120.041
1979-03-01,120.697
1979-04-01,122.539
1979-05-01,123.234
1979-06-01,124.58
1979-07-01,126.679
1979-08-01,127.138
1979-09-01,127.793
1979-10-01,129.224
1979-11-01,131.156
1979-12-01,133.436
1980-01-01,132.831
1980-02-01,131.224
1980-03-01,132.074
1980-04-01,134.425
1980-05-01,134.803
1980-06-01,135.603
1980-07-01,137.545
1980-08-01,138.108
1980-09-01,138.608
1980-10-01,139.896
1980-11-01,142.429
1980-12-01,144.509
1981-01-01,142.3
1981-02-01,140.65
1981-03-01,141.359
1981-04-01,143.518
1981-05-01,144.409
1981-06-01,144.872
1981-07-01,146.823
1981-08-01,146.541
1981-09-01,146.376
1981-10-01,146.791
1981-11-01,148.618
1981-12-01,151.699
1982-01-01,150.835
1982-02-01,148.732
1982-03-01,148.92
1982-04-01,151.189
1982-05-01,152.595
1982-06-01,153.772
1982-07-01,155.455
1982-08-01,155.508
1982-09-01,156.095
1982-10-01,157.397
1982-11-01,159.572
1982-12-01,163.031
1983-01-01,162.027
1983-02-01,161.275
1983-03-01,163.208
1983-04-01,166.078
1983-05-01,167.523
1983-06-01,169.347
1983-07-01,171.275
1983-08-01,171.222
1983-09-01,171.86
1983-10-01,173.226
1983-11-01,175.6
1983-12-01,178.636
1984-01-01,177.904
1984-02-01,175.487
1984-03-01,177.044
1984-04-01,179.621
1984-05-01,180.297
1984-06-01,182.587
1984-07-01,184.487
1984-08-01,184.539
1984-09-01,184.541
1984-10-01,184.704
1984-11-01,186.553
1984-12-01,190.054
1985-01-01,188.531
1985-02-01,187.142
1985-03-01,188.421
1985-04-01,190.895
1985-05-01,192.076
1985-06-01,195.405
1985-07-01,197.589
1985-08-01,198.646
1985-09-01,199.115
1985-10-01,200.002
1985-11-01,202.51
1985-12-01,206.587
1986-01-01,204.842
1986-02-01,202.762
1986-03-01,204.837
1986-04-01,207.827
1986-05-01,209.396
1986-06-01,212.485
1986-07-01,215.257
1986-08-01,215.922
1986-09-01,216.433
1986-10-01,217.627
1986-11-01,221.169
1986-12-01,226.782
