"Date","IMFSL"
1984-09-01,46.7
1984-10-01,56.5
1984-11-01,61.5
1984-12-01,66.1
1985-01-01,68.3
1985-02-01,67
1985-03-01,65.5
1985-04-01,66.4
1985-05-01,69.9
1985-06-01,75.1
1985-07-01,71.9
1985-08-01,70.7
1985-09-01,69.5
1985-10-01,69.5
1985-11-01,68.9
1985-12-01,69.2
1986-01-01,71.2
1986-02-01,72.6
1986-03-01,76
1986-04-01,80.9
1986-05-01,82.9
1986-06-01,83.8
1986-07-01,85.9
1986-08-01,89.7
1986-09-01,93.8
1986-10-01,93.8
1986-11-01,91
1986-12-01,91
1987-01-01,89.6
1987-02-01,90.8
1987-03-01,92.1
1987-04-01,92
1987-05-01,90.7
1987-06-01,92.2
1987-07-01,93.6
1987-08-01,93.8
1987-09-01,92.3
1987-10-01,93.6
1987-11-01,98.3
1987-12-01,99.2
1988-01-01,102
1988-02-01,105.3
1988-03-01,105.6
1988-04-01,103
1988-05-01,101.7
1988-06-01,99.2
1988-07-01,98.1
1988-08-01,97.6
1988-09-01,98.8
1988-10-01,99.8
1988-11-01,100.1
1988-12-01,100.6
1989-01-01,99.9
1989-02-01,99.1
1989-03-01,99.3
1989-04-01,102
1989-05-01,105.9
1989-06-01,110.7
1989-07-01,114.3
1989-08-01,116.7
1989-09-01,117.6
1989-10-01,117.7
1989-11-01,117.6
1989-12-01,118.4
1990-01-01,119.2
1990-02-01,118.6
1990-03-01,121.3
1990-04-01,123.2
1990-05-01,123.9
1990-06-01,125.3
1990-07-01,127.5
1990-08-01,129.6
1990-09-01,134.3
1990-10-01,139.1
1990-11-01,140.8
1990-12-01,146.6
1991-01-01,153.7
1991-02-01,161.7
1991-03-01,164
1991-04-01,168
1991-05-01,169.6
1991-06-01,169.8
1991-07-01,168.9
1991-08-01,171.6
1991-09-01,174.5
1991-10-01,181.7
1991-11-01,188
1991-12-01,195.8
1992-01-01,200
1992-02-01,206.3
1992-03-01,208.3
1992-04-01,211.7
1992-05-01,218.2
1992-06-01,224
1992-07-01,230.5
1992-08-01,238.5
1992-09-01,238.8
1992-10-01,229
1992-11-01,227.7
1992-12-01,221.2
1993-01-01,215.1
1993-02-01,221.1
1993-03-01,222.7
1993-04-01,221.9
1993-05-01,226.4
1993-06-01,222.5
1993-07-01,220.6
1993-08-01,220.2
1993-09-01,221.4
1993-10-01,223
1993-11-01,224.6
1993-12-01,227
1994-01-01,223
1994-02-01,211.5
1994-03-01,214.8
1994-04-01,219
1994-05-01,215.2
1994-06-01,213.8
1994-07-01,214.8
1994-08-01,215.2
1994-09-01,215.2
1994-10-01,222.4
1994-11-01,224.4
1994-12-01,225.1
1995-01-01,230.7
1995-02-01,226.9
1995-03-01,235.9
1995-04-01,242.2
1995-05-01,249.2
1995-06-01,259.6
1995-07-01,266.5
1995-08-01,267.8
1995-09-01,270.4
1995-10-01,273
1995-11-01,276.3
1995-12-01,279
1996-01-01,284.1
1996-02-01,291.3
1996-03-01,298.3
1996-04-01,299
1996-05-01,299.7
1996-06-01,305.9
1996-07-01,314
1996-08-01,320.2
1996-09-01,327
1996-10-01,328.8
1996-11-01,333.5
1996-12-01,339.7
1997-01-01,341.5
1997-02-01,350.3
1997-03-01,359.5
1997-04-01,360.6
1997-05-01,365.6
1997-06-01,373.8
1997-07-01,382
1997-08-01,387.5
1997-09-01,397.6
1997-10-01,403
1997-11-01,405
1997-12-01,414.3
1998-01-01,423
1998-02-01,428.1
1998-03-01,435.9
1998-04-01,450.4
1998-05-01,463.2
1998-06-01,477.9
1998-07-01,484.9
1998-08-01,500
1998-09-01,515.8
1998-10-01,538.6
1998-11-01,554.8
1998-12-01,566.6
1999-01-01,570.6
1999-02-01,586.4
1999-03-01,587
1999-04-01,602.1
1999-05-01,606.8
1999-06-01,608.3
1999-07-01,606.8
1999-08-01,617.8
1999-09-01,620.7
1999-10-01,633.6
1999-11-01,654
1999-12-01,670.5
2000-01-01,688.4
2000-02-01,688.3
2000-03-01,704.8
2000-04-01,709.6
2000-05-01,716.7
2000-06-01,723.4
2000-07-01,750.6
2000-08-01,768.8
2000-09-01,788.1
2000-10-01,798.1
2000-11-01,806.1
2000-12-01,822.8
2001-01-01,864.4
2001-02-01,926.8
2001-03-01,953.6
2001-04-01,983.9
2001-05-01,1031.6
2001-06-01,1064.6
2001-07-01,1079.1
2001-08-01,1063.8
2001-09-01,1113.4
2001-10-01,1189
2001-11-01,1217.2
2001-12-01,1235.7
2002-01-01,1231.6
2002-02-01,1239.9
2002-03-01,1242.1
2002-04-01,1248.1
2002-05-01,1253.8
2002-06-01,1249.8
2002-07-01,1248.8
2002-08-01,1234.5
2002-09-01,1214.8
2002-10-01,1194
2002-11-01,1269.2
2002-12-01,1294.6
2003-01-01,1268.5
2003-02-01,1258
2003-03-01,1240.6
2003-04-01,1218.6
2003-05-01,1198.5
2003-06-01,1203.5
2003-07-01,1244
2003-08-01,1208.7
2003-09-01,1202
2003-10-01,1188.7
2003-11-01,1173.6
2003-12-01,1144.3
2004-01-01,1147
2004-02-01,1143.8
2004-03-01,1148
2004-04-01,1151.9
2004-05-01,1155.5
2004-06-01,1150.8
2004-07-01,1139
2004-08-01,1128.3
2004-09-01,1115.5
2004-10-01,1097.5
2004-11-01,1095.6
2004-12-01,1090.5
2005-01-01,1085.4
2005-02-01,1078.3
2005-03-01,1075
2005-04-01,1084.4
2005-05-01,1082.6
2005-06-01,1096.9
2005-07-01,1113.1
2005-08-01,1119.8
2005-09-01,1134.7
2005-10-01,1143.5
2005-11-01,1145.4
2005-12-01,1162.2
2006-01-01,1172.3
2006-02-01,1174.1
2006-03-01,1183.3
2006-04-01,1197.1
2006-05-01,1215
2006-06-01,1237.1
2006-07-01,1256.9
2006-08-01,1276
2006-09-01,1294.6
2006-10-01,1317.4
2006-11-01,1335.3
2006-12-01,1376.3
2007-01-01,1364.1
2007-02-01,1377.5
2007-03-01,1409.3
2007-04-01,1441.5
2007-05-01,1481
2007-06-01,1512.6
2007-07-01,1556.7
2007-08-01,1636.7
2007-09-01,1747
2007-10-01,1838.7
2007-11-01,1906.7
2007-12-01,1950.1
2008-01-01,1971.2
2008-02-01,2104.8
2008-03-01,2191.6
2008-04-01,2233.9
2008-05-01,2263.1
2008-06-01,2292.9
2008-07-01,2306.8
2008-08-01,2328.9
2008-09-01,2289.8
2008-10-01,2282.8
2008-11-01,2382.1
2008-12-01,2450.5
2009-01-01,2514.5
2009-02-01,2544.5
2009-03-01,2564.7
2009-04-01,2571.9
2009-05-01,2588.2
2009-06-01,2570.6
2009-07-01,2549
2009-08-01,2494
2009-09-01,2442
2009-10-01,2366.6
2009-11-01,2308.3
2009-12-01,2246.1
2010-01-01,2203.7
2010-02-01,2143
2010-03-01,2068.8
2010-04-01,1983.6
2010-05-01,1936.1
2010-06-01,1910.6
2010-07-01,1916.1
2010-08-01,1926.7
2010-09-01,1928.6
2010-10-01,1916.6
2010-11-01,1913.4
2010-12-01,1884.4
2011-01-01,1821.2
2011-02-01,1818.9
2011-03-01,1837.6
2011-04-01,1868.3
2011-05-01,1898
2011-06-01,1873.6
2011-07-01,1840.8
2011-08-01,1743
2011-09-01,1747.3
2011-10-01,1751
2011-11-01,1748.5
2011-12-01,1749.7
2012-01-01,1732.3
2012-02-01,1730.6
2012-03-01,1741.2
2012-04-01,1742.7
2012-05-01,1745.2
2012-06-01,1740
2012-07-01,1734.7
2012-08-01,1736.7
2012-09-01,1731.7
2012-10-01,1724
2012-11-01,1717.8
2012-12-01,1727.4
2013-01-01,1764.3
2013-02-01,1766
2013-03-01,1746.1
2013-04-01,1766.6
2013-05-01,1758.9
2013-06-01,1759.3
2013-07-01,1755
2013-08-01,1735.5
2013-09-01,1777
2013-10-01,1766.1
2013-11-01,1767.1
2013-12-01,1761.7
2014-01-01,1775.7
2014-02-01,1773.1
2014-03-01,1761.5
2014-04-01,1748.3
2014-05-01,1747.1
2014-06-01,1738.3
2014-07-01,1735.2
2014-08-01,1710.7
2014-09-01,1734.7
2014-10-01,1756
2014-11-01,1768.8
2014-12-01,1791.7
2015-01-01,1803.1
2015-02-01,1797.7
2015-03-01,1806
2015-04-01,1795.1
2015-05-01,1798.8
2015-06-01,1807.3
2015-07-01,1824.8
2015-08-01,1832.5
2015-09-01,1813.8
2015-10-01,1842.8
2015-11-01,1844.5
2015-12-01,1822.8
2016-01-01,1748.2
2016-02-01,1762.4
2016-03-01,1796.2
2016-04-01,1797.2
2016-05-01,1802.4
2016-06-01,1810.6
2016-07-01,1807.5
2016-08-01,1815
2016-09-01,1791.8
2016-10-01,1748.8
2016-11-01,1752.4
2016-12-01,1750.1
2017-01-01,1723.3
2017-02-01,1723.7
2017-03-01,1717.3
2017-04-01,1726.7
2017-05-01,1742.6
2017-06-01,1735.2
2017-07-01,1718.9
2017-08-01,1758.5
2017-09-01,1792.8
2017-10-01,1809.2
2017-11-01,1802.3
2017-12-01,1838.2
2018-01-01,1849.5
2018-02-01,1853.2
2018-03-01,1862.3
2018-04-01,1880.6
2018-05-01,1880.6
2018-06-01,1888.3
2018-07-01,1874.9
2018-08-01,1869.8
2018-09-01,1879.5
2018-10-01,1869.8
2018-11-01,1880.6
2018-12-01,1892.6
2019-01-01,1918.3
2019-02-01,1936.6
2019-03-01,1956.3
2019-04-01,1960.2
2019-05-01,1984.2
2019-06-01,2031.7
2019-07-01,2088.1
2019-08-01,2136.4
2019-09-01,2175.3
2019-10-01,2225.5
2019-11-01,2274.6
2019-12-01,2293.6
2020-01-01,2311.8
2020-02-01,2298.5
2020-03-01,2517.6
2020-04-01,3109.8
2020-05-01,3320.7
2020-06-01,3241.9
2020-07-01,3152.1
2020-08-01,3094.8
2020-09-01,3003.3
2020-10-01,2938.4
2020-11-01,2885.8
2020-12-01,2869.3
2021-01-01,2863.3
