"Date","MYAGM2USM052S"
1959-01-01,2.866e+11
1959-02-01,2.877e+11
1959-03-01,2.892e+11
1959-04-01,2.901e+11
1959-05-01,2.922e+11
1959-06-01,2.941e+11
1959-07-01,2.952e+11
1959-08-01,2.964e+11
1959-09-01,2.967e+11
1959-10-01,2.965e+11
1959-11-01,2.971e+11
1959-12-01,2.978e+11
1960-01-01,2.982e+11
1960-02-01,2.985e+11
1960-03-01,2.994e+11
1960-04-01,3.001e+11
1960-05-01,3.009e+11
1960-06-01,3.023e+11
1960-07-01,3.041e+11
1960-08-01,3.069e+11
1960-09-01,3.084e+11
1960-10-01,3.095e+11
1960-11-01,3.109e+11
1960-12-01,3.124e+11
1961-01-01,3.141e+11
1961-02-01,3.165e+11
1961-03-01,3.183e+11
1961-04-01,3.199e+11
1961-05-01,3.222e+11
1961-06-01,3.243e+11
1961-07-01,3.256e+11
1961-08-01,3.276e+11
1961-09-01,3.295e+11
1961-10-01,3.311e+11
1961-11-01,3.334e+11
1961-12-01,3.355e+11
1962-01-01,3.375e+11
1962-02-01,3.401e+11
1962-03-01,3.431e+11
1962-04-01,3.455e+11
1962-05-01,3.475e+11
1962-06-01,3.493e+11
1962-07-01,3.508e+11
1962-08-01,3.528e+11
1962-09-01,3.549e+11
1962-10-01,3.572e+11
1962-11-01,3.598e+11
1962-12-01,3.627e+11
1963-01-01,3.652e+11
1963-02-01,3.679e+11
1963-03-01,3.707e+11
1963-04-01,3.733e+11
1963-05-01,3.761e+11
1963-06-01,3.784e+11
1963-07-01,3.811e+11
1963-08-01,3.836e+11
1963-09-01,3.86e+11
1963-10-01,3.883e+11
1963-11-01,3.915e+11
1963-12-01,3.932e+11
1964-01-01,3.952e+11
1964-02-01,3.976e+11
1964-03-01,3.998e+11
1964-04-01,4.017e+11
1964-05-01,4.042e+11
1964-06-01,4.071e+11
1964-07-01,4.101e+11
1964-08-01,4.134e+11
1964-09-01,4.169e+11
1964-10-01,4.191e+11
1964-11-01,4.221e+11
1964-12-01,4.247e+11
1965-01-01,4.275e+11
1965-02-01,4.304e+11
1965-03-01,4.332e+11
1965-04-01,4.354e+11
1965-05-01,4.371e+11
1965-06-01,4.401e+11
1965-07-01,4.429e+11
1965-08-01,4.458e+11
1965-09-01,4.495e+11
1965-10-01,4.526e+11
1965-11-01,4.557e+11
1965-12-01,4.592e+11
1966-01-01,4.62e+11
1966-02-01,4.646e+11
1966-03-01,4.672e+11
1966-04-01,4.693e+11
1966-05-01,4.701e+11
1966-06-01,4.712e+11
1966-07-01,4.709e+11
1966-08-01,4.726e+11
1966-09-01,4.754e+11
1966-10-01,4.757e+11
1966-11-01,4.773e+11
1966-12-01,4.802e+11
1967-01-01,4.816e+11
1967-02-01,4.851e+11
1967-03-01,4.897e+11
1967-04-01,4.921e+11
1967-05-01,4.972e+11
1967-06-01,5.02e+11
1967-07-01,5.063e+11
1967-08-01,5.108e+11
1967-09-01,5.147e+11
1967-10-01,5.182e+11
1967-11-01,5.212e+11
1967-12-01,5.248e+11
1968-01-01,5.274e+11
1968-02-01,5.304e+11
1968-03-01,5.332e+11
1968-04-01,5.357e+11
1968-05-01,5.389e+11
1968-06-01,5.426e+11
1968-07-01,5.456e+11
1968-08-01,5.494e+11
1968-09-01,5.536e+11
1968-10-01,5.576e+11
1968-11-01,5.624e+11
1968-12-01,5.668e+11
1969-01-01,5.693e+11
1969-02-01,5.719e+11
1969-03-01,5.744e+11
1969-04-01,5.757e+11
1969-05-01,5.765e+11
1969-06-01,5.785e+11
1969-07-01,5.795e+11
1969-08-01,5.801e+11
1969-09-01,5.821e+11
1969-10-01,5.834e+11
1969-11-01,5.854e+11
1969-12-01,5.879e+11
1970-01-01,5.896e+11
1970-02-01,5.863e+11
1970-03-01,5.873e+11
1970-04-01,5.884e+11
1970-05-01,5.915e+11
1970-06-01,5.952e+11
1970-07-01,5.991e+11
1970-08-01,6.049e+11
1970-09-01,6.112e+11
1970-10-01,6.164e+11
1970-11-01,6.211e+11
1970-12-01,6.265e+11
1971-01-01,6.33e+11
1971-02-01,6.41e+11
1971-03-01,6.499e+11
1971-04-01,6.584e+11
1971-05-01,6.667e+11
1971-06-01,6.73e+11
1971-07-01,6.796e+11
1971-08-01,6.855e+11
1971-09-01,6.925e+11
1971-10-01,6.984e+11
1971-11-01,7.046e+11
1971-12-01,7.103e+11
1972-01-01,7.177e+11
1972-02-01,7.257e+11
1972-03-01,7.335e+11
1972-04-01,7.384e+11
1972-05-01,7.434e+11
1972-06-01,7.497e+11
1972-07-01,7.595e+11
1972-08-01,7.687e+11
1972-09-01,7.783e+11
1972-10-01,7.869e+11
1972-11-01,7.939e+11
1972-12-01,8.023e+11
1973-01-01,8.103e+11
1973-02-01,8.141e+11
1973-03-01,8.153e+11
1973-04-01,8.197e+11
1973-05-01,8.268e+11
1973-06-01,8.333e+11
1973-07-01,8.365e+11
1973-08-01,8.388e+11
1973-09-01,8.393e+11
1973-10-01,8.426e+11
1973-11-01,8.489e+11
1973-12-01,8.555e+11
1974-01-01,8.597e+11
1974-02-01,8.642e+11
1974-03-01,8.701e+11
1974-04-01,8.729e+11
1974-05-01,8.746e+11
1974-06-01,8.778e+11
1974-07-01,8.814e+11
1974-08-01,8.841e+11
1974-09-01,8.879e+11
1974-10-01,8.933e+11
1974-11-01,8.986e+11
1974-12-01,9.021e+11
1975-01-01,9.063e+11
1975-02-01,9.141e+11
1975-03-01,9.25e+11
1975-04-01,9.351e+11
1975-05-01,9.479e+11
1975-06-01,9.63e+11
1975-07-01,9.751e+11
1975-08-01,9.831e+11
1975-09-01,9.915e+11
1975-10-01,9.978e+11
1975-11-01,1.0069e+12
1975-12-01,1.0162e+12
1976-01-01,1.0266e+12
1976-02-01,1.0403e+12
1976-03-01,1.05e+12
1976-04-01,1.0608e+12
1976-05-01,1.0721e+12
1976-06-01,1.0776e+12
1976-07-01,1.0863e+12
1976-08-01,1.0987e+12
1976-09-01,1.1108e+12
1976-10-01,1.125e+12
1976-11-01,1.1382e+12
1976-12-01,1.152e+12
1977-01-01,1.1652e+12
1977-02-01,1.1776e+12
1977-03-01,1.1885e+12
1977-04-01,1.1996e+12
1977-05-01,1.209e+12
1977-06-01,1.2178e+12
1977-07-01,1.2267e+12
1977-08-01,1.237e+12
1977-09-01,1.2462e+12
1977-10-01,1.254e+12
1977-11-01,1.2624e+12
1977-12-01,1.2703e+12
1978-01-01,1.2797e+12
1978-02-01,1.2855e+12
1978-03-01,1.2922e+12
1978-04-01,1.3004e+12
1978-05-01,1.3105e+12
1978-06-01,1.3185e+12
1978-07-01,1.3241e+12
1978-08-01,1.3335e+12
1978-09-01,1.345e+12
1978-10-01,1.3523e+12
1978-11-01,1.3591e+12
1978-12-01,1.366e+12
1979-01-01,1.3716e+12
1979-02-01,1.3778e+12
1979-03-01,1.3878e+12
1979-04-01,1.4021e+12
1979-05-01,1.4102e+12
1979-06-01,1.423e+12
1979-07-01,1.4348e+12
1979-08-01,1.4466e+12
1979-09-01,1.4541e+12
1979-10-01,1.4604e+12
1979-11-01,1.4659e+12
1979-12-01,1.4737e+12
1980-01-01,1.4827e+12
1980-02-01,1.4946e+12
1980-03-01,1.4998e+12
1980-04-01,1.5022e+12
1980-05-01,1.5123e+12
1980-06-01,1.5292e+12
1980-07-01,1.5455e+12
1980-08-01,1.5615e+12
1980-09-01,1.574e+12
1980-10-01,1.5848e+12
1980-11-01,1.5958e+12
1980-12-01,1.5998e+12
1981-01-01,1.6069e+12
1981-02-01,1.6187e+12
1981-03-01,1.6366e+12
1981-04-01,1.6592e+12
1981-05-01,1.6642e+12
1981-06-01,1.6703e+12
1981-07-01,1.6819e+12
1981-08-01,1.6943e+12
1981-09-01,1.706e+12
1981-10-01,1.7218e+12
1981-11-01,1.7361e+12
1981-12-01,1.7555e+12
1982-01-01,1.7704e+12
1982-02-01,1.7745e+12
1982-03-01,1.7865e+12
1982-04-01,1.8039e+12
1982-05-01,1.8154e+12
1982-06-01,1.826e+12
1982-07-01,1.8337e+12
1982-08-01,1.8485e+12
1982-09-01,1.8624e+12
1982-10-01,1.8737e+12
1982-11-01,1.8873e+12
1982-12-01,1.9093e+12
1983-01-01,1.9624e+12
1983-02-01,1.9996e+12
1983-03-01,2.0178e+12
1983-04-01,2.0311e+12
1983-05-01,2.0455e+12
1983-06-01,2.0558e+12
1983-07-01,2.0671e+12
1983-08-01,2.0762e+12
1983-09-01,2.0853e+12
1983-10-01,2.1015e+12
1983-11-01,2.1146e+12
1983-12-01,2.1257e+12
1984-01-01,2.1404e+12
1984-02-01,2.1605e+12
1984-03-01,2.1775e+12
1984-04-01,2.1939e+12
1984-05-01,2.2064e+12
1984-06-01,2.2174e+12
1984-07-01,2.2258e+12
1984-08-01,2.2325e+12
1984-09-01,2.2465e+12
1984-10-01,2.2611e+12
1984-11-01,2.2836e+12
1984-12-01,2.3088e+12
1985-01-01,2.3349e+12
1985-02-01,2.3564e+12
1985-03-01,2.3685e+12
1985-04-01,2.3778e+12
1985-05-01,2.3921e+12
1985-06-01,2.4152e+12
1985-07-01,2.432e+12
1985-08-01,2.4465e+12
1985-09-01,2.4588e+12
1985-10-01,2.4706e+12
1985-11-01,2.4802e+12
1985-12-01,2.4946e+12
1986-01-01,2.5048e+12
1986-02-01,2.5153e+12
1986-03-01,2.5356e+12
1986-04-01,2.5603e+12
1986-05-01,2.5878e+12
1986-06-01,2.608e+12
1986-07-01,2.6298e+12
1986-08-01,2.6497e+12
1986-09-01,2.6712e+12
1986-10-01,2.6911e+12
1986-11-01,2.7049e+12
1986-12-01,2.7316e+12
1987-01-01,2.7473e+12
1987-02-01,2.7511e+12
1987-03-01,2.757e+12
1987-04-01,2.7713e+12
1987-05-01,2.7766e+12
1987-06-01,2.7782e+12
1987-07-01,2.7827e+12
1987-08-01,2.7918e+12
1987-09-01,2.8032e+12
1987-10-01,2.8188e+12
1987-11-01,2.8235e+12
1987-12-01,2.831e+12
1988-01-01,2.852e+12
1988-02-01,2.875e+12
1988-03-01,2.8952e+12
1988-04-01,2.9153e+12
1988-05-01,2.9307e+12
1988-06-01,2.9428e+12
1988-07-01,2.9526e+12
1988-08-01,2.9577e+12
1988-09-01,2.9626e+12
1988-10-01,2.971e+12
1988-11-01,2.9859e+12
1988-12-01,2.9939e+12
1989-01-01,2.9972e+12
1989-02-01,2.9976e+12
1989-03-01,3.0052e+12
1989-04-01,3.0114e+12
1989-05-01,3.0171e+12
1989-06-01,3.0334e+12
1989-07-01,3.0581e+12
