"Date","OCALLP"
1967-01-01,0.024
1967-02-01,0.0219
1967-03-01,0.0215
1967-04-01,0.0185
1967-05-01,0.0186
1967-06-01,0.0208
1967-07-01,0.0201
1967-08-01,0.0206
1967-09-01,0.0205
1967-10-01,0.0222
1967-11-01,0.025
1967-12-01,0.0264
1968-01-01,0.024
1968-02-01,0.0225
1968-03-01,0.0263
1968-04-01,0.0256
1968-05-01,0.0291
1968-06-01,0.0294
1968-07-01,0.0267
1968-08-01,0.0248
1968-09-01,0.0244
1968-10-01,0.027
1968-11-01,0.0291
1968-12-01,0.0307
1969-01-01,0.0327
1969-02-01,0.0361
1969-03-01,0.0384
1969-04-01,0.038
1969-05-01,0.0439
1969-06-01,0.0526
1969-07-01,0.0515
1969-08-01,0.0505
1969-09-01,0.0526
1969-10-01,0.0465
1969-11-01,0.0491
1969-12-01,0.0526
1970-01-01,0.0464
1970-02-01,0.0428
1970-03-01,0.0399
1970-04-01,0.0371
1970-05-01,0.0396
1970-06-01,0.0426
1970-07-01,0.0391
1970-08-01,0.0361
1970-09-01,0.035
1970-10-01,0.0345
1970-11-01,0.0301
1970-12-01,0.0306
1971-01-01,0.0251
1971-02-01,0.0235
1971-03-01,0.0218
1971-04-01,0.0257
1971-05-01,0.031
1971-06-01,0.0315
1971-07-01,0.0301
1971-08-01,0.0393
1971-09-01,0.0381
1971-10-01,0.0278
1971-11-01,0.0257
1971-12-01,0.0279
1972-01-01,0.0213
1972-02-01,0.0208
1972-03-01,0.0217
1972-04-01,0.0227
1972-05-01,0.02
1972-06-01,0.0202
1972-07-01,0.0244
1972-08-01,0.0241
1972-09-01,0.0245
1972-10-01,0.0249
1972-11-01,0.0241
1972-12-01,0.0249
1973-01-01,0.0256
1973-02-01,0.0427
1973-03-01,0.04
1973-04-01,0.0418
1973-05-01,0.039
1973-06-01,0.0406
1973-07-01,0.0485
1973-08-01,0.0541
1973-09-01,0.0524
1973-10-01,0.0481
1973-11-01,0.0449
1973-12-01,0.0503
1974-01-01,0.0428
1974-02-01,0.0377
1974-03-01,0.0412
1974-04-01,0.0486
1974-05-01,0.0551
1974-06-01,0.0576
1974-07-01,0.0651
1974-08-01,0.0657
1974-09-01,0.0608
1974-10-01,0.051
1974-11-01,0.046
1974-12-01,0.0471
1975-01-01,0.0389
1975-02-01,0.0306
1975-03-01,0.0303
1975-04-01,0.0332
1975-05-01,0.0295
1975-06-01,0.0272
1975-07-01,0.0334
1975-08-01,0.0348
1975-09-01,0.0361
1975-10-01,0.0328
1975-11-01,0.0302
1975-12-01,0.0293
1976-01-01,0.0215
1976-02-01,0.0222
1976-03-01,0.0235
1976-04-01,0.0211
1976-05-01,0.0253
1976-06-01,0.0269
1976-07-01,0.0235
1976-08-01,0.0223
1976-09-01,0.0211
1976-10-01,0.0197
1976-11-01,0.0188
1976-12-01,0.0185
1977-01-01,0.0185
1977-02-01,0.0184
1977-03-01,0.0184
1977-04-01,0.0185
1977-05-01,0.0221
1977-06-01,0.022
1977-07-01,0.0218
1977-08-01,0.0245
1977-09-01,0.0263
1977-10-01,0.0305
1977-11-01,0.03
1977-12-01,0.0306
1978-01-01,0.0318
1978-02-01,0.0318
1978-03-01,0.0351
1978-04-01,0.0325
1978-05-01,0.0352
1978-06-01,0.035
1978-07-01,0.0359
1978-08-01,0.0348
1978-09-01,0.0371
1978-10-01,0.0423
1978-11-01,0.0492
1978-12-01,0.0499
1979-01-01,0.0478
1979-02-01,0.0439
1979-03-01,0.0428
1979-04-01,0.0421
1979-05-01,0.0428
1979-06-01,0.0417
1979-07-01,0.0431
1979-08-01,0.0467
1979-09-01,0.0519
1979-10-01,0.0606
1979-11-01,0.0608
1979-12-01,0.0586
1980-01-01,0.0569
1980-02-01,0.062
1980-03-01,0.0751
1980-04-01,0.0722
1980-05-01,0.0573
1980-06-01,0.0388
1980-07-01,0.0369
1980-08-01,0.0454
1980-09-01,0.0493
1980-10-01,0.0534
1980-11-01,0.0658
1980-12-01,0.0871
1981-01-01,0.083
1981-02-01,0.0659
1981-03-01,0.0582
