"Date","SMU39000005552200001"
1990-01-01,100.6
1990-02-01,100.6
1990-03-01,100.9
1990-04-01,100.7
1990-05-01,101
1990-06-01,101.9
1990-07-01,101.6
1990-08-01,101.6
1990-09-01,101.3
1990-10-01,101.1
1990-11-01,101.2
1990-12-01,101.5
1991-01-01,100.1
1991-02-01,99.8
1991-03-01,100
1991-04-01,99.2
1991-05-01,99.9
1991-06-01,101
1991-07-01,101.2
1991-08-01,101.4
1991-09-01,101.7
1991-10-01,101.2
1991-11-01,101.1
1991-12-01,101.5
1992-01-01,100.4
1992-02-01,100.4
1992-03-01,100.7
1992-04-01,100.1
1992-05-01,100.3
1992-06-01,101.2
1992-07-01,100.3
1992-08-01,99.7
1992-09-01,99.8
1992-10-01,99.9
1992-11-01,100.1
1992-12-01,100.9
1993-01-01,99.9
1993-02-01,99.7
1993-03-01,100.3
1993-04-01,100.2
1993-05-01,101
1993-06-01,102.3
1993-07-01,102
1993-08-01,102.8
1993-09-01,103.2
1993-10-01,103
1993-11-01,103.9
1993-12-01,103.2
1994-01-01,101
1994-02-01,101.6
1994-03-01,102.7
1994-04-01,101.2
1994-05-01,101.7
1994-06-01,102.6
1994-07-01,102.6
1994-08-01,103.4
1994-09-01,104.3
1994-10-01,104.9
1994-11-01,105.6
1994-12-01,105.9
1995-01-01,104.6
1995-02-01,104.8
1995-03-01,105
1995-04-01,104.2
1995-05-01,104.3
1995-06-01,104.7
1995-07-01,104.6
1995-08-01,105.1
1995-09-01,105.4
1995-10-01,105
1995-11-01,104.7
1995-12-01,104.4
1996-01-01,103
1996-02-01,103.6
1996-03-01,104.1
1996-04-01,104.8
1996-05-01,105.5
1996-06-01,106.7
1996-07-01,106.8
1996-08-01,106.7
1996-09-01,106.4
1996-10-01,106.7
1996-11-01,106.8
1996-12-01,107.4
1997-01-01,105.9
1997-02-01,106.7
1997-03-01,107.7
1997-04-01,108.3
1997-05-01,108.6
1997-06-01,108.8
1997-07-01,110.4
1997-08-01,110.3
1997-09-01,109.6
1997-10-01,110.1
1997-11-01,110.6
1997-12-01,111.9
1998-01-01,109.6
1998-02-01,110.1
1998-03-01,110.9
1998-04-01,111
1998-05-01,111.4
1998-06-01,112.7
1998-07-01,113.2
1998-08-01,113.4
1998-09-01,112.5
1998-10-01,112.8
1998-11-01,113.1
1998-12-01,113.6
1999-01-01,112.4
1999-02-01,112.9
1999-03-01,113.3
1999-04-01,113.7
1999-05-01,113.6
1999-06-01,114.3
1999-07-01,114.2
1999-08-01,113.7
1999-09-01,112.9
1999-10-01,112.9
1999-11-01,112.9
1999-12-01,113.5
2000-01-01,113.1
2000-02-01,112.9
2000-03-01,112.8
2000-04-01,112.8
2000-05-01,112.2
2000-06-01,112.6
2000-07-01,111.9
2000-08-01,111.9
2000-09-01,111.7
2000-10-01,110.8
2000-11-01,111.6
2000-12-01,112.6
2001-01-01,111
2001-02-01,111.8
2001-03-01,112.2
2001-04-01,112.1
2001-05-01,112.9
2001-06-01,114.7
2001-07-01,114.4
2001-08-01,114.8
2001-09-01,114.1
2001-10-01,113.9
2001-11-01,115.2
2001-12-01,116.3
2002-01-01,115.8
2002-02-01,117.1
2002-03-01,116.7
2002-04-01,116
2002-05-01,115.9
2002-06-01,116.7
2002-07-01,116.9
2002-08-01,116.6
2002-09-01,115.9
2002-10-01,116.1
2002-11-01,117.1
2002-12-01,118.2
2003-01-01,118.2
2003-02-01,118.5
2003-03-01,118.9
2003-04-01,118
2003-05-01,118.8
2003-06-01,119.6
2003-07-01,120
2003-08-01,120.4
2003-09-01,119.5
2003-10-01,118.2
2003-11-01,118.7
2003-12-01,119.8
2004-01-01,119.1
2004-02-01,119
2004-03-01,119.3
2004-04-01,118.4
2004-05-01,118.5
2004-06-01,119
2004-07-01,118.8
2004-08-01,118.8
2004-09-01,117.6
2004-10-01,117.1
2004-11-01,117.5
2004-12-01,118.2
2005-01-01,116.5
2005-02-01,116.6
2005-03-01,116.5
2005-04-01,116.2
2005-05-01,116.6
2005-06-01,117.2
2005-07-01,117.2
2005-08-01,117.4
2005-09-01,116.8
2005-10-01,116.7
2005-11-01,117
2005-12-01,117.2
2006-01-01,115.6
2006-02-01,115.7
2006-03-01,115.6
2006-04-01,114.6
2006-05-01,114.5
2006-06-01,114.2
2006-07-01,114.1
2006-08-01,113.3
2006-09-01,112.3
2006-10-01,112.9
2006-11-01,112.5
2006-12-01,110.9
2007-01-01,111.4
2007-02-01,111.6
2007-03-01,110.1
2007-04-01,111.2
2007-05-01,110.6
2007-06-01,108.9
2007-07-01,108.7
2007-08-01,108.4
2007-09-01,106.9
2007-10-01,106.2
2007-11-01,105.4
2007-12-01,105.1
2008-01-01,104.5
2008-02-01,104.3
2008-03-01,103.9
2008-04-01,103.4
2008-05-01,103.1
2008-06-01,102.5
2008-07-01,101.7
2008-08-01,101.3
2008-09-01,100.1
2008-10-01,99.9
2008-11-01,99.8
2008-12-01,99.8
2009-01-01,98.5
2009-02-01,97.6
2009-03-01,97.2
2009-04-01,97.1
2009-05-01,97
2009-06-01,96.7
2009-07-01,96.7
2009-08-01,96
2009-09-01,95.2
2009-10-01,95.3
2009-11-01,95.6
2009-12-01,95.4
2010-01-01,95.1
2010-02-01,95.1
2010-03-01,94.8
2010-04-01,95.3
2010-05-01,95.3
2010-06-01,95.2
2010-07-01,95.8
2010-08-01,95.5
2010-09-01,94.6
2010-10-01,95.6
2010-11-01,95.7
2010-12-01,95.9
2011-01-01,95.6
2011-02-01,95.2
2011-03-01,95
2011-04-01,94.4
2011-05-01,94.3
2011-06-01,94
2011-07-01,93.9
2011-08-01,94.1
2011-09-01,94.3
2011-10-01,94.6
2011-11-01,94.6
2011-12-01,94.7
2012-01-01,94.7
2012-02-01,94.6
2012-03-01,94.6
2012-04-01,94.6
2012-05-01,94.9
2012-06-01,95.3
2012-07-01,96.2
2012-08-01,96
2012-09-01,95.7
2012-10-01,96.2
2012-11-01,96.6
2012-12-01,96.7
2013-01-01,96.3
2013-02-01,96.5
2013-03-01,96.3
2013-04-01,96.5
2013-05-01,96.5
2013-06-01,96.5
2013-07-01,96.2
2013-08-01,95.8
2013-09-01,94.8
2013-10-01,94.4
2013-11-01,94.4
2013-12-01,93.8
2014-01-01,92.8
2014-02-01,92.7
2014-03-01,92.5
2014-04-01,91.6
2014-05-01,91.7
2014-06-01,91.9
2014-07-01,91.9
2014-08-01,91.9
2014-09-01,91.1
2014-10-01,91.2
2014-11-01,91.5
2014-12-01,91.7
2015-01-01,91.3
2015-02-01,91.3
2015-03-01,91.2
2015-04-01,91.3
2015-05-01,91.9
2015-06-01,92.5
2015-07-01,92.5
2015-08-01,92.7
2015-09-01,92
2015-10-01,92.3
2015-11-01,92.5
2015-12-01,92.7
2016-01-01,92.6
2016-02-01,93.2
2016-03-01,93.3
2016-04-01,94.1
2016-05-01,94.4
2016-06-01,94.7
2016-07-01,95.3
2016-08-01,95.4
2016-09-01,95.1
2016-10-01,95.9
2016-11-01,96.7
2016-12-01,97.4
2017-01-01,97
2017-02-01,96.9
2017-03-01,96.9
2017-04-01,96.9
2017-05-01,97.1
2017-06-01,97.8
2017-07-01,97.8
2017-08-01,97.9
2017-09-01,97.1
2017-10-01,97.5
2017-11-01,98
2017-12-01,98.5
2018-01-01,98.6
2018-02-01,98.8
2018-03-01,98.8
2018-04-01,98.9
2018-05-01,99.1
2018-06-01,99.3
2018-07-01,99.5
2018-08-01,98.9
2018-09-01,98
2018-10-01,97.9
2018-11-01,98
2018-12-01,98
2019-01-01,98
2019-02-01,97.8
2019-03-01,97.3
2019-04-01,97.2
2019-05-01,97.4
2019-06-01,97.4
2019-07-01,97.3
2019-08-01,96.8
2019-09-01,96.3
2019-10-01,95.8
2019-11-01,96.2
2019-12-01,96
2020-01-01,95.8
2020-02-01,95.6
2020-03-01,95.6
2020-04-01,94.2
2020-05-01,94.7
2020-06-01,95.3
2020-07-01,96
2020-08-01,96.1
2020-09-01,96
2020-10-01,96.9
2020-11-01,97.4
2020-12-01,97.7
2021-01-01,97.9
2021-02-01,98.4
2021-03-01,98.9
2021-04-01,99
2021-05-01,99.1
2021-06-01,99.6
2021-07-01,99.7
2021-08-01,99.3
2021-09-01,98.4
2021-10-01,98.8
2021-11-01,99.3
2021-12-01,99
2022-01-01,99.1
2022-02-01,98.9
2022-03-01,99
2022-04-01,99.4
2022-05-01,99.3
2022-06-01,99.3
2022-07-01,99.4
2022-08-01,98.9
2022-09-01,98
2022-10-01,98.5
2022-11-01,98.7
2022-12-01,98.2
2023-01-01,98.1
2023-02-01,98.1
2023-03-01,99.1
2023-04-01,98.9
2023-05-01,98.4
2023-06-01,98.6
2023-07-01,98.4
2023-08-01,98.1
2023-09-01,97.9
2023-10-01,97.1
