"Date","TRESEGUSM194N"
1950-12-01,1445500000
1951-01-01,NA
1951-02-01,NA
1951-03-01,NA
1951-04-01,NA
1951-05-01,NA
1951-06-01,NA
1951-07-01,NA
1951-08-01,NA
1951-09-01,NA
1951-10-01,NA
1951-11-01,NA
1951-12-01,1425600000
1952-01-01,NA
1952-02-01,NA
1952-03-01,NA
1952-04-01,NA
1952-05-01,NA
1952-06-01,NA
1952-07-01,NA
1952-08-01,NA
1952-09-01,NA
1952-10-01,NA
1952-11-01,NA
1952-12-01,1461900000
1953-01-01,NA
1953-02-01,NA
1953-03-01,NA
1953-04-01,NA
1953-05-01,NA
1953-06-01,NA
1953-07-01,NA
1953-08-01,NA
1953-09-01,NA
1953-10-01,NA
1953-11-01,NA
1953-12-01,1367100000
1954-01-01,NA
1954-02-01,NA
1954-03-01,NA
1954-04-01,NA
1954-05-01,NA
1954-06-01,NA
1954-07-01,NA
1954-08-01,NA
1954-09-01,NA
1954-10-01,NA
1954-11-01,NA
1954-12-01,1185200000
1955-01-01,NA
1955-02-01,NA
1955-03-01,NA
1955-04-01,NA
1955-05-01,NA
1955-06-01,NA
1955-07-01,NA
1955-08-01,NA
1955-09-01,NA
1955-10-01,NA
1955-11-01,NA
1955-12-01,1044200000
1956-01-01,NA
1956-02-01,NA
1956-03-01,NA
1956-04-01,NA
1956-05-01,NA
1956-06-01,NA
1956-07-01,NA
1956-08-01,NA
1956-09-01,NA
1956-10-01,NA
1956-11-01,NA
1956-12-01,1607600000
1957-01-01,1327200000
1957-02-01,1459700000
1957-03-01,1587600000
1957-04-01,1.773e+09
1957-05-01,1535500000
1957-06-01,1649300000
1957-07-01,1758200000
1957-08-01,1806500000
1957-09-01,1898100000
1957-10-01,1.939e+09
1957-11-01,1964400000
1957-12-01,1.975e+09
1958-01-01,1981400000
1958-02-01,1993700000
1958-03-01,2041800000
1958-04-01,2054100000
1958-05-01,2029100000
1958-06-01,2084400000
1958-07-01,2086300000
1958-08-01,2099500000
1958-09-01,2031300000
1958-10-01,2032900000
1958-11-01,1961900000
1958-12-01,1957700000
1959-01-01,1969900000
1959-02-01,1961300000
1959-03-01,1792600000
1959-04-01,1799400000
1959-05-01,1786900000
1959-06-01,1767600000
1959-07-01,1751600000
1959-08-01,1779400000
1959-09-01,2.085e+09
1959-10-01,2096800000
1959-11-01,2013700000
1959-12-01,1997500000
1960-01-01,1984100000
1960-02-01,1924700000
1960-03-01,1887700000
1960-04-01,1.875e+09
1960-05-01,1839300000
1960-06-01,1806800000
1960-07-01,1811400000
1960-08-01,1758400000
1960-09-01,1.705e+09
1960-10-01,1625200000
1960-11-01,1610200000
1960-12-01,1554800000
1961-01-01,1576200000
1961-02-01,1.566e+09
1961-03-01,1555200000
1961-04-01,1730100000
1961-05-01,1745900000
1961-06-01,1704900000
1961-07-01,1644600000
1961-08-01,2111500000
1961-09-01,2063900000
1961-10-01,1840900000
1961-11-01,1806900000
1961-12-01,1805900000
1962-01-01,1802800000
1962-02-01,1.717e+09
1962-03-01,1685700000
1962-04-01,1673400000
1962-05-01,1666500000
1962-06-01,1963300000
1962-07-01,1602500000
1962-08-01,1499600000
1962-09-01,1528300000
1962-10-01,1409700000
1962-11-01,1272200000
1962-12-01,1163400000
1963-01-01,1203900000
1963-02-01,1223300000
1963-03-01,1242500000
1963-04-01,1225900000
1963-05-01,1259600000
1963-06-01,1234700000
1963-07-01,1138100000
1963-08-01,1140900000
1963-09-01,1.204e+09
1963-10-01,1307800000
1963-11-01,1208100000
1963-12-01,1.247e+09
1964-01-01,1340900000
1964-02-01,1252500000
1964-03-01,1.344e+09
1964-04-01,1171900000
1964-05-01,1162500000
1964-06-01,968200000
1964-07-01,998600000
1964-08-01,1033400000
1964-09-01,8.78e+08
1964-10-01,779500000
1964-11-01,1449200000
1964-12-01,1201400000
1965-01-01,1134900000
1965-02-01,1001900000
1965-03-01,1190900000
1965-04-01,1112300000
1965-05-01,1.058e+09
1965-06-01,1453800000
1965-07-01,1337600000
1965-08-01,1676400000
1965-09-01,1537200000
1965-10-01,1443400000
1965-11-01,1409900000
1965-12-01,1.385e+09
1966-01-01,1154500000
1966-02-01,1150800000
1966-03-01,1287900000
1966-04-01,1247900000
1966-05-01,1322500000
1966-06-01,1428800000
1966-07-01,1735200000
1966-08-01,1695600000
1966-09-01,1.52e+09
1966-10-01,1568600000
1966-11-01,1453100000
1966-12-01,1646700000
1967-01-01,993800000
1967-02-01,836500000
1967-03-01,670600000
1967-04-01,671700000
1967-05-01,728500000
1967-06-01,1105300000
1967-07-01,1087600000
1967-08-01,1529800000
1967-09-01,1571600000
1967-10-01,1887700000
1967-11-01,2472600000
1967-12-01,2765200000
1968-01-01,2.617e+09
1968-02-01,2889800000
1968-03-01,3223500000
1968-04-01,3292700000
1968-05-01,3880300000
1968-06-01,3381600000
1968-07-01,3689800000
1968-08-01,3.746e+09
1968-09-01,3878900000
1968-10-01,3639500000
1968-11-01,4762700000
1968-12-01,4817900000
1969-01-01,4.626e+09
1969-02-01,4698400000
