"Date","CURRDD"
1959-01-01,138.5
1959-02-01,139.1
1959-03-01,139.3
1959-04-01,139.3
1959-05-01,140.3
1959-06-01,140.8
1959-07-01,141.3
1959-08-01,141.6
1959-09-01,140.7
1959-10-01,140.1
1959-11-01,140.1
1959-12-01,139.6
1960-01-01,139.7
1960-02-01,139.5
1960-03-01,139.4
1960-04-01,139.2
1960-05-01,139.3
1960-06-01,139.3
1960-07-01,139.8
1960-08-01,140.9
1960-09-01,140.9
1960-10-01,140.6
1960-11-01,140.5
1960-12-01,140.3
1961-01-01,140.7
1961-02-01,141.2
1961-03-01,141.5
1961-04-01,141.8
1961-05-01,142.3
1961-06-01,142.5
1961-07-01,142.6
1961-08-01,143.2
1961-09-01,143.4
1961-10-01,143.7
1961-11-01,144.4
1961-12-01,144.8
1962-01-01,144.9
1962-02-01,145.3
1962-03-01,145.6
1962-04-01,146
1962-05-01,146.5
1962-06-01,146.2
1962-07-01,146
1962-08-01,146.2
1962-09-01,145.9
1962-10-01,146.3
1962-11-01,146.9
1962-12-01,147.4
1963-01-01,147.8
1963-02-01,148.4
1963-03-01,148.7
1963-04-01,149.3
1963-05-01,149.9
1963-06-01,149.9
1963-07-01,150.9
1963-08-01,151.3
1963-09-01,151.5
1963-10-01,152
1963-11-01,153.2
1963-12-01,152.8
1964-01-01,153.3
1964-02-01,153.8
1964-03-01,154
1964-04-01,154.2
1964-05-01,154.8
1964-06-01,155.1
1964-07-01,156.2
1964-08-01,157.3
1964-09-01,158.2
1964-10-01,158.6
1964-11-01,159.4
1964-12-01,159.7
1965-01-01,160.1
1965-02-01,160.3
1965-03-01,160.9
1965-04-01,161.4
1965-05-01,161.1
1965-06-01,161.6
1965-07-01,162.5
1965-08-01,163.1
1965-09-01,164.2
1965-10-01,165.4
1965-11-01,166.1
1965-12-01,167.3
1966-01-01,168.4
1966-02-01,169
1966-03-01,169.8
1966-04-01,171.1
1966-05-01,170.7
1966-06-01,170.9
1966-07-01,169.6
1966-08-01,170.1
1966-09-01,171.3
1966-10-01,170.5
1966-11-01,170.7
1966-12-01,171.4
1967-01-01,171.2
1967-02-01,172.3
1967-03-01,174.1
1967-04-01,173.5
1967-05-01,175
1967-06-01,176.3
1967-07-01,177.4
1967-08-01,179
1967-09-01,180
1967-10-01,180.9
1967-11-01,181.6
1967-12-01,182.5
1968-01-01,183.6
1968-02-01,183.9
1968-03-01,184.7
1968-04-01,185.8
1968-05-01,187.2
1968-06-01,188.7
1968-07-01,189.7
1968-08-01,191
1968-09-01,192
1968-10-01,193.3
1968-11-01,195.2
1968-12-01,196.6
1969-01-01,197.8
1969-02-01,198.5
1969-03-01,199.1
1969-04-01,199.9
1969-05-01,199.9
1969-06-01,200.4
1969-07-01,200.8
1969-08-01,200.9
1969-09-01,201.2
1969-10-01,202
1969-11-01,202.7
1969-12-01,203
1970-01-01,205.3
1970-02-01,204.1
1970-03-01,204.8
1970-04-01,205.8
1970-05-01,206.3
1970-06-01,206.7
1970-07-01,207.1
1970-08-01,208.9
1970-09-01,210.8
1970-10-01,211.9
1970-11-01,212.6
1970-12-01,213.3
1971-01-01,214.5
1971-02-01,216.3
1971-03-01,217.6
1971-04-01,218.8
1971-05-01,220.9
1971-06-01,222.3
1971-07-01,223.7
1971-08-01,224.4
1971-09-01,225.2
1971-10-01,225.9
1971-11-01,226.5
1971-12-01,227.1
1972-01-01,228.9
1972-02-01,231
1972-03-01,233.1
1972-04-01,234.3
1972-05-01,234.6
1972-06-01,235.3
1972-07-01,237.5
1972-08-01,239.6
1972-09-01,241.8
1972-10-01,243.7
1972-11-01,245
1972-12-01,247.8
1973-01-01,250
1973-02-01,250.6
1973-03-01,250.2
1973-04-01,251.2
1973-05-01,253.3
1973-06-01,255.1
1973-07-01,255.9
1973-08-01,256.1
1973-09-01,256.2
1973-10-01,257.4
1973-11-01,259.3
1973-12-01,261.1
1974-01-01,262
1974-02-01,263.5
1974-03-01,264.8
1974-04-01,265.3
1974-05-01,265.6
1974-06-01,266.6
1974-07-01,267.4
1974-08-01,268.2
1974-09-01,269
1974-10-01,270.2
1974-11-01,271.6
1974-12-01,272.1
1975-01-01,271.7
1975-02-01,272.7
1975-03-01,274
1975-04-01,273.7
1975-05-01,276.7
1975-06-01,279.8
1975-07-01,281
1975-08-01,281.5
1975-09-01,282.9
1975-10-01,282.5
1975-11-01,283.8
1975-12-01,284.1
1976-01-01,285.2
1976-02-01,287.4
1976-03-01,289.2
1976-04-01,291
1976-05-01,292
1976-06-01,292.2
1976-07-01,293
1976-08-01,294.5
1976-09-01,294.9
1976-10-01,297.2
1976-11-01,298.5
1976-12-01,301
1977-01-01,302.8
1977-02-01,305.9
1977-03-01,308.1
1977-04-01,310.2
1977-05-01,311.2
1977-06-01,312.7
1977-07-01,313.9
1977-08-01,315.9
1977-09-01,317.9
1977-10-01,319.7
1977-11-01,321.7
1977-12-01,323.8
1978-01-01,327.1
1978-02-01,327.8
1978-03-01,329.4
1978-04-01,332.2
1978-05-01,336.9
1978-06-01,338.8
1978-07-01,339.5
1978-08-01,341.3
1978-09-01,343.9
1978-10-01,344.8
1978-11-01,345.4
1978-12-01,345.5
1979-01-01,345.3
1979-02-01,345.5
1979-03-01,346.8
1979-04-01,351.2
1979-05-01,352.2
1979-06-01,355
1979-07-01,358.2
1979-08-01,359.2
1979-09-01,359.3
1979-10-01,360.8
1979-11-01,360.8
1979-12-01,361.4
1980-01-01,364.9
1980-02-01,368.4
1980-03-01,366.4
1980-04-01,361.1
1980-05-01,362.1
1980-06-01,364.9
1980-07-01,368.3
1980-08-01,372.3
1980-09-01,376.6
1980-10-01,379.5
1980-11-01,379.1
1980-12-01,376.5
1981-01-01,363.5
1981-02-01,357.5
1981-03-01,355.8
1981-04-01,357.4
1981-05-01,354.6
1981-06-01,353.3
1981-07-01,353.2
1981-08-01,352.1
1981-09-01,350.6
1981-10-01,350.9
1981-11-01,351.2
1981-12-01,353.9
1982-01-01,356.8
1982-02-01,355.2
1982-03-01,354.2
1982-04-01,355.4
1982-05-01,355.5
1982-06-01,355
1982-07-01,354.9
1982-08-01,356.3
1982-09-01,358.9
1982-10-01,361.7
1982-11-01,364.8
1982-12-01,366.6
1983-01-01,367.2
1983-02-01,369.1
1983-03-01,371.9
1983-04-01,371.9
1983-05-01,375.6
1983-06-01,377.3
1983-07-01,378.9
1983-08-01,380.3
1983-09-01,381.4
1983-10-01,382.9
1983-11-01,383.5
1983-12-01,384.7
1984-01-01,387.6
1984-02-01,388.5
1984-03-01,390.1
1984-04-01,392.4
1984-05-01,392.5
1984-06-01,394.5
1984-07-01,394.7
1984-08-01,394.9
1984-09-01,395.7
1984-10-01,395.6
1984-11-01,397.8
1984-12-01,399.5
1985-01-01,402.4
1985-02-01,405.8
1985-03-01,406.3
1985-04-01,407.8
1985-05-01,411.1
1985-06-01,414.4
1985-07-01,418.1
1985-08-01,421.7
1985-09-01,426.1
1985-10-01,427.7
1985-11-01,429.1
1985-12-01,434.6
1986-01-01,434.1
1986-02-01,435.6
1986-03-01,440.7
1986-04-01,444.1
1986-05-01,449.8
1986-06-01,453.1
1986-07-01,458
1986-08-01,460.6
1986-09-01,464.5
1986-10-01,466.1
1986-11-01,470.5
1986-12-01,483.3
1987-01-01,481.5
1987-02-01,479.4
1987-03-01,479.3
1987-04-01,484.3
1987-05-01,485
1987-06-01,481.8
1987-07-01,480.8
1987-08-01,480.8
1987-09-01,481.7
1987-10-01,488.4
1987-11-01,486.3
1987-12-01,484.4
1988-01-01,486.9
1988-02-01,486.5
1988-03-01,488.2
1988-04-01,490.9
1988-05-01,491.7
1988-06-01,495.5
1988-07-01,495.5
1988-08-01,497.4
1988-09-01,497.7
1988-10-01,496.8
1988-11-01,497.8
1988-12-01,499.1
1989-01-01,497.9
1989-02-01,496.7
1989-03-01,497.5
1989-04-01,494.7
1989-05-01,495.6
1989-06-01,494.2
1989-07-01,496.9
1989-08-01,496.9
1989-09-01,496.2
1989-10-01,499
1989-11-01,498.6
1989-12-01,500.9
1990-01-01,502.1
1990-02-01,503.5
1990-03-01,504.7
1990-04-01,506.2
1990-05-01,506.1
1990-06-01,508.6
1990-07-01,511.2
1990-08-01,516.4
1990-09-01,519.8
1990-10-01,520.5
1990-11-01,521.8
1990-12-01,523.3
1991-01-01,524.6
1991-02-01,528
1991-03-01,530.3
1991-04-01,531.5
1991-05-01,534.2
1991-06-01,537.8
1991-07-01,539.6
1991-08-01,541.2
1991-09-01,541.7
1991-10-01,546.3
1991-11-01,551.1
1991-12-01,556.7
1992-01-01,564.8
1992-02-01,572.9
1992-03-01,580.2
1992-04-01,584.8
1992-05-01,588
1992-06-01,589.9
1992-07-01,596.5
1992-08-01,602.4
1992-09-01,612.5
1992-10-01,621.5
1992-11-01,626.6
1992-12-01,632.1
1993-01-01,634
1993-02-01,637.7
1993-03-01,641.6
1993-04-01,649.9
1993-05-01,661.7
1993-06-01,668.1
1993-07-01,674.3
1993-08-01,681.7
1993-09-01,689.5
1993-10-01,694.9
