"Date","M1445AUSM144SNBR"
1907-05-01,9942
1907-06-01,9918
1907-07-01,9941
1907-08-01,9898
1907-09-01,9743
1907-10-01,9540
1907-11-01,9373
1907-12-01,9183
1908-01-01,9018
1908-02-01,8990
1908-03-01,9133
1908-04-01,9227
1908-05-01,9384
1908-06-01,9503
1908-07-01,9637
1908-08-01,9799
1908-09-01,9908
1908-10-01,10042
1908-11-01,10221
1908-12-01,10271
1909-01-01,10405
1909-02-01,10459
1909-03-01,10549
1909-04-01,10654
1909-05-01,10773
1909-06-01,10889
1909-07-01,10970
1909-08-01,11049
1909-09-01,11120
1909-10-01,11179
1909-11-01,11204
1909-12-01,11292
1910-01-01,11272
1910-02-01,11355
1910-03-01,11458
1910-04-01,11419
1910-05-01,11385
1910-06-01,11404
1910-07-01,11383
1910-08-01,11417
1910-09-01,11530
1910-10-01,11642
1910-11-01,11706
1910-12-01,11756
1911-01-01,11816
1911-02-01,11879
1911-03-01,11931
1911-04-01,12074
1911-05-01,12151
1911-06-01,12219
1911-07-01,12285
1911-08-01,12270
1911-09-01,12373
1911-10-01,12527
1911-11-01,12659
1911-12-01,12760
1912-01-01,12862
1912-02-01,12913
1912-03-01,12997
1912-04-01,13025
1912-05-01,13068
1912-06-01,13170
1912-07-01,13212
1912-08-01,13268
1912-09-01,13305
1912-10-01,13397
1912-11-01,13496
1912-12-01,13513
1913-01-01,13553
1913-02-01,13621
1913-03-01,13588
1913-04-01,13611
1913-05-01,13555
1913-06-01,13519
1913-07-01,13513
1913-08-01,13641
1913-09-01,13787
1913-10-01,13866
1913-11-01,13901
1913-12-01,13949
1914-01-01,14009
1914-02-01,14034
1914-03-01,14140
1914-04-01,14228
1914-05-01,14347
1914-06-01,14316
1914-07-01,14316
1914-08-01,14295
1914-09-01,14447
1914-10-01,14452
1914-11-01,14473
1914-12-01,14445
1915-01-01,14563
1915-02-01,14754
1915-03-01,14837
1915-04-01,14903
1915-05-01,15094
1915-06-01,15250
1915-07-01,15356
1915-08-01,15482
1915-09-01,15875
1915-10-01,16511
1915-11-01,16736
1915-12-01,17006
1916-01-01,17265
1916-02-01,17577
1916-03-01,17656
1916-04-01,17885
1916-05-01,18126
1916-06-01,18173
1916-07-01,18445
1916-08-01,18706
1916-09-01,19077
1916-10-01,19428
1916-11-01,19795
1916-12-01,20257
1917-01-01,20603
1917-02-01,20718
1917-03-01,20922
1917-04-01,21082
1917-05-01,21338
1917-06-01,21264
1917-07-01,21707
1917-08-01,21808
1917-09-01,21614
1917-10-01,21546
1917-11-01,21658
1917-12-01,22578
1918-01-01,22453
1918-02-01,22044
1918-03-01,22616
1918-04-01,22668
1918-05-01,21990
1918-06-01,22316
1918-07-01,22478
1918-08-01,22699
1918-09-01,23533
1918-10-01,22931
1918-11-01,23516
1918-12-01,24851
1919-01-01,24728
1919-02-01,24620
1919-03-01,25439
1919-04-01,25758
1919-05-01,25867
1919-06-01,26432
1919-07-01,26994
1919-08-01,27420
1919-09-01,27897
1919-10-01,28631
1919-11-01,28982
1919-12-01,29294
1920-01-01,29442
1920-02-01,29852
1920-03-01,30279
1920-04-01,30245
1920-05-01,30304
1920-06-01,30245
1920-07-01,30215
1920-08-01,30198
1920-09-01,30152
1920-10-01,29969
1920-11-01,29695
1920-12-01,30031
1921-01-01,29597
1921-02-01,29364
1921-03-01,28875
1921-04-01,28588
1921-05-01,28536
1921-06-01,28165
1921-07-01,27913
1921-08-01,28052
1921-09-01,27830
1921-10-01,28127
1921-11-01,28236
1921-12-01,28168
1922-01-01,28049
1922-02-01,28424
1922-03-01,28542
1922-04-01,29240
1922-05-01,29530
1922-06-01,30021
1922-07-01,30402
1922-08-01,30549
1922-09-01,30776
1922-10-01,31012
1922-11-01,30988
1922-12-01,31920
1923-01-01,31862
1923-02-01,32037
1923-03-01,31961
1923-04-01,32301
1923-05-01,32503
1923-06-01,32423
1923-07-01,32397
1923-08-01,32421
1923-09-01,32596
1923-10-01,32823
1923-11-01,32882
1923-12-01,33090
1924-01-01,33019
1924-02-01,33090
1924-03-01,33206
1924-04-01,33453
1924-05-01,33640
1924-06-01,34048
1924-07-01,34525
1924-08-01,34974
1924-09-01,35466
1924-10-01,35700
1924-11-01,36160
1924-12-01,36046
1925-01-01,36505
1925-02-01,36823
1925-03-01,36832
1925-04-01,37041
1925-05-01,37383
1925-06-01,37765
1925-07-01,37927
1925-08-01,38540
1925-09-01,38978
1925-10-01,39045
1925-11-01,39078
1925-12-01,39063
1926-01-01,39227
1926-02-01,39365
1926-03-01,39313
1926-04-01,39124
1926-05-01,39525
1926-06-01,39561
1926-07-01,39343
1926-08-01,39572
1926-09-01,39505
1926-10-01,39342
1926-11-01,39401
1926-12-01,39029
1927-01-01,39350
1927-02-01,39794
1927-03-01,39979
1927-04-01,39991
1927-05-01,40640
1927-06-01,40433
1927-07-01,40560
1927-08-01,40811
1927-09-01,40704
1927-10-01,40925
1927-11-01,41749
1927-12-01,41106
1928-01-01,41825
1928-02-01,42028
1928-03-01,42232
1928-04-01,42670
1928-05-01,42595
1928-06-01,41936
1928-07-01,42093
1928-08-01,41913
1928-09-01,42114
1928-10-01,42517
1928-11-01,42533
1928-12-01,42740
1929-01-01,42361
1929-02-01,42443
1929-03-01,42311
1929-04-01,42247
1929-05-01,41931
1929-06-01,42007
1929-07-01,42513
1929-08-01,42359
1929-09-01,42505
1929-10-01,44323
1929-11-01,41186
1929-12-01,42067
1930-01-01,41543
1930-02-01,41710
1930-03-01,42436
1930-04-01,41970
1930-05-01,41479
1930-06-01,41622
1930-07-01,41674
1930-08-01,41390
1930-09-01,41446
