"Date","MZMOWN"
1974-01-01,2.71
1974-02-01,2.704
1974-03-01,2.71
1974-04-01,2.717
1974-05-01,2.716
1974-06-01,2.722
1974-07-01,2.725
1974-08-01,2.724
1974-09-01,2.734
1974-10-01,2.734
1974-11-01,2.736
1974-12-01,2.75
1975-01-01,2.766
1975-02-01,2.767
1975-03-01,2.781
1975-04-01,2.804
1975-05-01,2.817
1975-06-01,2.832
1975-07-01,2.852
1975-08-01,2.866
1975-09-01,2.873
1975-10-01,2.887
1975-11-01,2.89
1975-12-01,2.911
1976-01-01,2.921
1976-02-01,2.932
1976-03-01,2.949
1976-04-01,2.957
1976-05-01,2.963
1976-06-01,2.972
1976-07-01,2.973
1976-08-01,2.98
1976-09-01,2.992
1976-10-01,3.001
1976-11-01,3.016
1976-12-01,3.021
1977-01-01,3.021
1977-02-01,3.021
1977-03-01,3.021
1977-04-01,3.022
1977-05-01,3.024
1977-06-01,3.031
1977-07-01,3.034
1977-08-01,3.038
1977-09-01,3.037
1977-10-01,3.032
1977-11-01,3.036
1977-12-01,3.039
1978-01-01,3.04
1978-02-01,3.044
1978-03-01,3.05
1978-04-01,3.044
1978-05-01,3.032
1978-06-01,3.026
1978-07-01,3.021
1978-08-01,3.016
1978-09-01,3.013
1978-10-01,3.013
1978-11-01,3.02
1978-12-01,3.028
1979-01-01,3.032
1979-02-01,3.026
1979-03-01,3.03
1979-04-01,3.026
1979-05-01,3.041
1979-06-01,3.061
1979-07-01,3.124
1979-08-01,3.222
1979-09-01,3.265
1979-10-01,3.32
1979-11-01,3.41
1979-12-01,3.437
1980-01-01,3.493
1980-02-01,3.522
1980-03-01,3.645
1980-04-01,3.793
1980-05-01,3.648
1980-06-01,3.422
1980-07-01,3.356
1980-08-01,3.351
1980-09-01,3.425
1980-10-01,3.55
1980-11-01,3.721
1980-12-01,4.048
1981-01-01,4.322
1981-02-01,4.393
1981-03-01,4.42
1981-04-01,4.452
1981-05-01,4.726
1981-06-01,4.991
1981-07-01,5.156
1981-08-01,5.327
1981-09-01,5.406
1981-10-01,5.285
1981-11-01,5.186
1981-12-01,4.827
1982-01-01,4.831
1982-02-01,5.043
1982-03-01,5.156
1982-04-01,5.228
1982-05-01,5.248
1982-06-01,5.216
1982-07-01,5.16
1982-08-01,4.804
1982-09-01,4.514
1982-10-01,4.407
1982-11-01,4.267
1982-12-01,4.209
1983-01-01,4.216
1983-02-01,4.222
1983-03-01,4.394
1983-04-01,4.855
1983-05-01,5
1983-06-01,5.141
1983-07-01,5.242
1983-08-01,5.356
1983-09-01,5.354
1983-10-01,5.301
1983-11-01,5.275
1983-12-01,5.298
1984-01-01,5.359
1984-02-01,5.388
1984-03-01,5.453
1984-04-01,5.56
1984-05-01,5.676
1984-06-01,5.774
1984-07-01,5.904
1984-08-01,5.96
1984-09-01,5.969
1984-10-01,5.883
1984-11-01,5.635
1984-12-01,5.405
1985-01-01,5.226
1985-02-01,5.2
1985-03-01,5.26
1985-04-01,5.229
1985-05-01,5.076
1985-06-01,4.884
1985-07-01,4.811
1985-08-01,4.82
1985-09-01,4.815
1985-10-01,4.83
1985-11-01,4.838
1985-12-01,4.818
1986-01-01,4.815
1986-02-01,4.799
1986-03-01,4.714
1986-04-01,4.569
1986-05-01,4.475
1986-06-01,4.452
1986-07-01,4.338
1986-08-01,4.216
1986-09-01,4.088
1986-10-01,4.042
1986-11-01,4.02
1986-12-01,4.028
1987-01-01,4.036
1987-02-01,4.008
1987-03-01,4.016
1987-04-01,4.025
1987-05-01,4.102
1987-06-01,4.147
1987-07-01,4.155
1987-08-01,4.163
1987-09-01,4.235
1987-10-01,4.321
1987-11-01,4.291
1987-12-01,4.316
1988-01-01,4.319
1988-02-01,4.248
1988-03-01,4.209
1988-04-01,4.21
1988-05-01,4.245
1988-06-01,4.306
1988-07-01,4.368
1988-08-01,4.451
1988-09-01,4.506
1988-10-01,4.538
1988-11-01,4.598
1988-12-01,4.704
1989-01-01,4.791
1989-02-01,4.844
1989-03-01,5.012
1989-04-01,5.115
1989-05-01,5.126
1989-06-01,5.09
1989-07-01,5.069
1989-08-01,4.998
1989-09-01,5.004
1989-10-01,4.996
1989-11-01,4.958
1989-12-01,4.921
1990-01-01,4.876
1990-02-01,4.85
1990-03-01,4.853
1990-04-01,4.865
1990-05-01,4.863
1990-06-01,4.853
1990-07-01,4.85
1990-08-01,4.803
1990-09-01,4.796
1990-10-01,4.793
1990-11-01,4.757
1990-12-01,4.705
1991-01-01,4.597
1991-02-01,4.342
1991-03-01,4.325
1991-04-01,4.232
1991-05-01,4.115
1991-06-01,4.068
1991-07-01,4.039
1991-08-01,3.984
