"Date","OCMZMP"
1967-01-01,0.0254
1967-02-01,0.0232
1967-03-01,0.0229
1967-04-01,0.0199
1967-05-01,0.02
1967-06-01,0.0222
1967-07-01,0.0215
1967-08-01,0.022
1967-09-01,0.0219
1967-10-01,0.0236
1967-11-01,0.0263
1967-12-01,0.0278
1968-01-01,0.0254
1968-02-01,0.024
1968-03-01,0.0277
1968-04-01,0.027
1968-05-01,0.0303
1968-06-01,0.0307
1968-07-01,0.028
1968-08-01,0.0262
1968-09-01,0.0258
1968-10-01,0.0283
1968-11-01,0.0303
1968-12-01,0.0319
1969-01-01,0.0337
1969-02-01,0.0369
1969-03-01,0.0392
1969-04-01,0.0388
1969-05-01,0.0444
1969-06-01,0.0526
1969-07-01,0.0516
1969-08-01,0.0506
1969-09-01,0.0526
1969-10-01,0.0469
1969-11-01,0.0493
1969-12-01,0.0526
1970-01-01,0.0467
1970-02-01,0.0433
1970-03-01,0.0405
1970-04-01,0.0379
1970-05-01,0.0401
1970-06-01,0.043
1970-07-01,0.0397
1970-08-01,0.0369
1970-09-01,0.0359
1970-10-01,0.0355
1970-11-01,0.0314
1970-12-01,0.0318
1971-01-01,0.0267
1971-02-01,0.0252
1971-03-01,0.0237
1971-04-01,0.0273
1971-05-01,0.0321
1971-06-01,0.0326
1971-07-01,0.0313
1971-08-01,0.0398
1971-09-01,0.0387
1971-10-01,0.0293
1971-11-01,0.0273
1971-12-01,0.0293
1972-01-01,0.0232
1972-02-01,0.0227
1972-03-01,0.0236
1972-04-01,0.0246
1972-05-01,0.0222
1972-06-01,0.0224
1972-07-01,0.0262
1972-08-01,0.0259
1972-09-01,0.0262
1972-10-01,0.0266
1972-11-01,0.0259
1972-12-01,0.0266
1973-01-01,0.0273
1973-02-01,0.0426
1973-03-01,0.0402
1973-04-01,0.0417
1973-05-01,0.0392
1973-06-01,0.0406
1973-07-01,0.0482
1973-08-01,0.0532
1973-09-01,0.0517
1973-10-01,0.0479
1973-11-01,0.045
1973-12-01,0.0498
1974-01-01,0.0432
1974-02-01,0.0386
1974-03-01,0.0417
1974-04-01,0.0483
1974-05-01,0.0541
1974-06-01,0.0562
1974-07-01,0.0629
1974-08-01,0.0635
1974-09-01,0.0591
1974-10-01,0.0504
1974-11-01,0.0459
1974-12-01,0.047
1975-01-01,0.0397
1975-02-01,0.0324
1975-03-01,0.0321
1975-04-01,0.0346
1975-05-01,0.0313
1975-06-01,0.0293
1975-07-01,0.0348
1975-08-01,0.036
1975-09-01,0.0372
1975-10-01,0.0342
1975-11-01,0.032
1975-12-01,0.0312
1976-01-01,0.0243
1976-02-01,0.0249
1976-03-01,0.026
1976-04-01,0.0239
1976-05-01,0.0276
1976-06-01,0.0291
1976-07-01,0.026
1976-08-01,0.025
1976-09-01,0.0239
1976-10-01,0.0227
1976-11-01,0.0218
1976-12-01,0.0215
1977-01-01,0.0215
1977-02-01,0.0214
1977-03-01,0.0214
1977-04-01,0.0215
