"Date","MABMM201USM189N"
1956-07-01,2.951e+11
1956-08-01,298433333000
1956-09-01,2.994e+11
1956-10-01,300033333000
1956-11-01,3.055e+11
1956-12-01,3.123e+11
1957-01-01,3.171e+11
1957-02-01,320966667000
1957-03-01,3.265e+11
1957-04-01,3.347e+11
1957-05-01,341166667000
1957-06-01,346233333000
1957-07-01,351633333000
1957-08-01,361266667000
1957-09-01,368966667000
1957-10-01,374633333000
1957-11-01,3.822e+11
1957-12-01,3.925e+11
1958-01-01,3.987e+11
1958-02-01,4.03e+11
1958-03-01,412066667000
1958-04-01,4.237e+11
1958-05-01,431533333000
1958-06-01,4.361e+11
1958-07-01,4.446e+11
1958-08-01,4.578e+11
1958-09-01,465566667000
1958-10-01,468633333000
1958-11-01,4.717e+11
1958-12-01,479566667000
1959-01-01,2.898e+11
1959-02-01,2.877e+11
1959-03-01,2.879e+11
1959-04-01,2.902e+11
1959-05-01,2.902e+11
1959-06-01,2.925e+11
1959-07-01,2.944e+11
1959-08-01,2.948e+11
1959-09-01,2.961e+11
1959-10-01,2.969e+11
1959-11-01,2.978e+11
1959-12-01,3.006e+11
1960-01-01,3.015e+11
1960-02-01,2.985e+11
1960-03-01,2.982e+11
1960-04-01,3.003e+11
1960-05-01,2.989e+11
1960-06-01,3.009e+11
1960-07-01,3.035e+11
1960-08-01,3.052e+11
1960-09-01,3.078e+11
1960-10-01,3.099e+11
1960-11-01,3.117e+11
1960-12-01,3.153e+11
1961-01-01,3.175e+11
1961-02-01,3.166e+11
1961-03-01,3.172e+11
1961-04-01,3.202e+11
1961-05-01,3.2e+11
1961-06-01,3.227e+11
1961-07-01,3.249e+11
1961-08-01,3.258e+11
1961-09-01,3.288e+11
1961-10-01,3.315e+11
1961-11-01,3.341e+11
1961-12-01,3.385e+11
1962-01-01,3.411e+11
1962-02-01,3.403e+11
1962-03-01,3.421e+11
1962-04-01,3.46e+11
1962-05-01,3.45e+11
1962-06-01,3.477e+11
1962-07-01,3.501e+11
1962-08-01,3.509e+11
1962-09-01,3.539e+11
1962-10-01,3.575e+11
1962-11-01,3.605e+11
1962-12-01,3.658e+11
1963-01-01,3.691e+11
1963-02-01,3.68e+11
1963-03-01,3.698e+11
1963-04-01,3.738e+11
1963-05-01,3.734e+11
1963-06-01,3.767e+11
1963-07-01,3.802e+11
1963-08-01,3.815e+11
1963-09-01,3.849e+11
1963-10-01,3.888e+11
1963-11-01,3.923e+11
1963-12-01,3.964e+11
1964-01-01,3.995e+11
1964-02-01,3.976e+11
1964-03-01,3.989e+11
1964-04-01,4.024e+11
1964-05-01,4.013e+11
1964-06-01,4.053e+11
1964-07-01,4.093e+11
1964-08-01,4.111e+11
1964-09-01,4.157e+11
1964-10-01,4.199e+11
1964-11-01,4.229e+11
1964-12-01,4.283e+11
1965-01-01,4.323e+11
1965-02-01,4.301e+11
1965-03-01,4.322e+11
1965-04-01,4.362e+11
1965-05-01,4.337e+11
1965-06-01,4.384e+11
1965-07-01,4.421e+11
1965-08-01,4.433e+11
1965-09-01,4.484e+11
1965-10-01,4.536e+11
1965-11-01,4.567e+11
1965-12-01,4.631e+11
1966-01-01,4.671e+11
1966-02-01,4.637e+11
1966-03-01,4.659e+11
1966-04-01,4.701e+11
1966-05-01,4.662e+11
1966-06-01,4.696e+11
1966-07-01,4.703e+11
1966-08-01,4.701e+11
1966-09-01,4.746e+11
1966-10-01,4.769e+11
1966-11-01,4.781e+11
1966-12-01,4.837e+11
1967-01-01,4.864e+11
1967-02-01,4.836e+11
1967-03-01,4.881e+11
1967-04-01,4.929e+11
1967-05-01,4.933e+11
1967-06-01,5.009e+11
1967-07-01,5.062e+11
1967-08-01,5.086e+11
1967-09-01,5.142e+11
1967-10-01,5.193e+11
1967-11-01,5.216e+11
1967-12-01,5.28e+11
1968-01-01,5.319e+11
1968-02-01,5.281e+11
1968-03-01,5.316e+11
1968-04-01,5.369e+11
1968-05-01,5.354e+11
1968-06-01,5.422e+11
1968-07-01,5.462e+11
1968-08-01,5.476e+11
1968-09-01,5.531e+11
1968-10-01,5.585e+11
1968-11-01,5.625e+11
1968-12-01,5.697e+11
1969-01-01,5.735e+11
1969-02-01,5.691e+11
1969-03-01,5.728e+11
1969-04-01,5.774e+11
1969-05-01,5.735e+11
1969-06-01,5.787e+11
1969-07-01,5.806e+11
1969-08-01,5.784e+11
1969-09-01,5.813e+11
1969-10-01,5.837e+11
1969-11-01,5.848e+11
1969-12-01,5.901e+11
1970-01-01,5.92e+11
1970-02-01,5.834e+11
1970-03-01,5.873e+11
1970-04-01,5.929e+11
1970-05-01,5.908e+11
1970-06-01,5.975e+11
1970-07-01,6.012e+11
1970-08-01,6.03e+11
1970-09-01,6.087e+11
1970-10-01,6.14e+11
1970-11-01,6.182e+11
1970-12-01,6.278e+11
1971-01-01,6.355e+11
1971-02-01,6.38e+11
1971-03-01,6.5e+11
1971-04-01,6.635e+11
1971-05-01,6.661e+11
1971-06-01,6.759e+11
1971-07-01,6.823e+11
1971-08-01,6.837e+11
1971-09-01,6.897e+11
1971-10-01,6.956e+11
1971-11-01,7.012e+11
1971-12-01,7.112e+11
1972-01-01,7.2e+11
1972-02-01,7.222e+11
1972-03-01,7.337e+11
1972-04-01,7.438e+11
1972-05-01,7.426e+11
1972-06-01,7.532e+11
1972-07-01,7.63e+11
1972-08-01,7.67e+11
1972-09-01,7.752e+11
1972-10-01,7.836e+11
1972-11-01,7.902e+11
1972-12-01,8.031e+11
1973-01-01,8.123e+11
1973-02-01,8.101e+11
1973-03-01,8.156e+11
1973-04-01,8.254e+11
1973-05-01,8.258e+11
1973-06-01,8.372e+11
1973-07-01,8.407e+11
1973-08-01,8.374e+11
1973-09-01,8.36e+11
1973-10-01,8.393e+11
1973-11-01,8.453e+11
1973-12-01,8.565e+11
1974-01-01,8.615e+11
1974-02-01,8.598e+11
1974-03-01,8.699e+11
1974-04-01,8.786e+11
1974-05-01,8.734e+11
1974-06-01,8.819e+11
