"Date","MSIM3P"
1967-01-01,896.9
1967-02-01,903.7
1967-03-01,912.7
1967-04-01,913.4
1967-05-01,921.6
1967-06-01,929.5
1967-07-01,936.2
1967-08-01,944.3
1967-09-01,950.3
1967-10-01,955.6
1967-11-01,960.5
1967-12-01,966.1
1968-01-01,970.7
1968-02-01,974.3
1968-03-01,979
1968-04-01,983.6
1968-05-01,989.4
1968-06-01,995.9
1968-07-01,1001.8
1968-08-01,1009
1968-09-01,1015.4
1968-10-01,1022.5
1968-11-01,1032.1
1968-12-01,1040.3
1969-01-01,1044.1
1969-02-01,1047
1969-03-01,1050.4
1969-04-01,1052.3
1969-05-01,1052.8
1969-06-01,1054.9
1969-07-01,1054.3
1969-08-01,1053.2
1969-09-01,1055.5
1969-10-01,1057.5
1969-11-01,1064.1
1969-12-01,1067.8
1970-01-01,1071.5
1970-02-01,1065.3
1970-03-01,1067.7
1970-04-01,1071.4
1970-05-01,1076.8
1970-06-01,1081.5
1970-07-01,1089.4
1970-08-01,1101
1970-09-01,1113.3
1970-10-01,1123
1970-11-01,1131.5
1970-12-01,1141.1
1971-01-01,1152.1
1971-02-01,1166.3
1971-03-01,1180.1
1971-04-01,1189.6
1971-05-01,1203.8
1971-06-01,1213.8
1971-07-01,1225.1
1971-08-01,1233.3
1971-09-01,1244
1971-10-01,1254.4
1971-11-01,1263.9
1971-12-01,1273
1972-01-01,1284.4
1972-02-01,1298.2
1972-03-01,1309.9
1972-04-01,1319.7
1972-05-01,1327.6
1972-06-01,1336.9
1972-07-01,1352
1972-08-01,1367.4
1972-09-01,1381.6
1972-10-01,1394.7
1972-11-01,1406.9
1972-12-01,1422.6
1973-01-01,1436.9
1973-02-01,1446.5
1973-03-01,1453.1
1973-04-01,1462
1973-05-01,1475.5
1973-06-01,1487.4
1973-07-01,1495.5
1973-08-01,1500.9
1973-09-01,1503.7
1973-10-01,1510.7
1973-11-01,1520.8
1973-12-01,1532.4
1974-01-01,1540.6
1974-02-01,1549.7
1974-03-01,1559.9
1974-04-01,1566.4
1974-05-01,1571
1974-06-01,1578.2
1974-07-01,1584.8
1974-08-01,1590.2
1974-09-01,1596.7
1974-10-01,1605.3
1974-11-01,1613.6
1974-12-01,1619.9
1975-01-01,1625.1
1975-02-01,1635.4
1975-03-01,1647.3
1975-04-01,1655.3
1975-05-01,1672.9
1975-06-01,1694.2
1975-07-01,1708.7
1975-08-01,1717.6
1975-09-01,1731.8
1975-10-01,1739.5
1975-11-01,1752.8
1975-12-01,1760.8
1976-01-01,1775.4
1976-02-01,1793.1
1976-03-01,1808.1
1976-04-01,1823.9
1976-05-01,1837.4
1976-06-01,1844.8
1976-07-01,1856
1976-08-01,1873.1
1976-09-01,1882.5
1976-10-01,1899.6
1976-11-01,1915.1
1976-12-01,1935.1
1977-01-01,1950.3
1977-02-01,1969.6
1977-03-01,1986.3
1977-04-01,2001.5
1977-05-01,2015.2
1977-06-01,2029.6
1977-07-01,2043.4
1977-08-01,2060.7
1977-09-01,2076.2
1977-10-01,2091
1977-11-01,2108
1977-12-01,2123
1978-01-01,2142.9
1978-02-01,2153.5
1978-03-01,2167.9
1978-04-01,2185.5
1978-05-01,2207.2
1978-06-01,2218.8
1978-07-01,2224.7
1978-08-01,2239.5
1978-09-01,2255.3
1978-10-01,2264.7
1978-11-01,2273.5
1978-12-01,2278
1979-01-01,2277.1
1979-02-01,2279.1
1979-03-01,2287.6
1979-04-01,2305.5
1979-05-01,2310.7
1979-06-01,2328.2
1979-07-01,2344.7
1979-08-01,2358.3
1979-09-01,2365.4
1979-10-01,2365.1
1979-11-01,2353.6
1979-12-01,2355.1
1980-01-01,2362.2
1980-02-01,2372.2
1980-03-01,2360.4
1980-04-01,2336.4
1980-05-01,2341.1
1980-06-01,2362.9
1980-07-01,2392.6
1980-08-01,2424.9
1980-09-01,2448.9
1980-10-01,2466.6
1980-11-01,2471.7
1980-12-01,2457.6
1981-01-01,2445.3
1981-02-01,2445.4
1981-03-01,2453.6
1981-04-01,2479.4
1981-05-01,2471.5
1981-06-01,2469.9
1981-07-01,2478.7
1981-08-01,2478.4
1981-09-01,2476.7
1981-10-01,2483
1981-11-01,2495.3
1981-12-01,2518.6
1982-01-01,2542.4
1982-02-01,2540.3
1982-03-01,2547.1
1982-04-01,2565.7
1982-05-01,2571.7
1982-06-01,2579.2
1982-07-01,2584.1
1982-08-01,2606.9
1982-09-01,2627.3
1982-10-01,2657.7
1982-11-01,2683.3
1982-12-01,2694.1
1983-01-01,2681.9
1983-02-01,2690.8
1983-03-01,2703.9
1983-04-01,2713.3
1983-05-01,2733.1
1983-06-01,2745.1
1983-07-01,2754.7
1983-08-01,2763.7
1983-09-01,2772.9
1983-10-01,2786.7
1983-11-01,2797.5
1983-12-01,2809.4
1984-01-01,2824
1984-02-01,2841.3
1984-03-01,2861.7
1984-04-01,2882.4
1984-05-01,2896.4
1984-06-01,2910.3
1984-07-01,2917.3
1984-08-01,2918.2
1984-09-01,2927
1984-10-01,2938
1984-11-01,2956.9
1984-12-01,2978.7
1985-01-01,3002.8
1985-02-01,3028.8
1985-03-01,3041.3
1985-04-01,3049.9
1985-05-01,3070.5
1985-06-01,3099.3
1985-07-01,3119.8
1985-08-01,3144
1985-09-01,3167.4
1985-10-01,3185.1
1985-11-01,3200.3
1985-12-01,3229.4
1986-01-01,3242.6
1986-02-01,3258.3
1986-03-01,3290.3
1986-04-01,3322.1
1986-05-01,3358.2
1986-06-01,3386.1
1986-07-01,3420.9
1986-08-01,3449.1
1986-09-01,3480.5
1986-10-01,3501.3
1986-11-01,3522.4
1986-12-01,3573.9
1987-01-01,3588.9
1987-02-01,3590.9
1987-03-01,3597.7
1987-04-01,3624.2
1987-05-01,3634.9
1987-06-01,3636.1
1987-07-01,3637.8
1987-08-01,3649.7
1987-09-01,3664.4
1987-10-01,3690
1987-11-01,3687.9
1987-12-01,3684.5
1988-01-01,3706.8
1988-02-01,3721.9
1988-03-01,3741.6
1988-04-01,3766.3
1988-05-01,3785.4
1988-06-01,3805.3
1988-07-01,3814.7
1988-08-01,3821.9
1988-09-01,3824.8
1988-10-01,3828.1
1988-11-01,3841.7
1988-12-01,3851.4
1989-01-01,3847.5
1989-02-01,3839.5
1989-03-01,3844.1
1989-04-01,3834.8
1989-05-01,3825.2
1989-06-01,3829
1989-07-01,3850.4
1989-08-01,3863.5
1989-09-01,3875
1989-10-01,3897.5
1989-11-01,3913.6
1989-12-01,3934.5
1990-01-01,3951.6
1990-02-01,3964.1
1990-03-01,3974.1
1990-04-01,3986.8
1990-05-01,3987.1
1990-06-01,4004
1990-07-01,4019.6
1990-08-01,4045.8
1990-09-01,4063.7
1990-10-01,4070
1990-11-01,4072.8
1990-12-01,4082.6
1991-01-01,4102.7
1991-02-01,4124.9
1991-03-01,4143.3
1991-04-01,4156.8
1991-05-01,4170.2
1991-06-01,4186.6
1991-07-01,4192.8
1991-08-01,4197.6
1991-09-01,4198.7
1991-10-01,4216
1991-11-01,4234.4
1991-12-01,4254.7
1992-01-01,4276.8
1992-02-01,4311.5
1992-03-01,4328.7
1992-04-01,4332.4
1992-05-01,4340.3
1992-06-01,4343.6
1992-07-01,4357.9
1992-08-01,4379.3
1992-09-01,4406.6
1992-10-01,4426.7
1992-11-01,4436.3
1992-12-01,4438.9
1993-01-01,4431.2
1993-02-01,4439.1
1993-03-01,4448.1
1993-04-01,4460.7
1993-05-01,4507.4
1993-06-01,4519.4
1993-07-01,4527.4
1993-08-01,4540.1
1993-09-01,4559.4
1993-10-01,4573.9
1993-11-01,4602
1993-12-01,4615.8
1994-01-01,4620.1
1994-02-01,4617.8
1994-03-01,4630.6
1994-04-01,4639.2
1994-05-01,4648.3
1994-06-01,4641.8
1994-07-01,4659.3
1994-08-01,4656.9
1994-09-01,4660.3
1994-10-01,4660.2
1994-11-01,4664.5
1994-12-01,4663.7
