"Date","BOGUMBNS"
1959-01-01,50.525
1959-02-01,49.805
1959-03-01,49.733
1959-04-01,50.058
1959-05-01,50.112
1959-06-01,50.337
1959-07-01,50.802
1959-08-01,50.661
1959-09-01,50.723
1959-10-01,50.661
1959-11-01,50.877
1959-12-01,51.505
1960-01-01,50.661
1960-02-01,49.609
1960-03-01,49.483
1960-04-01,49.656
1960-05-01,49.734
1960-06-01,50.015
1960-07-01,50.455
1960-08-01,50.279
1960-09-01,49.92
1960-10-01,50.13
1960-11-01,50.251
1960-12-01,49.763
1961-01-01,49.103
1961-02-01,48.441
1961-03-01,48.362
1961-04-01,48.455
1961-05-01,48.494
1961-06-01,48.876
1961-07-01,49.216
1961-08-01,49.334
1961-09-01,49.599
1961-10-01,50.032
1961-11-01,50.484
1961-12-01,51.281
1962-01-01,50.604
1962-02-01,49.841
1962-03-01,50.024
1962-04-01,50.366
1962-05-01,50.543
1962-06-01,50.908
1962-07-01,51.314
1962-08-01,51.176
1962-09-01,51.323
1962-10-01,51.552
1962-11-01,51.344
1962-12-01,52.257
1963-01-01,51.636
1963-02-01,51.014
1963-03-01,51.206
1963-04-01,51.489
1963-05-01,51.702
1963-06-01,52.195
1963-07-01,52.768
1963-08-01,52.6
1963-09-01,52.911
1963-10-01,53.118
1963-11-01,53.775
1963-12-01,54.913
1964-01-01,54.238
1964-02-01,53.472
1964-03-01,53.83
1964-04-01,54.052
1964-05-01,54.274
1964-06-01,54.94
1964-07-01,55.426
1964-08-01,55.427
1964-09-01,55.888
1964-10-01,56.162
1964-11-01,56.786
1964-12-01,57.737
1965-01-01,57.138
1965-02-01,56.508
1965-03-01,56.696
1965-04-01,57.089
1965-05-01,57.165
1965-06-01,57.761
1965-07-01,58.408
1965-08-01,58.192
1965-09-01,58.574
1965-10-01,59.137
1965-11-01,59.615
1965-12-01,61.022
1966-01-01,60.52
1966-02-01,59.752
1966-03-01,59.933
1966-04-01,60.511
1966-05-01,60.632
1966-06-01,61.102
1966-07-01,62.064
1966-08-01,61.734
1966-09-01,62.36
1966-10-01,62.604
1966-11-01,62.993
1966-12-01,64.185
1967-01-01,63.85
1967-02-01,63.282
1967-03-01,63.166
1967-04-01,63.274
1967-05-01,63.382
1967-06-01,64.005
1967-07-01,64.821
1967-08-01,64.7
1967-09-01,65.226
1967-10-01,65.894
1967-11-01,66.453
1967-12-01,67.818
1968-01-01,67.698
1968-02-01,67.213
1968-03-01,67.521
1968-04-01,67.954
1968-05-01,68.078
1968-06-01,68.874
1968-07-01,69.701
1968-08-01,69.888
1968-09-01,70.048
1968-10-01,70.831
1968-11-01,71.728
1968-12-01,73.139
1969-01-01,72.865
1969-02-01,71.978
1969-03-01,71.768
1969-04-01,72.362
1969-05-01,73.358
1969-06-01,73.51
1969-07-01,73.726
1969-08-01,73.773
1969-09-01,73.78
1969-10-01,74.436
1969-11-01,75.569
1969-12-01,76.753
1970-01-01,76.398
1970-02-01,75.237
1970-03-01,75.277
1970-04-01,76.294
1970-05-01,76.649
1970-06-01,76.9
1970-07-01,77.96
1970-08-01,78.228
1970-09-01,78.684
1970-10-01,78.692
1970-11-01,79.468
1970-12-01,80.987
1971-01-01,81.171
1971-02-01,80.565
1971-03-01,80.788
1971-04-01,81.641
1971-05-01,82.405
1971-06-01,82.894
1971-07-01,84.184
1971-08-01,84.079
1971-09-01,84.431
1971-10-01,84.692
1971-11-01,85.491
1971-12-01,86.783
1972-01-01,87.274
1972-02-01,86.213
1972-03-01,86.688
1972-04-01,87.824
1972-05-01,88.547
1972-06-01,88.864
1972-07-01,90.004
1972-08-01,90.092
1972-09-01,90.191
1972-10-01,91.353
1972-11-01,90.47
1972-12-01,91.265
1973-01-01,91.706
1973-02-01,90.407
1973-03-01,91.161
1973-04-01,92.481
1973-05-01,93.12
1973-06-01,93.653
1973-07-01,95.502
1973-08-01,95.844
1973-09-01,96.181
1973-10-01,97.439
1973-11-01,98.312
1973-12-01,99.915
1974-01-01,100.494
1974-02-01,99.171
1974-03-01,99.661
1974-04-01,101.602
1974-05-01,102.828
1974-06-01,103.51
1974-07-01,104.986
1974-08-01,105.075
1974-09-01,105.212
1974-10-01,105.701
1974-11-01,106.898
1974-12-01,108.323
1975-01-01,107.955
1975-02-01,105.65
1975-03-01,105.728
1975-04-01,106.701
1975-05-01,107.07
1975-06-01,108.285
1975-07-01,109.384
1975-08-01,109.114
1975-09-01,109.14
1975-10-01,109.697
1975-11-01,110.989
1975-12-01,112.786
1976-01-01,112.109
1976-02-01,110.626
1976-03-01,111.249
1976-04-01,112.928
1976-05-01,113.614
1976-06-01,114.24
1976-07-01,115.623
1976-08-01,115.487
1976-09-01,115.566
1976-10-01,116.521
1976-11-01,118.195
1976-12-01,120.221
1977-01-01,119.745
1977-02-01,118.018
1977-03-01,118.577
1977-04-01,120.498
1977-05-01,121.047
1977-06-01,121.776
1977-07-01,124.015
1977-08-01,124.092
1977-09-01,124.452
1977-10-01,125.692
1977-11-01,127.422
1977-12-01,129.821
1978-01-01,130.187
1978-02-01,128.909
1978-03-01,129.166
1978-04-01,131.071
1978-05-01,132.208
1978-06-01,133.549
1978-07-01,135.562
1978-08-01,135.258
1978-09-01,136.124
1978-10-01,137.485
1978-11-01,140.563
1978-12-01,144.526
1979-01-01,144.448
1979-02-01,141.858
1979-03-01,142.383
1979-04-01,144.178
1979-05-01,144.557
1979-06-01,145.719
1979-07-01,148.005
1979-08-01,148.581
1979-09-01,149.513
1979-10-01,151.438
1979-11-01,153.659
1979-12-01,156.37
1980-01-01,156.175
1980-02-01,154.132
1980-03-01,155.052
1980-04-01,157.675
1980-05-01,157.985
1980-06-01,158.786
1980-07-01,159.905
1980-08-01,158.29
1980-09-01,159.285
1980-10-01,160.925
1980-11-01,161.862
1980-12-01,162.996
1981-01-01,161.277
1981-02-01,159.155
1981-03-01,159.761
1981-04-01,161.997
1981-05-01,163.002
1981-06-01,163.708
1981-07-01,165.866
