"Date","M1437BUSM144NNBR"
1914-01-01,217
1914-02-01,214
1914-03-01,227
1914-04-01,210
1914-05-01,210
1914-06-01,253
1914-07-01,281
1914-08-01,273
1914-09-01,273
1914-10-01,256
1914-11-01,464
1914-12-01,504
1915-01-01,495
1915-02-01,527
1915-03-01,549
1915-04-01,536
1915-05-01,533
1915-06-01,576
1915-07-01,602
1915-08-01,601
1915-09-01,623
1915-10-01,653
1915-11-01,709
1915-12-01,757
1916-01-01,726
1916-02-01,723
1916-03-01,719
1916-04-01,700
1916-05-01,732
1916-06-01,770
1916-07-01,818
1916-08-01,807
1916-09-01,848
1916-10-01,894
1916-11-01,945
1916-12-01,982
1917-01-01,987
1917-02-01,1008
1917-03-01,1109
1917-04-01,1177
1917-05-01,1154
1917-06-01,1470
1917-07-01,1530
1917-08-01,1522
1917-09-01,1569
1917-10-01,1674
1917-11-01,1765
1917-12-01,1834
1918-01-01,1909
1918-02-01,1944
1918-03-01,1985
1918-04-01,2026
1918-05-01,2085
1918-06-01,2115
1918-07-01,2150
1918-08-01,2178
1918-09-01,2191
1918-10-01,2214
1918-11-01,2232
1918-12-01,2255
1919-01-01,2280
1919-02-01,2298
1919-03-01,2318
1919-04-01,2340
1919-05-01,2352
1919-06-01,2310
1919-07-01,2261
1919-08-01,2340
1919-09-01,2369
1919-10-01,2338
1919-11-01,2271
1919-12-01,2232
1920-01-01,2183
1920-02-01,2129
1920-03-01,2107
1920-04-01,2098
1920-05-01,2122
1920-06-01,2131
1920-07-01,2134
1920-08-01,2130
1920-09-01,2172
1920-10-01,2165
1920-11-01,2203
1920-12-01,2232
1921-01-01,2277
1921-02-01,2319
1921-03-01,2413
1921-04-01,2497
1921-05-01,2573
1921-06-01,2627
1921-07-01,2709
1921-08-01,2808
1921-09-01,2896
1921-10-01,2955
1921-11-01,3013
1921-12-01,3044
1922-01-01,3082
1922-02-01,3125
1922-03-01,3152
1922-04-01,3172
1922-05-01,3181
1922-06-01,3196
1922-07-01,3244
