"Date","SMU29411805552200001"
1990-01-01,31
1990-02-01,31
1990-03-01,31.3
1990-04-01,31.1
1990-05-01,31.1
1990-06-01,31.2
1990-07-01,31
1990-08-01,31
1990-09-01,30.7
1990-10-01,30.2
1990-11-01,30.1
1990-12-01,30.3
1991-01-01,30
1991-02-01,30.1
1991-03-01,29.5
1991-04-01,29.3
1991-05-01,29.1
1991-06-01,29.3
1991-07-01,29.6
1991-08-01,29.4
1991-09-01,29.3
1991-10-01,29
1991-11-01,28.9
1991-12-01,29
1992-01-01,29.3
1992-02-01,29.3
1992-03-01,29.2
1992-04-01,29
1992-05-01,28.9
1992-06-01,28.9
1992-07-01,28.7
1992-08-01,28.6
1992-09-01,28.8
1992-10-01,28.3
1992-11-01,28.3
1992-12-01,28.6
1993-01-01,28.8
1993-02-01,28.8
1993-03-01,28.7
1993-04-01,29.2
1993-05-01,29.4
1993-06-01,29.6
1993-07-01,30.1
1993-08-01,30.1
1993-09-01,29.7
1993-10-01,29.9
1993-11-01,29.9
1993-12-01,30.4
1994-01-01,30.4
1994-02-01,30.5
1994-03-01,30.6
1994-04-01,30.7
1994-05-01,30.5
1994-06-01,30.5
1994-07-01,30.4
1994-08-01,30.3
1994-09-01,29.8
1994-10-01,29.6
1994-11-01,29.7
1994-12-01,29.5
1995-01-01,28.8
1995-02-01,28.7
1995-03-01,28.8
1995-04-01,29.5
1995-05-01,29.6
1995-06-01,29.6
1995-07-01,29.9
1995-08-01,30.4
1995-09-01,30.2
1995-10-01,29.9
1995-11-01,30.2
1995-12-01,30.6
1996-01-01,30
1996-02-01,30.1
1996-03-01,30.2
1996-04-01,30.5
1996-05-01,30.6
1996-06-01,30.7
1996-07-01,30.9
1996-08-01,31.2
1996-09-01,30.6
1996-10-01,30.7
1996-11-01,31.1
1996-12-01,31
1997-01-01,30.7
1997-02-01,30.7
1997-03-01,30.5
1997-04-01,31.1
1997-05-01,31.1
1997-06-01,31.1
1997-07-01,30.9
1997-08-01,30.9
1997-09-01,31.2
1997-10-01,31.1
1997-11-01,31.2
1997-12-01,31.6
1998-01-01,31.5
1998-02-01,32
1998-03-01,31.6
1998-04-01,31.1
1998-05-01,31.3
1998-06-01,31.6
1998-07-01,31.1
1998-08-01,31.1
1998-09-01,30.8
1998-10-01,31
1998-11-01,31.1
1998-12-01,31.3
1999-01-01,31
1999-02-01,31
1999-03-01,31
1999-04-01,30.3
1999-05-01,30.2
1999-06-01,30.4
1999-07-01,31.1
1999-08-01,30.6
1999-09-01,30.1
1999-10-01,29.8
1999-11-01,29.6
1999-12-01,29.5
2000-01-01,28.8
2000-02-01,28.6
2000-03-01,28.2
2000-04-01,28
2000-05-01,27.9
2000-06-01,27.9
2000-07-01,28.3
2000-08-01,28.2
2000-09-01,28.1
2000-10-01,27.8
2000-11-01,27.8
2000-12-01,27.7
2001-01-01,27.8
2001-02-01,27.7
2001-03-01,27.9
2001-04-01,28
2001-05-01,28.1
2001-06-01,28.3
2001-07-01,28.5
2001-08-01,28.4
2001-09-01,28.1
2001-10-01,28.5
2001-11-01,28.7
2001-12-01,29
2002-01-01,28.6
2002-02-01,28.6
2002-03-01,28.7
2002-04-01,28.6
2002-05-01,28.6
2002-06-01,28.7
2002-07-01,28.7
2002-08-01,28.7
2002-09-01,28.7
2002-10-01,29
2002-11-01,29.2
2002-12-01,29.7
