"Date","DISCBORR"
2014-01-01,0.127
2014-02-01,0.104
2014-03-01,0.105
2014-04-01,0.117
2014-05-01,0.139
2014-06-01,0.179
2014-07-01,0.231
2014-08-01,0.278
2014-09-01,0.3
2014-10-01,0.221
2014-11-01,0.13
2014-12-01,0.102
2015-01-01,0.066
2015-02-01,0.018
2015-03-01,0.02
2015-04-01,0.052
2015-05-01,0.087
2015-06-01,0.15
2015-07-01,0.186
2015-08-01,0.235
2015-09-01,0.256
2015-10-01,0.194
2015-11-01,0.115
2015-12-01,0.106
2016-01-01,0.077
2016-02-01,0.034
2016-03-01,0.021
2016-04-01,0.063
2016-05-01,0.079
2016-06-01,0.13
2016-07-01,0.204
2016-08-01,0.207
2016-09-01,0.206
2016-10-01,0.125
2016-11-01,0.039
2016-12-01,0.039
2017-01-01,0.016
2017-02-01,0.021
2017-03-01,0.012
2017-04-01,0.045
2017-05-01,0.056
2017-06-01,0.095
2017-07-01,0.166
2017-08-01,0.22
2017-09-01,0.224
2017-10-01,0.151
2017-11-01,0.065
2017-12-01,0.075
2018-01-01,0.058
2018-02-01,0.02
2018-03-01,0.016
2018-04-01,0.051
2018-05-01,0.094
2018-06-01,0.143
2018-07-01,0.224
2018-08-01,0.261
2018-09-01,0.29
2018-10-01,0.209
2018-11-01,0.097
2018-12-01,0.076
2019-01-01,0.026
2019-02-01,0.019
2019-03-01,0.015
2019-04-01,0.03
2019-05-01,0.056
2019-06-01,0.08
2019-07-01,0.12
2019-08-01,0.117
2019-09-01,0.101
2019-10-01,0.063
2019-11-01,0.026
2019-12-01,0.021
2020-01-01,0.006
2020-02-01,0.003
2020-03-01,40.554
2020-04-01,124.461
2020-05-01,111.845
2020-06-01,97.671
2020-07-01,92.943
2020-08-01,83.126
