"Date","SVGCBSL"
1959-01-01,51.8
1959-02-01,51.8
1959-03-01,52
1959-04-01,52.2
1959-05-01,52.5
1959-06-01,52.8
1959-07-01,53
1959-08-01,53.1
1959-09-01,53.3
1959-10-01,53.5
1959-11-01,54.3
1959-12-01,54.8
1960-01-01,54.5
1960-02-01,54.3
1960-03-01,54.4
1960-04-01,54.5
1960-05-01,54.6
1960-06-01,54.8
1960-07-01,55.1
1960-08-01,55.5
1960-09-01,56
1960-10-01,56.5
1960-11-01,57.6
1960-12-01,58.3
1961-01-01,58.8
1961-02-01,59.4
1961-03-01,59.9
1961-04-01,60.3
1961-05-01,60.6
1961-06-01,61
1961-07-01,61.2
1961-08-01,61.5
1961-09-01,61.8
1961-10-01,62.2
1961-11-01,63.5
1961-12-01,64.2
1962-01-01,64.6
1962-02-01,65
1962-03-01,65.6
1962-04-01,66.1
1962-05-01,66.6
1962-06-01,67.1
1962-07-01,67.7
1962-08-01,68.2
1962-09-01,68.7
1962-10-01,69.3
1962-11-01,70.6
1962-12-01,71.3
1963-01-01,71.8
1963-02-01,72.2
1963-03-01,72.7
1963-04-01,73.1
1963-05-01,73.6
1963-06-01,74.1
1963-07-01,74.5
1963-08-01,74.9
1963-09-01,75.1
1963-10-01,75.1
1963-11-01,76.2
1963-12-01,76.8
1964-01-01,77.1
1964-02-01,77.4
1964-03-01,77.7
1964-04-01,78.2
1964-05-01,78.6
1964-06-01,79.1
1964-07-01,79.4
1964-08-01,79.9
1964-09-01,80.4
1964-10-01,80.9
1964-11-01,82.1
1964-12-01,82.9
1965-01-01,83.7
1965-02-01,84.5
1965-03-01,85
1965-04-01,85.7
1965-05-01,86.3
1965-06-01,86.9
1965-07-01,87.6
1965-08-01,88.4
1965-09-01,89.2
1965-10-01,90
1965-11-01,91.5
1965-12-01,92.4
1966-01-01,92.5
1966-02-01,92.4
1966-03-01,92
1966-04-01,90.7
1966-05-01,90.3
1966-06-01,89.9
1966-07-01,90.3
1966-08-01,89.8
1966-09-01,89.6
1966-10-01,89.3
1966-11-01,89.8
1966-12-01,89.9
1967-01-01,89.6
1967-02-01,89.5
1967-03-01,89.7
1967-04-01,90.3
1967-05-01,90.9
1967-06-01,91.5
1967-07-01,92
1967-08-01,92.5
1967-09-01,92.9
1967-10-01,93.4
1967-11-01,93.9
1967-12-01,94.1
1968-01-01,94.3
1968-02-01,94.5
1968-03-01,94.7
1968-04-01,94.8
1968-05-01,94.8
1968-06-01,94.8
1968-07-01,94.7
1968-08-01,94.9
1968-09-01,95.2
1968-10-01,95.4
1968-11-01,95.8
1968-12-01,96.1
1969-01-01,96.1
1969-02-01,95.9
1969-03-01,95.7
1969-04-01,95.3
1969-05-01,95
1969-06-01,94.8
1969-07-01,94.1
1969-08-01,93.9
1969-09-01,93.9
1969-10-01,93.8
1969-11-01,93.8
1969-12-01,93.8
1970-01-01,93.7
1970-02-01,92.7
1970-03-01,92.2
1970-04-01,92.1
1970-05-01,92.5
1970-06-01,93.1
1970-07-01,94.1
1970-08-01,95.1
1970-09-01,96
1970-10-01,96.9
1970-11-01,97.7
1970-12-01,98.6
1971-01-01,99.8
1971-02-01,101.2
1971-03-01,103.3
1971-04-01,105
1971-05-01,106.1
1971-06-01,106.9
1971-07-01,107.6
1971-08-01,108.6
1971-09-01,109.7
1971-10-01,110.7
1971-11-01,111.8
1971-12-01,112.8
1972-01-01,114.1
1972-02-01,115.4
1972-03-01,116.3
1972-04-01,116.8
1972-05-01,117.4
1972-06-01,118.3
1972-07-01,119.3
1972-08-01,120.9
1972-09-01,122.3
1972-10-01,123.2
1972-11-01,124.1
1972-12-01,124.8
1973-01-01,125
1973-02-01,124.7
1973-03-01,124.5
1973-04-01,124.4
1973-05-01,125.3
1973-06-01,126
1973-07-01,126.3
1973-08-01,126.1
1973-09-01,126.4
1973-10-01,127
1973-11-01,127.6
1973-12-01,128
1974-01-01,128.6
1974-02-01,128.8
1974-03-01,129.3
1974-04-01,129.9
1974-05-01,130.4
1974-06-01,131.3
1974-07-01,132.5
1974-08-01,133.2
1974-09-01,133.7
1974-10-01,134.7
1974-11-01,135.7
1974-12-01,136.8
1975-01-01,137.7
1975-02-01,138.8
1975-03-01,141
1975-04-01,143.5
1975-05-01,145.9
1975-06-01,149.7
1975-07-01,152
1975-08-01,153.6
1975-09-01,155.2
1975-10-01,156.5
1975-11-01,158.6
1975-12-01,161.2
1976-01-01,164.8
1976-02-01,170.7
1976-03-01,174.4
1976-04-01,177.8
1976-05-01,180.6
1976-06-01,181.1
1976-07-01,182.8
1976-08-01,185.7
1976-09-01,188.8
1976-10-01,192.8
1976-11-01,197.5
1976-12-01,201.8
1977-01-01,205.4
1977-02-01,207.5
1977-03-01,209.5
1977-04-01,211.2
1977-05-01,212.4
1977-06-01,212.9
1977-07-01,214.2
1977-08-01,215.8
1977-09-01,216.7
1977-10-01,217.5
1977-11-01,218.5
1977-12-01,218.8
1978-01-01,219.7
1978-02-01,220
1978-03-01,220.4
1978-04-01,220.8
1978-05-01,221.5
1978-06-01,221.8
1978-07-01,221.1
1978-08-01,221.3
1978-09-01,222
1978-10-01,221.8
1978-11-01,219.6
1978-12-01,216.5
1979-01-01,212.8
1979-02-01,210.3
1979-03-01,208.8
1979-04-01,207.5
1979-05-01,206.3
1979-06-01,206.6
1979-07-01,207.1
1979-08-01,207.3
1979-09-01,206
1979-10-01,202.6
1979-11-01,197.3
1979-12-01,195
1980-01-01,192.5
1980-02-01,189.2
1980-03-01,184.1
1980-04-01,177.6
1980-05-01,176.7
1980-06-01,181.1
1980-07-01,186.7
1980-08-01,191.1
1980-09-01,192.8
1980-10-01,193.8
1980-11-01,192.7
1980-12-01,185.7
1981-01-01,177.3
1981-02-01,173.4
1981-03-01,171.7
1981-04-01,171.6
1981-05-01,169.2
1981-06-01,166.7
1981-07-01,166.1
1981-08-01,163.5
1981-09-01,161.1
1981-10-01,159.1
1981-11-01,158.8
1981-12-01,159
1982-01-01,159.7
1982-02-01,159.1
1982-03-01,159.1
1982-04-01,159.3
1982-05-01,159
1982-06-01,158.6
1982-07-01,158.1
1982-08-01,159.2
1982-09-01,160.7
1982-10-01,163.4
1982-11-01,166.4
1982-12-01,190.1
1983-01-01,264.2
1983-02-01,307.8
1983-03-01,327.1
1983-04-01,339.7
1983-05-01,350.5
1983-06-01,356.3
1983-07-01,358.4
1983-08-01,359
1983-09-01,360.5
1983-10-01,361.6
1983-11-01,362.7
1983-12-01,363.2
1984-01-01,364.3
1984-02-01,368.7
1984-03-01,372.3
1984-04-01,375.7
1984-05-01,376
1984-06-01,374.9
1984-07-01,373.5
1984-08-01,371.7
1984-09-01,372.5
1984-10-01,374.9
1984-11-01,381.4
1984-12-01,389.3
1985-01-01,399.6
1985-02-01,409.6
1985-03-01,413.5
1985-04-01,416.4
1985-05-01,422
1985-06-01,430.6
1985-07-01,437.7
1985-08-01,443.8
1985-09-01,448.1
1985-10-01,452.1
1985-11-01,455.3
1985-12-01,456.6
1986-01-01,459
1986-02-01,460.9
1986-03-01,464.5
1986-04-01,471.9
1986-05-01,481.5
1986-06-01,488.5
1986-07-01,495.2
1986-08-01,503.6
1986-09-01,512.7
1986-10-01,521.9
1986-11-01,527.5
1986-12-01,533.5
1987-01-01,539.5
1987-02-01,542.2
1987-03-01,545
1987-04-01,547.7
1987-05-01,547.9
1987-06-01,545.8
1987-07-01,544.9
1987-08-01,544.4
1987-09-01,543.8
1987-10-01,540.6
1987-11-01,535.6
1987-12-01,534.8
1988-01-01,536.4
1988-02-01,539.9
1988-03-01,543.2
1988-04-01,545.8
1988-05-01,549.2
1988-06-01,552
1988-07-01,552.6
1988-08-01,549.6
1988-09-01,546.3
1988-10-01,544.8
1988-11-01,545.9
1988-12-01,542.4
1989-01-01,537.2
