"Date","ADJRESNS"
1918-01-01,1.406
1918-02-01,1.284
1918-03-01,1.297
1918-04-01,1.314
1918-05-01,1.264
1918-06-01,1.25
1918-07-01,1.155
1918-08-01,1.135
1918-09-01,1.225
1918-10-01,1.329
1918-11-01,1.359
1918-12-01,1.427
1919-01-01,1.418
1919-02-01,1.359
1919-03-01,1.376
1919-04-01,1.384
1919-05-01,1.402
1919-06-01,1.408
1919-07-01,1.383
1919-08-01,1.399
1919-09-01,1.437
1919-10-01,1.491
1919-11-01,1.536
1919-12-01,1.552
1920-01-01,1.547
1920-02-01,1.487
1920-03-01,1.524
1920-04-01,1.481
1920-05-01,1.496
1920-06-01,1.486
1920-07-01,1.473
1920-08-01,1.43
1920-09-01,1.461
1920-10-01,1.485
1920-11-01,1.53
1920-12-01,1.543
1921-01-01,1.5
1921-02-01,1.416
1921-03-01,1.396
1921-04-01,1.34
1921-05-01,1.332
1921-06-01,1.321
1921-07-01,1.295
1921-08-01,1.263
1921-09-01,1.274
1921-10-01,1.335
1921-11-01,1.342
1921-12-01,1.381
1922-01-01,1.359
1922-02-01,1.303
1922-03-01,1.323
1922-04-01,1.335
1922-05-01,1.358
1922-06-01,1.356
1922-07-01,1.375
1922-08-01,1.34
1922-09-01,1.374
1922-10-01,1.442
1922-11-01,1.44
1922-12-01,1.518
1923-01-01,1.506
1923-02-01,1.456
1923-03-01,1.428
1923-04-01,1.413
1923-05-01,1.4
1923-06-01,1.381
1923-07-01,1.407
1923-08-01,1.388
1923-09-01,1.436
1923-10-01,1.457
1923-11-01,1.471
1923-12-01,1.568
1924-01-01,1.506
1924-02-01,1.451
1924-03-01,1.469
1924-04-01,1.479
1924-05-01,1.465
1924-06-01,1.52
1924-07-01,1.552
1924-08-01,1.568
1924-09-01,1.657
1924-10-01,1.662
1924-11-01,1.711
1924-12-01,1.797
1925-01-01,1.659
1925-02-01,1.604
1925-03-01,1.591
1925-04-01,1.588
1925-05-01,1.58
1925-06-01,1.591
1925-07-01,1.593
1925-08-01,1.619
1925-09-01,1.684
1925-10-01,1.731
1925-11-01,1.738
1925-12-01,1.808
1926-01-01,1.683
1926-02-01,1.633
1926-03-01,1.651
1926-04-01,1.617
1926-05-01,1.643
1926-06-01,1.653
1926-07-01,1.66
1926-08-01,1.663
1926-09-01,1.708
1926-10-01,1.732
1926-11-01,1.743
1926-12-01,1.802
1927-01-01,1.676
1927-02-01,1.623
1927-03-01,1.635
1927-04-01,1.653
1927-05-01,1.668
1927-06-01,1.692
1927-07-01,1.738
1927-08-01,1.721
1927-09-01,1.748
1927-10-01,1.795
1927-11-01,1.855
1927-12-01,1.931
1928-01-01,1.815
1928-02-01,1.748
1928-03-01,1.705
1928-04-01,1.73
1928-05-01,1.726
1928-06-01,1.685
1928-07-01,1.697
1928-08-01,1.653
1928-09-01,1.731
1928-10-01,1.79
1928-11-01,1.763
1928-12-01,1.906
1929-01-01,1.764
