"Date","OCM1A"
1967-01-01,0.0552
1967-02-01,0.0523
1967-03-01,0.0519
1967-04-01,0.0479
1967-05-01,0.0481
1967-06-01,0.0509
1967-07-01,0.05
1967-08-01,0.0507
1967-09-01,0.0508
1967-10-01,0.0528
1967-11-01,0.0564
1967-12-01,0.0583
1968-01-01,0.0552
1968-02-01,0.0537
1968-03-01,0.0582
1968-04-01,0.0573
1968-05-01,0.0618
1968-06-01,0.0623
1968-07-01,0.0587
1968-08-01,0.0563
1968-09-01,0.0558
1968-10-01,0.0592
1968-11-01,0.0619
1968-12-01,0.064
1969-01-01,0.0665
1969-02-01,0.0708
1969-03-01,0.0739
1969-04-01,0.0734
1969-05-01,0.081
1969-06-01,0.0921
1969-07-01,0.0907
1969-08-01,0.0894
1969-09-01,0.0921
1969-10-01,0.0843
1969-11-01,0.0876
1969-12-01,0.0921
1970-01-01,0.0843
1970-02-01,0.0802
1970-03-01,0.0768
1970-04-01,0.0733
1970-05-01,0.0765
1970-06-01,0.0804
1970-07-01,0.0759
1970-08-01,0.0728
1970-09-01,0.0725
1970-10-01,0.072
1970-11-01,0.0724
1970-12-01,0.0706
1971-01-01,0.0678
1971-02-01,0.0653
1971-03-01,0.0658
1971-04-01,0.0658
1971-05-01,0.067
1971-06-01,0.0679
1971-07-01,0.068
1971-08-01,0.0755
1971-09-01,0.0741
1971-10-01,0.066
1971-11-01,0.0653
1971-12-01,0.0653
1972-01-01,0.0642
1972-02-01,0.0642
1972-03-01,0.0643
1972-04-01,0.0643
1972-05-01,0.0642
1972-06-01,0.064
1972-07-01,0.0642
1972-08-01,0.0639
1972-09-01,0.0632
1972-10-01,0.063
1972-11-01,0.0625
1972-12-01,0.062
1973-01-01,0.0618
1973-02-01,0.0793
1973-03-01,0.0761
1973-04-01,0.0784
1973-05-01,0.075
1973-06-01,0.0769
1973-07-01,0.0877
1973-08-01,0.0947
1973-09-01,0.0927
1973-10-01,0.0876
1973-11-01,0.0836
1973-12-01,0.0902
1974-01-01,0.0812
1974-02-01,0.075
1974-03-01,0.0792
1974-04-01,0.0882
1974-05-01,0.0961
1974-06-01,0.0991
1974-07-01,0.1082
1974-08-01,0.109
1974-09-01,0.1031
1974-10-01,0.0912
1974-11-01,0.0851
1974-12-01,0.0865
1975-01-01,0.0823
1975-02-01,0.0812
1975-03-01,0.08
1975-04-01,0.0807
1975-05-01,0.0815
1975-06-01,0.081
1975-07-01,0.0805
1975-08-01,0.0808
1975-09-01,0.0809
1975-10-01,0.081
1975-11-01,0.0806
1975-12-01,0.0806
1976-01-01,0.0795
1976-02-01,0.0784
1976-03-01,0.0775
1976-04-01,0.0763
1976-05-01,0.0757
1976-06-01,0.0759
1976-07-01,0.0754
1976-08-01,0.0742
1976-09-01,0.0725
1976-10-01,0.0717
1976-11-01,0.0713
1976-12-01,0.0705
1977-01-01,0.0702
1977-02-01,0.0705
1977-03-01,0.0705
1977-04-01,0.0701
1977-05-01,0.0697
1977-06-01,0.069
1977-07-01,0.0687
1977-08-01,0.0683
1977-09-01,0.0682
1977-10-01,0.0688
1977-11-01,0.0693
1977-12-01,0.0696
1978-01-01,0.0708
1978-02-01,0.071
1978-03-01,0.0716
1978-04-01,0.0719
1978-05-01,0.0731
1978-06-01,0.076
1978-07-01,0.0777
1978-08-01,0.0763
1978-09-01,0.0801
1978-10-01,0.0877
1978-11-01,0.0972
1978-12-01,0.0986
1979-01-01,0.0967
1979-02-01,0.0919
1979-03-01,0.0908
1979-04-01,0.0899
1979-05-01,0.0909
1979-06-01,0.0886
1979-07-01,0.0906
1979-08-01,0.0952
1979-09-01,0.1027
1979-10-01,0.1156
1979-11-01,0.1183
1979-12-01,0.1151
1980-01-01,0.1139
1980-02-01,0.1207
1980-03-01,0.1416
1980-04-01,0.1361
1980-05-01,0.1065
1980-06-01,0.0952
1980-07-01,0.0948
1980-08-01,0.0982
1980-09-01,0.1019
1980-10-01,0.1088
1980-11-01,0.1278
1980-12-01,0.1543
1981-01-01,0.1479
1981-02-01,0.1319
1981-03-01,0.1202
1981-04-01,0.1239
1981-05-01,0.1439
1981-06-01,0.1427
1981-07-01,0.1469
1981-08-01,0.1422
1981-09-01,0.1371
1981-10-01,0.1282
1981-11-01,0.1187
1981-12-01,0.1197
1982-01-01,0.1234
1982-02-01,0.1239
1982-03-01,0.1215
1982-04-01,0.1212
1982-05-01,0.1203
1982-06-01,0.1221
1982-07-01,0.1213
1982-08-01,0.1181
1982-09-01,0.1135
1982-10-01,0.1073
1982-11-01,0.1043
1982-12-01,0.1031
1983-01-01,0.1017
1983-02-01,0.1018
1983-03-01,0.0993
1983-04-01,0.097
1983-05-01,0.0956
1983-06-01,0.0975
1983-07-01,0.0976
1983-08-01,0.0994
1983-09-01,0.0988
1983-10-01,0.0982
1983-11-01,0.0993
1983-12-01,0.1003
1984-01-01,0.0996
1984-02-01,0.0991
1984-03-01,0.102
1984-04-01,0.1043
1984-05-01,0.1074
1984-06-01,0.1096
1984-07-01,0.1102
1984-08-01,0.1065
1984-09-01,0.1045
1984-10-01,0.1015
1984-11-01,0.0983
1984-12-01,0.0979
1985-01-01,0.097
1985-02-01,0.0968
1985-03-01,0.1002
1985-04-01,0.099
1985-05-01,0.0965
1985-06-01,0.0911
1985-07-01,0.0914
1985-08-01,0.0919
1985-09-01,0.0918
1985-10-01,0.0909
1985-11-01,0.088
1985-12-01,0.0849
1986-01-01,0.0838
1986-02-01,0.0812
1986-03-01,0.0766
1986-04-01,0.0744
1986-05-01,0.0753
1986-06-01,0.0758
1986-07-01,0.0746
1986-08-01,0.075
1986-09-01,0.0755
1986-10-01,0.0759
1986-11-01,0.0747
1986-12-01,0.0739
1987-01-01,0.0719
1987-02-01,0.0715
1987-03-01,0.0712
1987-04-01,0.0748
1987-05-01,0.0786
1987-06-01,0.0787
1987-07-01,0.0794
1987-08-01,0.081
1987-09-01,0.0851
1987-10-01,0.0875
1987-11-01,0.0844
1987-12-01,0.0849
1988-01-01,0.0832
1988-02-01,0.0795
1988-03-01,0.0791
1988-04-01,0.0819
1988-05-01,0.083
1988-06-01,0.0827
1988-07-01,0.0836
1988-08-01,0.0844
1988-09-01,0.0818
1988-10-01,0.0777
1988-11-01,0.0783
1988-12-01,0.0797
1989-01-01,0.0796
1989-02-01,0.082
1989-03-01,0.0876
1989-04-01,0.0858
1989-05-01,0.0813
1989-06-01,0.0798
1989-07-01,0.0777
1989-08-01,0.0743
1989-09-01,0.0747
1989-10-01,0.0735
1989-11-01,0.0726
1989-12-01,0.0727
1990-01-01,0.0738
1990-02-01,0.0755
1990-03-01,0.0761
1990-04-01,0.0769
1990-05-01,0.0778
1990-06-01,0.0762
1990-07-01,0.076
1990-08-01,0.0778
1990-09-01,0.0797
1990-10-01,0.0807
1990-11-01,0.0797
1990-12-01,0.0782
1991-01-01,0.0785
1991-02-01,0.0755
1991-03-01,0.0757
1991-04-01,0.0745
1991-05-01,0.0741
1991-06-01,0.075
1991-07-01,0.0745
1991-08-01,0.0726
1991-09-01,0.0717
1991-10-01,0.072
1991-11-01,0.0726
1991-12-01,0.0722
1992-01-01,0.0728
1992-02-01,0.0745
1992-03-01,0.0748
1992-04-01,0.0748
1992-05-01,0.0744
1992-06-01,0.074
1992-07-01,0.073
1992-08-01,0.072
1992-09-01,0.0721
1992-10-01,0.0743
1992-11-01,0.0754
1992-12-01,0.0742
1993-01-01,0.0731
1993-02-01,0.0709
1993-03-01,0.069
1993-04-01,0.069
1993-05-01,0.0698
1993-06-01,0.0687
1993-07-01,0.0675
1993-08-01,0.0648
1993-09-01,0.0627
1993-10-01,0.0626
1993-11-01,0.0658
1993-12-01,0.0662
1994-01-01,0.066
1994-02-01,0.0671
1994-03-01,0.0703
1994-04-01,0.0737
1994-05-01,0.0745
1994-06-01,0.0747
1994-07-01,0.076
1994-08-01,0.0755
1994-09-01,0.0775
1994-10-01,0.0794
1994-11-01,0.0803
1994-12-01,0.0784
1995-01-01,0.0783
1995-02-01,0.0763
1995-03-01,0.075
1995-04-01,0.0741
1995-05-01,0.0708
1995-06-01,0.0682
1995-07-01,0.0694
1995-08-01,0.0707
1995-09-01,0.0685
1995-10-01,0.0669
1995-11-01,0.0663
1995-12-01,0.0648
1996-01-01,0.0647
1996-02-01,0.0662
1996-03-01,0.0697
1996-04-01,0.0711
1996-05-01,0.0721
1996-06-01,0.0729
1996-07-01,0.0725
1996-08-01,0.0711
1996-09-01,0.0725
1996-10-01,0.0701
1996-11-01,0.0678
1996-12-01,0.0687
1997-01-01,0.0705
1997-02-01,0.0692
1997-03-01,0.0713
1997-04-01,0.0726
1997-05-01,0.0714
1997-06-01,0.0699
1997-07-01,0.0676
1997-08-01,0.0682
1997-09-01,0.0671
1997-10-01,0.066
1997-11-01,0.0649
1997-12-01,0.064
1998-01-01,0.063
1998-02-01,0.0636
1998-03-01,0.0642
1998-04-01,0.0644
1998-05-01,0.0641
1998-06-01,0.0627
1998-07-01,0.0628
1998-08-01,0.0627
1998-09-01,0.0623
1998-10-01,0.0633
1998-11-01,0.0648
1998-12-01,0.0641
1999-01-01,0.0647
1999-02-01,0.0656
1999-03-01,0.0669
1999-04-01,0.0665
1999-05-01,0.0687
1999-06-01,0.0713
1999-07-01,0.0708
1999-08-01,0.0726
1999-09-01,0.073
1999-10-01,0.0745
1999-11-01,0.0726
1999-12-01,0.0729
2000-01-01,0.0741
2000-02-01,0.0738
2000-03-01,0.0745
2000-04-01,0.0747
2000-05-01,0.079
2000-06-01,0.0754
