"Date","STDCBSL"
1959-01-01,9.4
1959-02-01,9.4
1959-03-01,9.5
1959-04-01,9.7
1959-05-01,9.7
1959-06-01,9.8
1959-07-01,9.7
1959-08-01,9.8
1959-09-01,9.9
1959-10-01,9.8
1959-11-01,9.2
1959-12-01,8.9
1960-01-01,9
1960-02-01,8.9
1960-03-01,9
1960-04-01,9.2
1960-05-01,9.2
1960-06-01,9.4
1960-07-01,9.7
1960-08-01,10
1960-09-01,10.1
1960-10-01,10.3
1960-11-01,9.8
1960-12-01,9.7
1961-01-01,9.8
1961-02-01,10.1
1961-03-01,10.1
1961-04-01,10.3
1961-05-01,10.9
1961-06-01,11.2
1961-07-01,11.4
1961-08-01,11.6
1961-09-01,11.9
1961-10-01,12
1961-11-01,11.3
1961-12-01,11.1
1962-01-01,11.9
1962-02-01,12.7
1962-03-01,13.6
1962-04-01,14.2
1962-05-01,14.2
1962-06-01,14.5
1962-07-01,14.7
1962-08-01,15
1962-09-01,15.4
1962-10-01,15.7
1962-11-01,15.3
1962-12-01,15.5
1963-01-01,15.9
1963-02-01,16.1
1963-03-01,16.6
1963-04-01,17
1963-05-01,17.4
1963-06-01,17.7
1963-07-01,18.1
1963-08-01,18.7
1963-09-01,19.2
1963-10-01,20
1963-11-01,19.7
1963-12-01,19.9
1964-01-01,20.1
1964-02-01,20.3
1964-03-01,20.5
1964-04-01,20.7
1964-05-01,20.8
1964-06-01,21.3
1964-07-01,21.6
1964-08-01,21.9
1964-09-01,22.3
1964-10-01,22.5
1964-11-01,22.2
1964-12-01,22.4
1965-01-01,23
1965-02-01,23.8
1965-03-01,24.2
1965-04-01,24.4
1965-05-01,24.8
1965-06-01,25.2
1965-07-01,25.6
1965-08-01,25.9
1965-09-01,26.3
1965-10-01,26.7
1965-11-01,26.5
1965-12-01,26.7
1966-01-01,27.4
1966-02-01,28.4
1966-03-01,29.6
1966-04-01,31.6
1966-05-01,33
1966-06-01,33.5
1966-07-01,34.1
1966-08-01,35.6
1966-09-01,36.8
1966-10-01,37.9
1966-11-01,38
1966-12-01,38.7
1967-01-01,39.7
1967-02-01,40.6
1967-03-01,41.6
1967-04-01,42.7
1967-05-01,44
