"Date","H0MMFINNM"
1996-03-01,287.5
1996-04-01,282.5
1996-05-01,281.5
1996-06-01,286.1
1996-07-01,293.8
1996-08-01,301.1
1996-09-01,304.4
1996-10-01,308.9
1996-11-01,318
1996-12-01,328.1
1997-01-01,333.9
1997-02-01,346.3
1997-03-01,349.3
1997-04-01,343.1
1997-05-01,344.1
1997-06-01,351.6
1997-07-01,358.8
1997-08-01,367.1
1997-09-01,374
1997-10-01,382.8
1997-11-01,388.8
1997-12-01,403.4
1998-01-01,414.9
1998-02-01,424.1
1998-03-01,426.9
1998-04-01,432.7
1998-05-01,440.6
1998-06-01,452.3
1998-07-01,454.5
1998-08-01,470.7
1998-09-01,481.6
1998-10-01,507.5
1998-11-01,531.1
1998-12-01,551.5
1999-01-01,560.2
1999-02-01,578.1
1999-03-01,570.2
1999-04-01,570.4
1999-05-01,571.5
1999-06-01,573.7
1999-07-01,565.8
1999-08-01,580.7
1999-09-01,579.4
1999-10-01,597.8
1999-11-01,626.6
1999-12-01,651.7
2000-01-01,671.9
2000-02-01,675.9
2000-03-01,686.2
2000-04-01,676.4
2000-05-01,679.2
2000-06-01,684.7
2000-07-01,701.7
2000-08-01,728
2000-09-01,740.7
2000-10-01,756.1
2000-11-01,779.4
2000-12-01,810.6
2001-01-01,854.5
2001-02-01,917.6
2001-03-01,935.8
2001-04-01,946.4
2001-05-01,989.8
2001-06-01,1020
2001-07-01,1023.4
2001-08-01,1021
2001-09-01,1060.9
2001-10-01,1137.1
2001-11-01,1185.5
2001-12-01,1228.8
2002-01-01,1221.7
2002-02-01,1226.4
2002-03-01,1218.9
2002-04-01,1197.5
2002-05-01,1196.2
2002-06-01,1196.2
2002-07-01,1183.8
2002-08-01,1184.8
2002-09-01,1158.7
2002-10-01,1135.5
2002-11-01,1230.2
2002-12-01,1281.3
2003-01-01,1256
2003-02-01,1237.8
2003-03-01,1211.4
2003-04-01,1165.7
2003-05-01,1140.6
2003-06-01,1150.9
2003-07-01,1183.9
2003-08-01,1165.3
2003-09-01,1158.8
2003-10-01,1144.3
2003-11-01,1146.6
2003-12-01,1144.4
2004-01-01,1147.6
2004-02-01,1133
2004-03-01,1130.2
2004-04-01,1114.9
2004-05-01,1111.3
2004-06-01,1115.8
2004-07-01,1098.2
2004-08-01,1103.1
2004-09-01,1088.8
2004-10-01,1067.3
2004-11-01,1076.2
2004-12-01,1090.6
2005-01-01,1087.5
2005-02-01,1067.6
2005-03-01,1052.6
2005-04-01,1047
2005-05-01,1039.6
2005-06-01,1060.4
2005-07-01,1067.6
2005-08-01,1089.5
2005-09-01,1105.2
2005-10-01,1113.7
2005-11-01,1123.2
2005-12-01,1156.8
2006-01-01,1174.1
2006-02-01,1161.4
