"Date","MSIMZMA"
1967-01-01,612
1967-02-01,614.8
1967-03-01,620
1967-04-01,619.3
1967-05-01,624.2
1967-06-01,628.8
1967-07-01,632.4
1967-08-01,637.2
1967-09-01,640.5
1967-10-01,643.4
1967-11-01,645.8
1967-12-01,648.1
1968-01-01,650.2
1968-02-01,651.3
1968-03-01,653.8
1968-04-01,656.3
1968-05-01,659.5
1968-06-01,663
1968-07-01,665.1
1968-08-01,668.7
1968-09-01,671.8
1968-10-01,674.8
1968-11-01,680
1968-12-01,684.3
1969-01-01,686.8
1969-02-01,687.7
1969-03-01,689.7
1969-04-01,690
1969-05-01,689.6
1969-06-01,691
1969-07-01,689.5
1969-08-01,687.8
1969-09-01,688.7
1969-10-01,689
1969-11-01,690.1
1969-12-01,691
1970-01-01,694.4
1970-02-01,686.6
1970-03-01,684.5
1970-04-01,683.3
1970-05-01,683.1
1970-06-01,684.2
1970-07-01,686.2
1970-08-01,691.7
1970-09-01,697.8
1970-10-01,702
1970-11-01,705.4
1970-12-01,709.3
1971-01-01,714.2
1971-02-01,720.7
1971-03-01,726.9
1971-04-01,732.7
1971-05-01,740
1971-06-01,745.4
1971-07-01,750.9
1971-08-01,755
1971-09-01,759.6
1971-10-01,763.3
1971-11-01,766.5
1971-12-01,769.7
1972-01-01,775.9
1972-02-01,783
1972-03-01,789.5
1972-04-01,793.8
1972-05-01,796
1972-06-01,799.8
1972-07-01,807
1972-08-01,814.9
1972-09-01,822.7
1972-10-01,828.9
1972-11-01,834.3
1972-12-01,842.6
1973-01-01,848.6
1973-02-01,850.4
1973-03-01,849.9
1973-04-01,852.3
1973-05-01,858.1
1973-06-01,863.3
1973-07-01,865.9
1973-08-01,864.5
1973-09-01,863.8
1973-10-01,866.6
1973-11-01,870.8
1973-12-01,875.6
1974-01-01,878.2
1974-02-01,881.5
1974-03-01,885.4
1974-04-01,887.3
1974-05-01,888.2
1974-06-01,890.7
1974-07-01,894
1974-08-01,895.9
1974-09-01,898.5
1974-10-01,902.9
1974-11-01,907.8
1974-12-01,911.5
1975-01-01,913.5
1975-02-01,919
1975-03-01,926.7
1975-04-01,931.7
1975-05-01,943.5
1975-06-01,957.3
1975-07-01,965.1
1975-08-01,969.7
1975-09-01,976.4
1975-10-01,978.9
1975-11-01,986
1975-12-01,991
1976-01-01,999.4
1976-02-01,1012.6
1976-03-01,1022.5
1976-04-01,1031.8
1976-05-01,1038.9
1976-06-01,1040.9
1976-07-01,1046.3
1976-08-01,1054.9
1976-09-01,1061.2
1976-10-01,1072.3
1976-11-01,1082.7
1976-12-01,1094.2
1977-01-01,1104.1
1977-02-01,1115.1
1977-03-01,1122.9
1977-04-01,1130.9
1977-05-01,1135.8
1977-06-01,1140.7
1977-07-01,1146.6
1977-08-01,1154.9
1977-09-01,1162.4
1977-10-01,1168.7
1977-11-01,1176.7
1977-12-01,1183.1
1978-01-01,1193
1978-02-01,1196.7
1978-03-01,1201.5
1978-04-01,1209.1
1978-05-01,1220.8
1978-06-01,1224
1978-07-01,1221.6
1978-08-01,1226.2
1978-09-01,1232.7
1978-10-01,1233.4
1978-11-01,1231.6
1978-12-01,1226.6
1979-01-01,1218
1979-02-01,1213.6
1979-03-01,1214.6
1979-04-01,1221.1
1979-05-01,1221
1979-06-01,1229
1979-07-01,1237.3
1979-08-01,1242.2
1979-09-01,1239.3
1979-10-01,1231.4
1979-11-01,1218.1
1979-12-01,1214.8
1980-01-01,1215.7
1980-02-01,1217.2
1980-03-01,1202.1
1980-04-01,1176.1
1980-05-01,1174
1980-06-01,1193.3
1980-07-01,1217.7
1980-08-01,1240.7
1980-09-01,1254.7
1980-10-01,1262.4
1980-11-01,1258.5
1980-12-01,1236.8
1981-01-01,1213.6
1981-02-01,1208.3
1981-03-01,1211.1
1981-04-01,1226.4
1981-05-01,1216.5
1981-06-01,1209.7
1981-07-01,1213.9
1981-08-01,1208.4
1981-09-01,1203.4
1981-10-01,1202.4
1981-11-01,1207.9
1981-12-01,1222
1982-01-01,1236.1
1982-02-01,1230.8
1982-03-01,1230.6
1982-04-01,1238.2
1982-05-01,1239.6
1982-06-01,1242.2
1982-07-01,1241.2
1982-08-01,1254.3
1982-09-01,1268.3
1982-10-01,1290.1
1982-11-01,1310.2
1982-12-01,1335.7
1983-01-01,1396.1
1983-02-01,1444.8
1983-03-01,1469.4
1983-04-01,1479.6
1983-05-01,1496.7
1983-06-01,1505.1
1983-07-01,1508.8
