"Date","M1422AUS35620M144NNBR"
1918-01-01,185
1918-02-01,146
1918-03-01,189
1918-04-01,285
1918-05-01,331
1918-06-01,314
1918-07-01,316
1918-08-01,374
1918-09-01,508
1918-10-01,514
1918-11-01,534
1918-12-01,538
1919-01-01,525
1919-02-01,619
1919-03-01,597
1919-04-01,504
1919-05-01,588
1919-06-01,486
1919-07-01,595
1919-08-01,547
1919-09-01,506
1919-10-01,651
1919-11-01,705
1919-12-01,639
1920-01-01,687
1920-02-01,745
1920-03-01,724
1920-04-01,640
1920-05-01,638
1920-06-01,621
1920-07-01,690
1920-08-01,771
1920-09-01,778
1920-10-01,837
1920-11-01,845
1920-12-01,803
1921-01-01,781
1921-02-01,821
1921-03-01,701
1921-04-01,539
1921-05-01,465
1921-06-01,336
1921-07-01,309
1921-08-01,263
1921-09-01,186
1921-10-01,177
1921-11-01,127
1921-12-01,143
1922-01-01,92
1922-02-01,71
1922-03-01,21
1922-04-01,23
1922-05-01,15
1922-06-01,19
1922-07-01,52
1922-08-01,20
1922-09-01,24
1922-10-01,72
1922-11-01,122
1922-12-01,113
1923-01-01,151
1923-02-01,183
1923-03-01,144
1923-04-01,123
1923-05-01,119
1923-06-01,106
1923-07-01,143
1923-08-01,135
1923-09-01,125
1923-10-01,121
1923-11-01,76
1923-12-01,77
1924-01-01,85
1924-02-01,81
1924-03-01,36
1924-04-01,45
1924-05-01,22
1924-06-01,6
1924-07-01,13
1924-08-01,8
1924-09-01,22
1924-10-01,28
1924-11-01,15
1924-12-01,35
1925-01-01,32
1925-02-01,124
1925-03-01,109
1925-04-01,67
1925-05-01,57
1925-06-01,79
1925-07-01,76
1925-08-01,124
1925-09-01,146
1925-10-01,124
1925-11-01,98
1925-12-01,137
1926-01-01,75
1926-02-01,128
1926-03-01,94
1926-04-01,90
1926-05-01,82
1926-06-01,55
1926-07-01,117
1926-08-01,111
1926-09-01,128
1926-10-01,84
1926-11-01,71
1926-12-01,100
1927-01-01,76
1927-02-01,60
1927-03-01,73
1927-04-01,78
1927-05-01,90
1927-06-01,51
1927-07-01,59
1927-08-01,74
1927-09-01,90
1927-10-01,75
1927-11-01,73
1927-12-01,127
1928-01-01,94
1928-02-01,78
1928-03-01,75
1928-04-01,145
1928-05-01,222
1928-06-01,271
1928-07-01,274
1928-08-01,223
1928-09-01,266
1928-10-01,202
1928-11-01,157
1928-12-01,221
1929-01-01,190
1929-02-01,131
1929-03-01,166
1929-04-01,162
1929-05-01,145
1929-06-01,165
1929-07-01,319
1929-08-01,196
1929-09-01,166
1929-10-01,74
1929-11-01,60
1929-12-01,80
1930-01-01,39
1930-02-01,21
1930-03-01,1
1930-04-01,17
1930-05-01,11
1930-06-01,5
1930-07-01,0
1930-08-01,4
1930-09-01,9
1930-10-01,6
1930-11-01,6
1930-12-01,26
1931-01-01,5
1931-02-01,2
1931-03-01,0
1931-04-01,0
1931-05-01,0
1931-06-01,0
1931-07-01,0
1931-08-01,3
1931-09-01,3
1931-10-01,74
1931-11-01,16
1931-12-01,83
1932-01-01,34
1932-02-01,23
1932-03-01,3
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0
1933-03-01,306
1933-04-01,17
1933-05-01,0
1933-06-01,0
1933-07-01,0
1933-08-01,0
1933-09-01,0
1933-10-01,0
1933-11-01,0
1933-12-01,0
1934-01-01,0
1934-02-01,0
1934-03-01,0
1934-04-01,0
1934-05-01,0
1934-06-01,0
1934-07-01,0
1934-08-01,0
1934-09-01,0
1934-10-01,0
1934-11-01,0
1934-12-01,0
